engine,cores,movesper,spacing,nbuckets,mmoves_s,commits,aborts
baseline,1,8,512,16384,7.36367,738668,0
esc-dumb,1,8,512,16384,5.92361,594208,582741
esc-smart,1,8,512,16384,7.71713,774132,2000
baseline,4,8,512,16384,27.2531,2733766,0
esc-dumb,4,8,512,16384,22.547,2261760,2139629
esc-smart,4,8,512,16384,27.8874,2797378,7500
baseline,16,8,512,16384,99.6008,9991176,0
esc-dumb,16,8,512,16384,82.6303,8288904,8117625
esc-smart,16,8,512,16384,105.035,10536342,44098
baseline,32,8,512,16384,191.076,19166804,0
esc-dumb,32,8,512,16384,161.426,16193160,15874686
esc-smart,32,8,512,16384,201.769,20239032,63957
baseline,64,8,512,16384,214.978,21563352,845424
esc-dumb,64,8,512,16384,167.104,16762692,14274665
esc-smart,64,8,512,16384,204.859,20550706,1471971
baseline,128,8,512,16384,196.29,19689092,2784056
esc-dumb,128,8,512,16384,173.984,17453372,18334335
esc-smart,128,8,512,16384,192.728,19334204,2849328
baseline,192,8,512,16384,257.901,25871980,2729087
esc-dumb,192,8,512,16384,224.456,22514556,23224211
esc-smart,192,8,512,16384,253.281,25405616,2882292
