panel,engine,cores,movesper,spacing,mmoves_s,commits,aborts
batched,baseline,1,3,64,1.56019,0,0
batched,esc-dumb,1,3,64,1.01076,0,269824
batched,esc-smart,1,3,64,0.950984,0,253872
batched,baseline,4,3,64,3.68128,0,136176
batched,esc-dumb,4,3,64,2.72588,0,786111
batched,esc-smart,4,3,64,2.6437,0,754867
batched,baseline,16,3,64,8.34562,0,420566
batched,esc-dumb,16,3,64,6.6048,0,1956967
batched,esc-smart,16,3,64,6.5934,0,1933380
batched,baseline,64,3,64,20.8344,0,1170401
batched,esc-dumb,64,3,64,17.3899,0,5205911
batched,esc-smart,64,3,64,16.8265,0,4987073
batched,baseline,128,3,64,26.8416,0,1524504
batched,esc-dumb,128,3,64,22.0712,0,6584474
batched,esc-smart,128,3,64,22.3489,0,6621786
batched,baseline,192,3,64,29.6399,0,1649946
batched,esc-dumb,192,3,64,23.9564,0,7112770
batched,esc-smart,192,3,64,24.2042,0,7146275
sparse,baseline,1,1,4096,1.58945,0,0
sparse,esc-dumb,1,1,4096,1.11568,0,722354
sparse,esc-smart,1,1,4096,1.42138,0,1164
sparse,baseline,4,1,4096,4.84983,0,55
sparse,esc-dumb,4,1,4096,3.38785,0,2431107
sparse,esc-smart,4,1,4096,4.41681,0,5732
sparse,baseline,16,1,4096,11.9823,0,157
sparse,esc-dumb,16,1,4096,7.76381,0,5952395
sparse,esc-smart,16,1,4096,11.2534,0,31317
sparse,baseline,64,1,4096,19.8376,0,340
sparse,esc-dumb,64,1,4096,12.2062,0,9528300
sparse,esc-smart,64,1,4096,19.3641,0,132768
sparse,baseline,128,1,4096,21.1611,0,434
sparse,esc-dumb,128,1,4096,12.7822,0,10041218
sparse,esc-smart,128,1,4096,20.5725,0,237453
sparse,baseline,192,1,4096,22.6053,0,510
sparse,esc-dumb,192,1,4096,13.7404,0,10811937
sparse,esc-smart,192,1,4096,22.0295,0,333305
