panel,engine,readers,writers,mchurn_s,mlookups_s,conserved
churn_w,seqlock,0,1,5.98475,0,OK
churn_w,txn-global,0,1,2.97434,0,OK
churn_w,txn-pernode,0,1,2.97671,0,OK
churn_w,txn-mark,0,1,2.96613,0,OK
churn_w,seqlock,0,2,7.90283,0,OK
churn_w,txn-global,0,2,5.34259,0,OK
churn_w,txn-pernode,0,2,5.35531,0,OK
churn_w,txn-mark,0,2,5.35231,0,OK
churn_w,seqlock,0,4,15.9317,0,OK
churn_w,txn-global,0,4,10.6727,0,OK
churn_w,txn-pernode,0,4,10.7705,0,OK
churn_w,txn-mark,0,4,10.7523,0,OK
churn_w,seqlock,0,8,30.8785,0,OK
churn_w,txn-global,0,8,20.8606,0,OK
churn_w,txn-pernode,0,8,20.9943,0,OK
churn_w,txn-mark,0,8,20.7473,0,OK
churn_w,seqlock,0,16,45.9396,0,OK
churn_w,txn-global,0,16,32.247,0,OK
churn_w,txn-pernode,0,16,32.2023,0,OK
churn_w,txn-mark,0,16,31.9664,0,OK
churn_w,seqlock,0,32,87.7434,0,OK
churn_w,txn-global,0,32,63.028,0,OK
churn_w,txn-pernode,0,32,62.773,0,OK
churn_w,txn-mark,0,32,62.2998,0,OK
churn_w,seqlock,0,48,123.655,0,OK
churn_w,txn-global,0,48,84.9803,0,OK
churn_w,txn-pernode,0,48,92.1586,0,OK
churn_w,txn-mark,0,48,91.4506,0,OK
churn_rd,seqlock,32,1,1.22699,316.372,OK
churn_rd,txn-global,32,1,1.14683,359.475,OK
churn_rd,txn-pernode,32,1,1.11498,337.747,OK
churn_rd,txn-mark,32,1,1.11332,344.001,OK
churn_rd,seqlock,32,2,1.85953,294.946,OK
churn_rd,txn-global,32,2,1.93333,358.522,OK
churn_rd,txn-pernode,32,2,2.36609,344.556,OK
churn_rd,txn-mark,32,2,2.40025,352.039,OK
churn_rd,seqlock,32,4,6.79776,292.417,OK
churn_rd,txn-global,32,4,6.19047,357.666,OK
churn_rd,txn-pernode,32,4,4.70301,337.951,OK
churn_rd,txn-mark,32,4,4.74343,342.709,OK
churn_rd,seqlock,32,8,15.9098,252.046,OK
churn_rd,txn-global,32,8,17.2299,333.876,OK
churn_rd,txn-pernode,32,8,15.1933,314.737,OK
churn_rd,txn-mark,32,8,17.1405,311.475,OK
churn_rd,seqlock,32,16,33.4982,220.082,OK
churn_rd,txn-global,32,16,30.4493,316.577,OK
churn_rd,txn-pernode,32,16,29.5396,303.417,OK
churn_rd,txn-mark,32,16,26.8843,291.529,OK
churn_rd,seqlock,32,32,69.0424,191.535,OK
churn_rd,txn-global,32,32,56.9331,306.414,OK
churn_rd,txn-pernode,32,32,53.2265,293.076,OK
churn_rd,txn-mark,32,32,56.748,284.572,OK
churn_rd,seqlock,32,48,104.002,171.302,OK
churn_rd,txn-global,32,48,81.1565,282.772,OK
churn_rd,txn-pernode,32,48,80.832,271.334,OK
churn_rd,txn-mark,32,48,80.4631,255.263,OK
churn_scale,seqlock,2,8,23.0064,8.53944,OK
churn_scale,txn-global,2,8,20.527,20.4647,OK
churn_scale,txn-pernode,2,8,20.4357,19.6926,OK
churn_scale,txn-mark,2,8,20.3414,19.2332,OK
churn_scale,seqlock,4,8,22.0009,27.7055,OK
churn_scale,txn-global,4,8,20.4709,41.9243,OK
churn_scale,txn-pernode,4,8,20.4669,39.8558,OK
churn_scale,txn-mark,4,8,20.3974,38.9126,OK
churn_scale,seqlock,8,8,19.1305,63.2686,OK
churn_scale,txn-global,8,8,19.7453,83.7706,OK
churn_scale,txn-pernode,8,8,19.7931,79.2929,OK
churn_scale,txn-mark,8,8,19.4467,77.3979,OK
churn_scale,seqlock,16,8,13.2788,113.961,OK
churn_scale,txn-global,16,8,17.8197,164.101,OK
churn_scale,txn-pernode,16,8,18.844,159.415,OK
churn_scale,txn-mark,16,8,18.7926,156.178,OK
churn_scale,seqlock,32,8,16.1521,253.561,OK
churn_scale,txn-global,32,8,17.1196,331.189,OK
churn_scale,txn-pernode,32,8,17.051,315.722,OK
churn_scale,txn-mark,32,8,17.2052,313.082,OK
churn_scale,seqlock,48,8,15.0474,379.282,OK
churn_scale,txn-global,48,8,15.5201,492.88,OK
churn_scale,txn-pernode,48,8,15.0552,471.231,OK
churn_scale,txn-mark,48,8,15.2903,462.225,OK
churn_scale,seqlock,64,8,13.7166,475.995,OK
churn_scale,txn-global,64,8,13.5486,609.801,OK
churn_scale,txn-pernode,64,8,13.345,580.007,OK
churn_scale,txn-mark,64,8,13.6765,573.967,OK
churn_scale,seqlock,96,8,10.0868,644.677,OK
churn_scale,txn-global,96,8,9.83018,825.351,OK
churn_scale,txn-pernode,96,8,9.59693,791.845,OK
churn_scale,txn-mark,96,8,9.62342,782.552,OK
churn_scale,seqlock,128,8,8.66154,837.436,OK
churn_scale,txn-global,128,8,9.61575,1150.25,OK
churn_scale,txn-pernode,128,8,8.67071,1105.64,OK
churn_scale,txn-mark,128,8,9.44048,1085.31,OK
churn_scale,seqlock,160,8,8.08296,1005.32,OK
churn_scale,txn-global,160,8,8.63415,1429.69,OK
churn_scale,txn-pernode,160,8,8.09727,1379.34,OK
churn_scale,txn-mark,160,8,8.22447,1359.94,OK
churn_scale,seqlock,184,8,7.42086,1092.28,OK
churn_scale,txn-global,184,8,8.97109,1572.33,OK
churn_scale,txn-pernode,184,8,7.72243,1486.51,OK
churn_scale,txn-mark,184,8,7.59631,1462.04,OK
