panel,engine,readers,writers,mchurn_s,mlookups_s,conserved
churn_w,seqlock,0,1,7.34141,0,OK
churn_w,txn-global,0,1,5.49817,0,OK
churn_w,txn-pernode,0,1,5.50811,0,OK
churn_w,txn-mark,0,1,5.57426,0,OK
churn_w,bucketlock,0,1,7.53011,0,OK
churn_w,seqlock,0,2,10.5553,0,OK
churn_w,txn-global,0,2,8.39776,0,OK
churn_w,txn-pernode,0,2,8.3463,0,OK
churn_w,txn-mark,0,2,8.4899,0,OK
churn_w,bucketlock,0,2,10.9027,0,OK
churn_w,seqlock,0,4,21.9882,0,OK
churn_w,txn-global,0,4,16.9483,0,OK
churn_w,txn-pernode,0,4,16.8625,0,OK
churn_w,txn-mark,0,4,17.0511,0,OK
churn_w,bucketlock,0,4,22.8999,0,OK
churn_w,seqlock,0,8,39.5968,0,OK
churn_w,txn-global,0,8,30.7943,0,OK
churn_w,txn-pernode,0,8,30.8198,0,OK
churn_w,txn-mark,0,8,30.5561,0,OK
churn_w,bucketlock,0,8,39.4104,0,OK
churn_w,seqlock,0,16,59.8618,0,OK
churn_w,txn-global,0,16,42.9335,0,OK
churn_w,txn-pernode,0,16,43.0006,0,OK
churn_w,txn-mark,0,16,42.553,0,OK
churn_w,bucketlock,0,16,57.0501,0,OK
churn_w,seqlock,0,32,116.998,0,OK
churn_w,txn-global,0,32,84.3059,0,OK
churn_w,txn-pernode,0,32,83.9291,0,OK
churn_w,txn-mark,0,32,82.3185,0,OK
churn_w,bucketlock,0,32,110.811,0,OK
churn_w,seqlock,0,48,152.267,0,OK
churn_w,txn-global,0,48,113.374,0,OK
churn_w,txn-pernode,0,48,123.859,0,OK
churn_w,txn-mark,0,48,121.742,0,OK
churn_w,bucketlock,0,48,165.112,0,OK
churn_rd,seqlock,32,1,0.786779,297.86,OK
churn_rd,txn-global,32,1,0.981573,357.975,OK
churn_rd,txn-pernode,32,1,1.18607,340.084,OK
churn_rd,txn-mark,32,1,1.15637,343.382,OK
churn_rd,bucketlock,32,1,1.39317,308.272,OK
churn_rd,seqlock,32,2,1.79032,295.616,OK
churn_rd,txn-global,32,2,2.57762,369.95,OK
churn_rd,txn-pernode,32,2,2.49333,349.149,OK
churn_rd,txn-mark,32,2,2.57371,351.862,OK
churn_rd,bucketlock,32,2,3.22547,308.258,OK
churn_rd,seqlock,32,4,7.63848,289.126,OK
churn_rd,txn-global,32,4,8.12585,368.81,OK
churn_rd,txn-pernode,32,4,8.28439,349.334,OK
churn_rd,txn-mark,32,4,5.85294,343.456,OK
churn_rd,bucketlock,32,4,6.49431,247.588,OK
churn_rd,seqlock,32,8,12.5196,223.26,OK
churn_rd,txn-global,32,8,22.6258,325.808,OK
churn_rd,txn-pernode,32,8,22.4243,311.283,OK
churn_rd,txn-mark,32,8,24.5729,305.936,OK
churn_rd,bucketlock,32,8,21.7878,228.032,OK
churn_rd,seqlock,32,16,37.8237,213.807,OK
churn_rd,txn-global,32,16,40.1747,322.442,OK
churn_rd,txn-pernode,32,16,40.204,309.005,OK
churn_rd,txn-mark,32,16,39.6777,292.805,OK
churn_rd,bucketlock,32,16,42.3218,198.332,OK
churn_rd,seqlock,32,32,59.7126,137.453,OK
churn_rd,txn-global,32,32,78.8458,314.385,OK
churn_rd,txn-pernode,32,32,79.098,301.138,OK
churn_rd,txn-mark,32,32,69.8814,280.258,OK
churn_rd,bucketlock,32,32,88.2822,174.715,OK
churn_rd,seqlock,32,48,126.04,168.232,OK
churn_rd,txn-global,32,48,107.651,290.781,OK
churn_rd,txn-pernode,32,48,107.954,279.275,OK
churn_rd,txn-mark,32,48,105.764,258.566,OK
churn_rd,bucketlock,32,48,133.349,157.987,OK
churn_scale,seqlock,2,8,30.7921,11.6294,OK
churn_scale,txn-global,2,8,30.4447,20.1061,OK
churn_scale,txn-pernode,2,8,30.2514,19.238,OK
churn_scale,txn-mark,2,8,30.0738,18.7983,OK
churn_scale,bucketlock,2,8,33.8588,11.0545,OK
churn_scale,seqlock,4,8,26.4068,26.732,OK
churn_scale,txn-global,4,8,30.543,40.9648,OK
churn_scale,txn-pernode,4,8,30.5079,39.2825,OK
churn_scale,txn-mark,4,8,30.2761,38.1486,OK
churn_scale,bucketlock,4,8,31.2897,24.5568,OK
churn_scale,seqlock,8,8,22.222,62.0864,OK
churn_scale,txn-global,8,8,29.0778,82.5962,OK
churn_scale,txn-pernode,8,8,29.3158,78.7066,OK
churn_scale,txn-mark,8,8,28.8452,76.437,OK
churn_scale,bucketlock,8,8,26.6497,55.9512,OK
churn_scale,seqlock,16,8,19.7209,125.268,OK
churn_scale,txn-global,16,8,27.7639,165.195,OK
churn_scale,txn-pernode,16,8,27.7638,157.646,OK
churn_scale,txn-mark,16,8,27.4722,153.523,OK
churn_scale,bucketlock,16,8,24.1491,114.28,OK
churn_scale,seqlock,32,8,17.841,249.678,OK
churn_scale,txn-global,32,8,24.9117,329.41,OK
churn_scale,txn-pernode,32,8,24.8067,313.385,OK
churn_scale,txn-mark,32,8,24.5446,306.498,OK
churn_scale,bucketlock,32,8,21.8084,227.01,OK
churn_scale,seqlock,48,8,16.1966,373.359,OK
churn_scale,txn-global,48,8,21.3561,488.593,OK
