panel,engine,readers,writers,mchurn_s,mlookups_s,conserved
churn_w,seqlock,0,1,7.37673,0,OK
churn_w,txn-global,0,1,5.77371,0,OK
churn_w,txn-pernode,0,1,5.71538,0,OK
churn_w,txn-mark,0,1,5.81695,0,OK
churn_w,bucketlock,0,1,7.49225,0,OK
churn_w,seqlock,0,2,10.5573,0,OK
churn_w,txn-global,0,2,8.6286,0,OK
churn_w,txn-pernode,0,2,8.65724,0,OK
churn_w,txn-mark,0,2,8.65729,0,OK
churn_w,bucketlock,0,2,10.8586,0,OK
churn_w,seqlock,0,4,21.9509,0,OK
churn_w,txn-global,0,4,17.4696,0,OK
churn_w,txn-pernode,0,4,17.4601,0,OK
churn_w,txn-mark,0,4,17.4446,0,OK
churn_w,bucketlock,0,4,22.7188,0,OK
churn_w,seqlock,0,8,39.56,0,OK
churn_w,txn-global,0,8,31.8694,0,OK
churn_w,txn-pernode,0,8,31.7668,0,OK
churn_w,txn-mark,0,8,31.4187,0,OK
churn_w,bucketlock,0,8,39.3499,0,OK
churn_w,seqlock,0,16,59.9039,0,OK
churn_w,txn-global,0,16,44.2039,0,OK
churn_w,txn-pernode,0,16,44.1978,0,OK
churn_w,txn-mark,0,16,43.4853,0,OK
churn_w,bucketlock,0,16,56.6977,0,OK
churn_w,seqlock,0,32,117.514,0,OK
churn_w,txn-global,0,32,86.6015,0,OK
churn_w,txn-pernode,0,32,86.7918,0,OK
churn_w,txn-mark,0,32,84.9627,0,OK
churn_w,bucketlock,0,32,111.326,0,OK
churn_w,seqlock,0,48,173.504,0,OK
churn_w,txn-global,0,48,127.685,0,OK
churn_w,txn-pernode,0,48,127.796,0,OK
churn_w,txn-mark,0,48,125.015,0,OK
churn_w,bucketlock,0,48,164.795,0,OK
churn_rd,seqlock,32,1,1.32469,313.995,OK
churn_rd,txn-global,32,1,1.25427,362.27,OK
churn_rd,txn-pernode,32,1,0.988363,337.761,OK
churn_rd,txn-mark,32,1,0.974398,341.008,OK
churn_rd,bucketlock,32,1,0.880788,294.45,OK
churn_rd,seqlock,32,2,1.79672,295.167,OK
churn_rd,txn-global,32,2,2.62866,369.841,OK
churn_rd,txn-pernode,32,2,1.97679,344.96,OK
churn_rd,txn-mark,32,2,2.62232,350.747,OK
churn_rd,bucketlock,32,2,2.03172,290.926,OK
churn_rd,seqlock,32,4,5.40255,263.261,OK
churn_rd,txn-global,32,4,8.32359,368.881,OK
churn_rd,txn-pernode,32,4,6.12241,344.019,OK
churn_rd,txn-mark,32,4,6.0322,343.009,OK
churn_rd,bucketlock,32,4,6.50054,248.082,OK
churn_rd,seqlock,32,8,12.4734,223.037,OK
churn_rd,txn-global,32,8,22.9483,325.954,OK
churn_rd,txn-pernode,32,8,23.0434,310.778,OK
churn_rd,txn-mark,32,8,22.706,303.657,OK
churn_rd,bucketlock,32,8,16.569,190.179,OK
churn_rd,seqlock,32,16,26.8708,174.003,OK
churn_rd,txn-global,32,16,36.4225,318.757,OK
churn_rd,txn-pernode,32,16,41.4767,308.794,OK
churn_rd,txn-mark,32,16,40.908,293.537,OK
churn_rd,bucketlock,32,16,42.4183,196.04,OK
churn_rd,seqlock,32,32,81.2042,187.482,OK
churn_rd,txn-global,32,32,72.589,314.013,OK
churn_rd,txn-pernode,32,32,81.574,302.186,OK
churn_rd,txn-mark,32,32,80.0567,283.01,OK
churn_rd,bucketlock,32,32,88.858,174.579,OK
churn_rd,seqlock,32,48,125.949,168.019,OK
churn_rd,txn-global,32,48,111.643,291.542,OK
churn_rd,txn-pernode,32,48,111.77,281.066,OK
churn_rd,txn-mark,32,48,109.609,261.925,OK
churn_rd,bucketlock,32,48,133.724,158.203,OK
churn_scale,seqlock,2,8,30.9788,11.6091,OK
churn_scale,txn-global,2,8,31.3364,20.0968,OK
churn_scale,txn-pernode,2,8,31.432,19.2391,OK
churn_scale,txn-mark,2,8,30.8419,18.7551,OK
churn_scale,bucketlock,2,8,33.6854,11.0681,OK
churn_scale,seqlock,4,8,21.1013,20.6854,OK
churn_scale,txn-global,4,8,31.2074,40.4203,OK
churn_scale,txn-pernode,4,8,31.1916,38.6093,OK
churn_scale,txn-mark,4,8,30.9652,38.1201,OK
churn_scale,bucketlock,4,8,31.3042,24.7294,OK
churn_scale,seqlock,8,8,21.9357,61.7772,OK
churn_scale,txn-global,8,8,30.0088,82.2254,OK
churn_scale,txn-pernode,8,8,29.4073,77.7874,OK
churn_scale,txn-mark,8,8,29.0149,75.674,OK
churn_scale,bucketlock,8,8,26.8733,55.4997,OK
churn_scale,seqlock,16,8,19.9038,125.129,OK
churn_scale,txn-global,16,8,28.7595,165.139,OK
churn_scale,txn-pernode,16,8,28.7806,157.928,OK
churn_scale,txn-mark,16,8,28.3445,153.828,OK
churn_scale,bucketlock,16,8,24.3361,113.647,OK
churn_scale,seqlock,32,8,17.8411,249.744,OK
churn_scale,txn-global,32,8,25.8982,330.308,OK
churn_scale,txn-pernode,32,8,25.9024,314.943,OK
churn_scale,txn-mark,32,8,25.5344,307.108,OK
churn_scale,bucketlock,32,8,21.6759,226.312,OK
churn_scale,seqlock,48,8,16.2556,373.583,OK
churn_scale,txn-global,48,8,22.6859,478.363,OK
churn_scale,txn-pernode,48,8,22.9832,459.571,OK
churn_scale,txn-mark,48,8,19.0534,445.959,OK
churn_scale,bucketlock,48,8,20.5605,336.332,OK
churn_scale,seqlock,64,8,14.7271,469.865,OK
churn_scale,txn-global,64,8,18.7145,603.018,OK
churn_scale,txn-pernode,64,8,16.8755,576.959,OK
churn_scale,txn-mark,64,8,18.6249,566.81,OK
churn_scale,bucketlock,64,8,19.1105,433.107,OK
churn_scale,seqlock,96,8,8.46778,583.748,OK
churn_scale,txn-global,96,8,11.249,820.858,OK
churn_scale,txn-pernode,96,8,11.3914,787.776,OK
churn_scale,txn-mark,96,8,13.6581,773.702,OK
churn_scale,bucketlock,96,8,11.7262,512.627,OK
