panel,engine,readers,writers,mchurn_s,mlookups_s,conserved
churn_w,seqlock,0,1,7.38375,0,OK
churn_w,txn-global,0,1,4.99728,0,OK
churn_w,txn-pernode,0,1,5.0635,0,OK
churn_w,txn-mark,0,1,5.05728,0,OK
churn_w,bucketlock,0,1,7.48879,0,OK
churn_w,seqlock,0,2,10.5404,0,OK
churn_w,txn-global,0,2,7.74279,0,OK
churn_w,txn-pernode,0,2,7.62296,0,OK
churn_w,txn-mark,0,2,7.69614,0,OK
churn_w,bucketlock,0,2,10.8653,0,OK
churn_w,seqlock,0,4,21.9322,0,OK
churn_w,txn-global,0,4,11.2147,0,OK
churn_w,txn-pernode,0,4,11.3245,0,OK
churn_w,txn-mark,0,4,11.1251,0,OK
churn_w,bucketlock,0,4,22.7996,0,OK
churn_w,seqlock,0,8,39.6198,0,OK
churn_w,txn-global,0,8,19.8221,0,OK
churn_w,txn-pernode,0,8,20.7183,0,OK
churn_w,txn-mark,0,8,19.3594,0,OK
churn_w,bucketlock,0,8,39.3255,0,OK
churn_w,seqlock,0,16,52.8516,0,OK
churn_w,txn-global,0,16,27.6092,0,OK
churn_w,txn-pernode,0,16,26.2188,0,OK
churn_w,txn-mark,0,16,27.6861,0,OK
churn_w,bucketlock,0,16,57.1482,0,OK
churn_w,seqlock,0,32,116.997,0,OK
churn_w,txn-global,0,32,32.5391,0,OK
churn_w,txn-pernode,0,32,32.4391,0,OK
churn_w,txn-mark,0,32,35.1065,0,OK
churn_w,bucketlock,0,32,110.986,0,OK
churn_w,seqlock,0,48,173.08,0,OK
churn_w,txn-global,0,48,34.0559,0,OK
churn_w,txn-pernode,0,48,31.6413,0,OK
churn_w,txn-mark,0,48,32.1504,0,OK
churn_w,bucketlock,0,48,164.579,0,OK
churn_rd,seqlock,32,1,1.32601,310.343,OK
churn_rd,txn-global,32,1,1.18315,359.927,OK
churn_rd,txn-pernode,32,1,0.955699,336.772,OK
churn_rd,txn-mark,32,1,0.954353,340.741,OK
churn_rd,bucketlock,32,1,0.883715,294.214,OK
churn_rd,seqlock,32,2,2.75363,312.031,OK
churn_rd,txn-global,32,2,2.54544,367.863,OK
churn_rd,txn-pernode,32,2,2.44104,347.343,OK
churn_rd,txn-mark,32,2,1.95258,347.657,OK
churn_rd,bucketlock,32,2,3.2171,305.735,OK
churn_rd,seqlock,32,4,5.49942,260.647,OK
churn_rd,txn-global,32,4,5.80375,358.506,OK
churn_rd,txn-pernode,32,4,7.80968,344.967,OK
churn_rd,txn-mark,32,4,5.88227,342.875,OK
churn_rd,bucketlock,32,4,6.53247,247.783,OK
churn_rd,seqlock,32,8,17.6601,247.624,OK
churn_rd,txn-global,32,8,17.04,325.482,OK
churn_rd,txn-pernode,32,8,17.4813,308.611,OK
churn_rd,txn-mark,32,8,16.9551,303.574,OK
churn_rd,bucketlock,32,8,21.6401,224.569,OK
churn_rd,seqlock,32,16,26.7963,173.108,OK
churn_rd,txn-global,32,16,28.6734,318.76,OK
churn_rd,txn-pernode,32,16,28.8893,307.709,OK
churn_rd,txn-mark,32,16,28.9018,292.584,OK
churn_rd,bucketlock,32,16,42.2801,196.073,OK
churn_rd,seqlock,32,32,81.4133,187.516,OK
churn_rd,txn-global,32,32,32.7133,319.373,OK
churn_rd,txn-pernode,32,32,36.3365,304.093,OK
churn_rd,txn-mark,32,32,34.8857,286.603,OK
churn_rd,bucketlock,32,32,72.7092,126.74,OK
churn_rd,seqlock,32,48,125.964,167.812,OK
churn_rd,txn-global,32,48,33.8821,306.73,OK
churn_rd,txn-pernode,32,48,35.5066,293.034,OK
churn_rd,txn-mark,32,48,38.2477,273.944,OK
churn_rd,bucketlock,32,48,133.399,157.606,OK
churn_scale,seqlock,2,8,30.9023,11.6543,OK
churn_scale,txn-global,2,8,19.8165,20.1643,OK
churn_scale,txn-pernode,2,8,20.2626,19.1807,OK
churn_scale,txn-mark,2,8,19.4926,18.777,OK
churn_scale,bucketlock,2,8,33.7582,11.0541,OK
churn_scale,seqlock,4,8,26.5299,26.8868,OK
churn_scale,txn-global,4,8,20.2554,40.9251,OK
churn_scale,txn-pernode,4,8,19.8713,38.9172,OK
churn_scale,txn-mark,4,8,19.8936,38.1456,OK
churn_scale,bucketlock,4,8,31.1621,24.1465,OK
churn_scale,seqlock,8,8,16.1021,54.8162,OK
churn_scale,txn-global,8,8,19.709,81.1802,OK
churn_scale,txn-pernode,8,8,19.5969,77.1547,OK
churn_scale,txn-mark,8,8,18.9719,76.5583,OK
churn_scale,bucketlock,8,8,21.7029,46.2406,OK
churn_scale,seqlock,16,8,14.262,111.464,OK
churn_scale,txn-global,16,8,18.5922,162.397,OK
churn_scale,txn-pernode,16,8,18.7942,154.942,OK
churn_scale,txn-mark,16,8,18.7169,151.668,OK
churn_scale,bucketlock,16,8,24.2211,112.974,OK
churn_scale,seqlock,32,8,17.9057,249.053,OK
churn_scale,txn-global,32,8,18.8815,328.868,OK
churn_scale,txn-pernode,32,8,18.3786,312.69,OK
churn_scale,txn-mark,32,8,18.2574,306.61,OK
churn_scale,bucketlock,32,8,21.7516,224.864,OK
churn_scale,seqlock,48,8,11.4486,330.321,OK
churn_scale,txn-global,48,8,15.2071,473.728,OK
churn_scale,txn-pernode,48,8,17.1788,455.627,OK
churn_scale,txn-mark,48,8,16.892,447.85,OK
churn_scale,bucketlock,48,8,20.5906,335.843,OK
churn_scale,seqlock,64,8,14.7385,469.907,OK
churn_scale,txn-global,64,8,14.3585,602.056,OK
churn_scale,txn-pernode,64,8,14.5283,576.505,OK
churn_scale,txn-mark,64,8,14.4914,566.534,OK
churn_scale,bucketlock,64,8,19.0141,429.689,OK
churn_scale,seqlock,96,8,10.2698,639.166,OK
churn_scale,txn-global,96,8,10.0072,814.718,OK
churn_scale,txn-pernode,96,8,11.1408,780.611,OK
churn_scale,txn-mark,96,8,9.88817,769.71,OK
churn_scale,bucketlock,96,8,11.6723,511.087,OK
churn_scale,seqlock,128,8,8.20028,844.27,OK
churn_scale,txn-global,128,8,8.94361,1140.16,OK
churn_scale,txn-pernode,128,8,8.99269,1089.76,OK
churn_scale,txn-mark,128,8,8.1609,1070.77,OK
churn_scale,bucketlock,128,8,10.0873,708.711,OK
churn_scale,seqlock,160,8,6.53302,1013.1,OK
churn_scale,txn-global,160,8,7.56688,1400.1,OK
churn_scale,txn-pernode,160,8,7.64041,1341.88,OK
churn_scale,txn-mark,160,8,7.16088,1318.64,OK
churn_scale,bucketlock,160,8,9.46965,908.576,OK
churn_scale,seqlock,184,8,6.48032,1119.21,OK
churn_scale,txn-global,184,8,7.31183,1553.15,OK
churn_scale,txn-pernode,184,8,7.27902,1464.64,OK
churn_scale,txn-mark,184,8,7.17318,1445.08,OK
churn_scale,bucketlock,184,8,8.40849,1002.68,OK
