engine,dirmul,writers,ndirs,mchurn_s,conserved
seqlock,writers/16,1,1,7.17991,OK
seqlock,writers,1,1,7.25521,OK
seqlock,16*writers,1,16,7.37969,OK
txn-global,writers/16,1,1,4.48966,OK
txn-global,writers,1,1,4.48838,OK
txn-global,16*writers,1,16,4.81614,OK
txn-pernode,writers/16,1,1,4.49174,OK
txn-pernode,writers,1,1,4.53309,OK
txn-pernode,16*writers,1,16,4.85201,OK
txn-mark,writers/16,1,1,4.55293,OK
txn-mark,writers,1,1,4.54534,OK
txn-mark,16*writers,1,16,4.87309,OK
bucketlock,writers/16,1,1,7.98112,OK
bucketlock,writers,1,1,8.00443,OK
bucketlock,16*writers,1,16,7.44695,OK
seqlock,writers/16,2,1,3.42884,OK
seqlock,writers,2,2,4.86727,OK
seqlock,16*writers,2,32,10.6068,OK
txn-global,writers/16,2,1,6.79541,OK
txn-global,writers,2,2,6.75727,OK
txn-global,16*writers,2,32,7.47201,OK
txn-pernode,writers/16,2,1,6.82033,OK
txn-pernode,writers,2,2,6.69634,OK
txn-pernode,16*writers,2,32,7.49191,OK
txn-mark,writers/16,2,1,6.79874,OK
txn-mark,writers,2,2,6.69255,OK
txn-mark,16*writers,2,32,7.58072,OK
bucketlock,writers/16,2,1,9.66773,OK
bucketlock,writers,2,2,10.1583,OK
bucketlock,16*writers,2,32,10.8551,OK
seqlock,writers/16,4,1,2.32579,OK
seqlock,writers,4,4,7.18494,OK
seqlock,16*writers,4,64,21.9804,OK
txn-global,writers/16,4,1,8.26145,OK
txn-global,writers,4,4,9.10951,OK
txn-global,16*writers,4,64,11.0595,OK
txn-pernode,writers/16,4,1,8.28509,OK
txn-pernode,writers,4,4,9.19173,OK
txn-pernode,16*writers,4,64,11.2445,OK
txn-mark,writers/16,4,1,8.20414,OK
txn-mark,writers,4,4,8.94672,OK
txn-mark,16*writers,4,64,11.271,OK
bucketlock,writers/16,4,1,10.8422,OK
bucketlock,writers,4,4,18.9933,OK
bucketlock,16*writers,4,64,22.9144,OK
seqlock,writers/16,8,1,1.59083,OK
seqlock,writers,8,8,11.4639,OK
seqlock,16*writers,8,128,39.504,OK
txn-global,writers/16,8,1,6.91119,OK
txn-global,writers,8,8,15.9831,OK
txn-global,16*writers,8,128,20.0824,OK
txn-pernode,writers/16,8,1,7.01037,OK
txn-pernode,writers,8,8,15.7022,OK
txn-pernode,16*writers,8,128,20.2026,OK
txn-mark,writers/16,8,1,7.09663,OK
txn-mark,writers,8,8,15.7399,OK
