engine,dirmul,writers,ndirs,mchurn_s,conserved
seqlock,writers/16,1,1,7.20876,OK
seqlock,writers,1,1,7.22428,OK
seqlock,16*writers,1,16,7.38438,OK
txn-global,writers/16,1,1,5.29343,OK
txn-global,writers,1,1,5.24419,OK
txn-global,16*writers,1,16,5.47049,OK
txn-pernode,writers/16,1,1,5.19241,OK
txn-pernode,writers,1,1,5.26147,OK
txn-pernode,16*writers,1,16,5.53371,OK
txn-mark,writers/16,1,1,5.35096,OK
txn-mark,writers,1,1,5.32648,OK
txn-mark,16*writers,1,16,5.55347,OK
bucketlock,writers/16,1,1,8.04664,OK
bucketlock,writers,1,1,8.07316,OK
bucketlock,16*writers,1,16,7.54035,OK
seqlock,writers/16,2,1,3.43099,OK
seqlock,writers,2,2,4.9053,OK
seqlock,16*writers,2,32,10.5362,OK
txn-global,writers/16,2,1,7.36473,OK
txn-global,writers,2,2,7.47603,OK
txn-global,16*writers,2,32,8.40373,OK
txn-pernode,writers/16,2,1,7.35545,OK
txn-pernode,writers,2,2,7.45804,OK
txn-pernode,16*writers,2,32,8.34375,OK
txn-mark,writers/16,2,1,7.49063,OK
txn-mark,writers,2,2,7.5456,OK
txn-mark,16*writers,2,32,8.47804,OK
bucketlock,writers/16,2,1,9.74934,OK
bucketlock,writers,2,2,10.1997,OK
bucketlock,16*writers,2,32,10.9035,OK
seqlock,writers/16,4,1,2.39837,OK
seqlock,writers,4,4,7.22689,OK
seqlock,16*writers,4,64,21.9444,OK
txn-global,writers/16,4,1,9.66139,OK
txn-global,writers,4,4,13.4492,OK
txn-global,16*writers,4,64,16.9765,OK
txn-pernode,writers/16,4,1,9.64347,OK
txn-pernode,writers,4,4,13.413,OK
txn-pernode,16*writers,4,64,16.8085,OK
txn-mark,writers/16,4,1,9.67285,OK
txn-mark,writers,4,4,13.6131,OK
txn-mark,16*writers,4,64,17.0062,OK
bucketlock,writers/16,4,1,10.8634,OK
bucketlock,writers,4,4,19.0929,OK
bucketlock,16*writers,4,64,22.8416,OK
seqlock,writers/16,8,1,1.66426,OK
seqlock,writers,8,8,11.4934,OK
seqlock,16*writers,8,128,39.5909,OK
txn-global,writers/16,8,1,6.72432,OK
txn-global,writers,8,8,23.3137,OK
txn-global,16*writers,8,128,30.8434,OK
txn-pernode,writers/16,8,1,6.69339,OK
txn-pernode,writers,8,8,23.1663,OK
txn-pernode,16*writers,8,128,30.5884,OK
txn-mark,writers/16,8,1,6.71908,OK
txn-mark,writers,8,8,23.4696,OK
txn-mark,16*writers,8,128,30.491,OK
bucketlock,writers/16,8,1,5.0419,OK
bucketlock,writers,8,8,31.6284,OK
bucketlock,16*writers,8,128,39.5517,OK
seqlock,writers/16,16,1,0.890172,OK
seqlock,writers,16,16,11.0029,OK
seqlock,16*writers,16,256,59.7568,OK
txn-global,writers/16,16,1,3.17305,OK
txn-global,writers,16,16,26.9508,OK
txn-global,16*writers,16,256,43.0709,OK
txn-pernode,writers/16,16,1,3.14811,OK
txn-pernode,writers,16,16,26.6861,OK
txn-pernode,16*writers,16,256,39.1846,OK
txn-mark,writers/16,16,1,3.14946,OK
txn-mark,writers,16,16,26.7247,OK
txn-mark,16*writers,16,256,42.2213,OK
bucketlock,writers/16,16,1,1.795,OK
bucketlock,writers,16,16,32.3025,OK
bucketlock,16*writers,16,256,57.1396,OK
seqlock,writers/16,32,2,0.955221,OK
seqlock,writers,32,32,16.6635,OK
seqlock,16*writers,32,512,102.938,OK
txn-global,writers/16,32,2,4.337,OK
txn-global,writers,32,32,38.4561,OK
txn-global,16*writers,32,512,76.7699,OK
txn-pernode,writers/16,32,2,4.75608,OK
txn-pernode,writers,32,32,41.0243,OK
txn-pernode,16*writers,32,512,83.8455,OK
txn-mark,writers/16,32,2,4.32054,OK
txn-mark,writers,32,32,38.6116,OK
txn-mark,16*writers,32,512,75.2042,OK
bucketlock,writers/16,32,2,2.19932,OK
bucketlock,writers,32,32,48.7266,OK
bucketlock,16*writers,32,512,111.837,OK
seqlock,writers/16,48,3,1.0708,OK
seqlock,writers,48,48,22.6884,OK
