engine,dirmul,writers,ndirs,mchurn_s,conserved
seqlock,writers/16,1,1,7.23873,OK
seqlock,writers,1,1,7.22033,OK
seqlock,16*writers,1,16,7.36147,OK
txn-global,writers/16,1,1,5.56246,OK
txn-global,writers,1,1,5.60143,OK
txn-global,16*writers,1,16,5.75258,OK
txn-pernode,writers/16,1,1,5.5393,OK
txn-pernode,writers,1,1,5.57034,OK
txn-pernode,16*writers,1,16,5.76701,OK
txn-mark,writers/16,1,1,5.59689,OK
txn-mark,writers,1,1,5.61534,OK
txn-mark,16*writers,1,16,5.80686,OK
bucketlock,writers/16,1,1,7.99293,OK
bucketlock,writers,1,1,8.01725,OK
bucketlock,16*writers,1,16,7.50106,OK
seqlock,writers/16,2,1,3.42906,OK
seqlock,writers,2,2,4.8909,OK
seqlock,16*writers,2,32,10.5807,OK
txn-global,writers/16,2,1,7.61008,OK
txn-global,writers,2,2,7.78032,OK
txn-global,16*writers,2,32,8.64344,OK
txn-pernode,writers/16,2,1,7.61665,OK
txn-pernode,writers,2,2,7.80871,OK
txn-pernode,16*writers,2,32,8.63008,OK
txn-mark,writers/16,2,1,7.61387,OK
txn-mark,writers,2,2,7.76423,OK
txn-mark,16*writers,2,32,8.65698,OK
bucketlock,writers/16,2,1,9.67638,OK
bucketlock,writers,2,2,10.1383,OK
bucketlock,16*writers,2,32,10.8547,OK
seqlock,writers/16,4,1,2.40318,OK
seqlock,writers,4,4,7.22495,OK
seqlock,16*writers,4,64,21.8986,OK
txn-global,writers/16,4,1,9.05711,OK
txn-global,writers,4,4,13.9004,OK
txn-global,16*writers,4,64,17.4675,OK
txn-pernode,writers/16,4,1,9.01196,OK
txn-pernode,writers,4,4,13.8794,OK
txn-pernode,16*writers,4,64,17.5189,OK
txn-mark,writers/16,4,1,8.95989,OK
txn-mark,writers,4,4,13.8637,OK
txn-mark,16*writers,4,64,17.3658,OK
bucketlock,writers/16,4,1,10.8205,OK
bucketlock,writers,4,4,19.0195,OK
bucketlock,16*writers,4,64,22.7699,OK
seqlock,writers/16,8,1,1.65788,OK
seqlock,writers,8,8,11.5075,OK
seqlock,16*writers,8,128,39.4725,OK
txn-global,writers/16,8,1,6.2612,OK
txn-global,writers,8,8,24.1823,OK
txn-global,16*writers,8,128,31.7957,OK
txn-pernode,writers/16,8,1,6.25253,OK
txn-pernode,writers,8,8,24.1919,OK
txn-pernode,16*writers,8,128,31.8271,OK
txn-mark,writers/16,8,1,6.24953,OK
txn-mark,writers,8,8,24.0842,OK
txn-mark,16*writers,8,128,31.3744,OK
bucketlock,writers/16,8,1,5.09009,OK
bucketlock,writers,8,8,31.4378,OK
bucketlock,16*writers,8,128,39.5175,OK
seqlock,writers/16,16,1,0.893823,OK
seqlock,writers,16,16,10.5281,OK
seqlock,16*writers,16,256,52.8705,OK
txn-global,writers/16,16,1,2.84294,OK
txn-global,writers,16,16,27.1266,OK
txn-global,16*writers,16,256,44.3472,OK
txn-pernode,writers/16,16,1,2.84973,OK
txn-pernode,writers,16,16,27.0032,OK
txn-pernode,16*writers,16,256,44.3156,OK
txn-mark,writers/16,16,1,2.85932,OK
txn-mark,writers,16,16,27.0487,OK
txn-mark,16*writers,16,256,43.3915,OK
bucketlock,writers/16,16,1,1.76126,OK
bucketlock,writers,16,16,32.0414,OK
bucketlock,16*writers,16,256,57.1546,OK
seqlock,writers/16,32,2,0.954243,OK
seqlock,writers,32,32,16.4515,OK
seqlock,16*writers,32,512,117.375,OK
txn-global,writers/16,32,2,3.98909,OK
txn-global,writers,32,32,41.8352,OK
txn-global,16*writers,32,512,86.9371,OK
txn-pernode,writers/16,32,2,4.4155,OK
txn-pernode,writers,32,32,41.3754,OK
txn-pernode,16*writers,32,512,86.6857,OK
txn-mark,writers/16,32,2,4.41551,OK
txn-mark,writers,32,32,41.8809,OK
txn-mark,16*writers,32,512,84.9973,OK
bucketlock,writers/16,32,2,2.20463,OK
bucketlock,writers,32,32,48.4264,OK
bucketlock,16*writers,32,512,100.304,OK
seqlock,writers/16,48,3,1.06802,OK
seqlock,writers,48,48,22.2121,OK
seqlock,16*writers,48,768,173.841,OK
txn-global,writers/16,48,3,6.07958,OK
txn-global,writers,48,48,59.2347,OK
txn-global,16*writers,48,768,128.264,OK
txn-pernode,writers/16,48,3,6.06552,OK
txn-pernode,writers,48,48,58.961,OK
txn-pernode,16*writers,48,768,128.555,OK
txn-mark,writers/16,48,3,6.05895,OK
txn-mark,writers,48,48,58.8041,OK
txn-mark,16*writers,48,768,124.898,OK
bucketlock,writers/16,48,3,2.20653,OK
bucketlock,writers,48,48,69.2092,OK
bucketlock,16*writers,48,768,164.846,OK
seqlock,writers/16,64,4,1.13295,OK
seqlock,writers,64,64,27.7182,OK
seqlock,16*writers,64,1024,228.128,OK
txn-global,writers/16,64,4,7.20791,OK
txn-global,writers,64,64,67.9401,OK
txn-global,16*writers,64,1024,164.081,OK
txn-pernode,writers/16,64,4,7.29371,OK
txn-pernode,writers,64,64,73.7878,OK
txn-pernode,16*writers,64,1024,163.405,OK
txn-mark,writers/16,64,4,7.28625,OK
txn-mark,writers,64,64,74.4429,OK
txn-mark,16*writers,64,1024,159.96,OK
