engine,dirmul,writers,ndirs,mchurn_s,conserved
seqlock,writers/16,1,1,7.21342,OK
seqlock,writers,1,1,7.20884,OK
seqlock,16*writers,1,16,7.35309,OK
txn-global,writers/16,1,1,4.64673,OK
txn-global,writers,1,1,4.7303,OK
txn-global,16*writers,1,16,4.96571,OK
txn-pernode,writers/16,1,1,4.63485,OK
txn-pernode,writers,1,1,4.68759,OK
txn-pernode,16*writers,1,16,5.03961,OK
txn-mark,writers/16,1,1,4.64262,OK
txn-mark,writers,1,1,4.6495,OK
txn-mark,16*writers,1,16,5.05632,OK
bucketlock,writers/16,1,1,8.09571,OK
bucketlock,writers,1,1,8.05091,OK
bucketlock,16*writers,1,16,7.49592,OK
seqlock,writers/16,2,1,3.55767,OK
seqlock,writers,2,2,4.90352,OK
seqlock,16*writers,2,32,10.5742,OK
txn-global,writers/16,2,1,6.25413,OK
txn-global,writers,2,2,6.04419,OK
txn-global,16*writers,2,32,7.68681,OK
txn-pernode,writers/16,2,1,5.92281,OK
txn-pernode,writers,2,2,5.81538,OK
txn-pernode,16*writers,2,32,7.73825,OK
txn-mark,writers/16,2,1,5.94739,OK
txn-mark,writers,2,2,5.7589,OK
txn-mark,16*writers,2,32,7.72777,OK
bucketlock,writers/16,2,1,9.71143,OK
bucketlock,writers,2,2,10.176,OK
bucketlock,16*writers,2,32,10.9041,OK
seqlock,writers/16,4,1,2.33985,OK
seqlock,writers,4,4,7.22255,OK
seqlock,16*writers,4,64,21.9542,OK
txn-global,writers/16,4,1,8.21428,OK
txn-global,writers,4,4,9.33237,OK
txn-global,16*writers,4,64,11.5869,OK
txn-pernode,writers/16,4,1,8.14316,OK
txn-pernode,writers,4,4,9.21635,OK
txn-pernode,16*writers,4,64,11.7461,OK
txn-mark,writers/16,4,1,8.31225,OK
txn-mark,writers,4,4,9.28759,OK
txn-mark,16*writers,4,64,11.7555,OK
bucketlock,writers/16,4,1,10.8134,OK
bucketlock,writers,4,4,19.0122,OK
bucketlock,16*writers,4,64,22.8479,OK
seqlock,writers/16,8,1,1.56674,OK
seqlock,writers,8,8,11.4902,OK
seqlock,16*writers,8,128,39.6423,OK
txn-global,writers/16,8,1,6.76483,OK
txn-global,writers,8,8,17.1339,OK
txn-global,16*writers,8,128,22.5721,OK
txn-pernode,writers/16,8,1,6.75506,OK
txn-pernode,writers,8,8,17.0204,OK
txn-pernode,16*writers,8,128,22.4724,OK
txn-mark,writers/16,8,1,6.85057,OK
txn-mark,writers,8,8,16.8085,OK
txn-mark,16*writers,8,128,22.4661,OK
bucketlock,writers/16,8,1,5.04514,OK
bucketlock,writers,8,8,31.2817,OK
bucketlock,16*writers,8,128,39.442,OK
seqlock,writers/16,16,1,0.81489,OK
seqlock,writers,16,16,10.4593,OK
seqlock,16*writers,16,256,59.8325,OK
txn-global,writers/16,16,1,3.03016,OK
txn-global,writers,16,16,21.0578,OK
txn-global,16*writers,16,256,35.2378,OK
txn-pernode,writers/16,16,1,3.04337,OK
txn-pernode,writers,16,16,21.3231,OK
txn-pernode,16*writers,16,256,35.2406,OK
txn-mark,writers/16,16,1,3.05708,OK
txn-mark,writers,16,16,20.8208,OK
txn-mark,16*writers,16,256,32.9181,OK
bucketlock,writers/16,16,1,2.17026,OK
bucketlock,writers,16,16,31.5064,OK
bucketlock,16*writers,16,256,57.0563,OK
seqlock,writers/16,32,2,0.936051,OK
seqlock,writers,32,32,15.6674,OK
seqlock,16*writers,32,512,103.453,OK
txn-global,writers/16,32,2,4.29545,OK
txn-global,writers,32,32,33.195,OK
txn-global,16*writers,32,512,68.3698,OK
txn-pernode,writers/16,32,2,4.69897,OK
txn-pernode,writers,32,32,33.1896,OK
txn-pernode,16*writers,32,512,69.4206,OK
txn-mark,writers/16,32,2,4.68981,OK
txn-mark,writers,32,32,30.9158,OK
txn-mark,16*writers,32,512,63.8895,OK
bucketlock,writers/16,32,2,1.63948,OK
bucketlock,writers,32,32,48.9547,OK
bucketlock,16*writers,32,512,111.493,OK
seqlock,writers/16,48,3,1.06625,OK
seqlock,writers,48,48,22.636,OK
seqlock,16*writers,48,768,173.675,OK
txn-global,writers/16,48,3,5.79427,OK
txn-global,writers,48,48,44.4041,OK
txn-global,16*writers,48,768,95.7236,OK
txn-pernode,writers/16,48,3,6.32341,OK
txn-pernode,writers,48,48,47.3836,OK
txn-pernode,16*writers,48,768,101.07,OK
txn-mark,writers/16,48,3,6.43477,OK
txn-mark,writers,48,48,47.5222,OK
txn-mark,16*writers,48,768,100.33,OK
bucketlock,writers/16,48,3,1.67604,OK
bucketlock,writers,48,48,70.2544,OK
bucketlock,16*writers,48,768,147.804,OK
seqlock,writers/16,64,4,1.13346,OK
seqlock,writers,64,64,26.3959,OK
seqlock,16*writers,64,1024,200.479,OK
txn-global,writers/16,64,4,6.77759,OK
txn-global,writers,64,64,56.9166,OK
txn-global,16*writers,64,1024,124.391,OK
txn-pernode,writers/16,64,4,6.74037,OK
txn-pernode,writers,64,64,58.5664,OK
txn-pernode,16*writers,64,1024,132.609,OK
txn-mark,writers/16,64,4,7.69402,OK
txn-mark,writers,64,64,58.464,OK
txn-mark,16*writers,64,1024,122.077,OK
bucketlock,writers/16,64,4,2.19101,OK
bucketlock,writers,64,64,80.0306,OK
bucketlock,16*writers,64,1024,215.193,OK
seqlock,writers/16,96,6,1.3428,OK
seqlock,writers,96,96,38.5676,OK
seqlock,16*writers,96,1536,301.614,OK
txn-global,writers/16,96,6,7.90776,OK
txn-global,writers,96,96,80.6541,OK
txn-global,16*writers,96,1536,175.184,OK
txn-pernode,writers/16,96,6,8.0234,OK
txn-pernode,writers,96,96,81.0568,OK
txn-pernode,16*writers,96,1536,171.774,OK
txn-mark,writers/16,96,6,7.8778,OK
txn-mark,writers,96,96,80.8023,OK
txn-mark,16*writers,96,1536,166.3,OK
bucketlock,writers/16,96,6,2.10973,OK
bucketlock,writers,96,96,83.4044,OK
bucketlock,16*writers,96,1536,288.406,OK
seqlock,writers/16,128,8,1.22211,OK
seqlock,writers,128,128,37.0294,OK
seqlock,16*writers,128,2048,373.844,OK
txn-global,writers/16,128,8,8.44466,OK
