height,engine,move_height,fanin,readers,writers,mlookups_s,mexch_s,conserved
height,seqlock,0,1,32,8,58.8066,0.291749,OK
height,txn-global,0,1,32,8,23.9681,0.480058,OK
height,txn-pernode,0,1,32,8,122.363,2.14708,OK
height,seqlock,1,2,32,8,69.0568,0.403023,OK
height,txn-global,1,2,32,8,28.0859,0.506561,OK
height,txn-pernode,1,2,32,8,124.309,2.26936,OK
height,seqlock,2,4,32,8,68.4494,0.423684,OK
height,txn-global,2,4,32,8,28.1059,0.500932,OK
height,txn-pernode,2,4,32,8,122.03,2.24029,OK
height,seqlock,3,8,32,8,70.1018,0.433121,OK
height,txn-global,3,8,32,8,33.5873,0.505405,OK
height,txn-pernode,3,8,32,8,121.364,2.26495,OK
height,seqlock,4,16,32,8,62.0978,0.339204,OK
height,txn-global,4,16,32,8,29.241,0.501951,OK
height,txn-pernode,4,16,32,8,103.136,1.78058,OK
height,seqlock,5,32,32,8,61.4036,0.371822,OK
height,txn-global,5,32,32,8,29.1272,0.502513,OK
height,txn-pernode,5,32,32,8,92.8507,1.98579,OK
height,seqlock,6,64,32,8,58.5695,0.51112,OK
height,txn-global,6,64,32,8,28.9244,0.499902,OK
height,txn-pernode,6,64,32,8,74.0762,2.09765,OK
height,seqlock,7,128,32,8,53.8909,0.513623,OK
height,txn-global,7,128,32,8,27.0166,0.511558,OK
height,txn-pernode,7,128,32,8,47.4841,2.09796,OK
