height,engine,move_height,fanin,readers,writers,mlookups_s,mexch_s,conserved
height,seqlock,0,1,32,8,6.5414,0.453449,OK
height,txn-global,0,1,32,8,52.2708,0.535831,OK
height,txn-pernode,0,1,32,8,126.679,2.00275,OK
height,txn-mark,0,1,32,8,139.094,2.2643,OK
height,bucketlock,0,1,32,8,111.35,5.06853,OK
height,seqlock,1,2,32,8,4.98123,0.884562,OK
height,txn-global,1,2,32,8,54.3847,0.548284,OK
height,txn-pernode,1,2,32,8,131.531,2.05706,OK
height,txn-mark,1,2,32,8,141.132,2.44134,OK
height,bucketlock,1,2,32,8,106.507,5.32854,OK
height,seqlock,2,4,32,8,4.8161,0.90004,OK
height,txn-global,2,4,32,8,51.9686,0.540791,OK
height,txn-pernode,2,4,32,8,127.246,1.60669,OK
height,txn-mark,2,4,32,8,149.619,2.40907,OK
height,bucketlock,2,4,32,8,106.094,5.51614,OK
height,seqlock,3,8,32,8,6.84145,0.91711,OK
height,txn-global,3,8,32,8,62.6854,0.554184,OK
height,txn-pernode,3,8,32,8,135.341,2.08278,OK
height,txn-mark,3,8,32,8,147.85,2.45334,OK
height,bucketlock,3,8,32,8,104.49,5.58071,OK
height,seqlock,4,16,32,8,5.07752,0.918376,OK
height,txn-global,4,16,32,8,59.3734,0.554069,OK
height,txn-pernode,4,16,32,8,122.847,1.92446,OK
height,txn-mark,4,16,32,8,128.207,1.90544,OK
height,bucketlock,4,16,32,8,97.2098,3.55871,OK
height,seqlock,5,32,32,8,7.24418,0.499454,OK
height,txn-global,5,32,32,8,65.2533,0.524475,OK
height,txn-pernode,5,32,32,8,116.669,1.83179,OK
height,txn-mark,5,32,32,8,131.593,2.17821,OK
height,bucketlock,5,32,32,8,92.9819,5.32886,OK
height,seqlock,6,64,32,8,7.01723,0.516336,OK
height,txn-global,6,64,32,8,76.7081,0.4753,OK
height,txn-pernode,6,64,32,8,91.5456,1.72575,OK
height,txn-mark,6,64,32,8,95.4912,1.7684,OK
height,bucketlock,6,64,32,8,78.8971,4.90535,OK
height,seqlock,7,128,32,8,3.42997,1.05173,OK
height,txn-global,7,128,32,8,69.8989,0.485998,OK
height,txn-pernode,7,128,32,8,65.9862,1.69801,OK
height,txn-mark,7,128,32,8,80.8369,1.94351,OK
height,bucketlock,7,128,32,8,51.9506,2.94476,OK
