height,engine,move_height,fanin,readers,writers,mlookups_s,mexch_s,conserved
height,seqlock,0,1,32,8,6.51798,0.454063,OK
height,txn-global,0,1,32,8,52.9384,0.523708,OK
height,txn-pernode,0,1,32,8,126.925,2.01365,OK
height,txn-mark,0,1,32,8,133.54,2.1918,OK
height,bucketlock,0,1,32,8,106.625,5.09645,OK
height,seqlock,1,2,32,8,6.99899,0.461285,OK
height,txn-global,1,2,32,8,59.8415,0.520686,OK
height,txn-pernode,1,2,32,8,131.197,2.07942,OK
height,txn-mark,1,2,32,8,136.42,1.79378,OK
height,bucketlock,1,2,32,8,101.887,5.38391,OK
height,seqlock,2,4,32,8,5.1319,0.897073,OK
height,txn-global,2,4,32,8,62.6552,0.552664,OK
height,txn-pernode,2,4,32,8,132.511,2.10942,OK
height,txn-mark,2,4,32,8,143.845,2.48589,OK
height,bucketlock,2,4,32,8,99.6633,5.54445,OK
height,seqlock,3,8,32,8,5.00465,0.909904,OK
height,txn-global,3,8,32,8,66.3514,0.545285,OK
height,txn-pernode,3,8,32,8,135.234,2.10063,OK
height,txn-mark,3,8,32,8,142.543,2.51934,OK
height,bucketlock,3,8,32,8,100.692,5.67996,OK
height,seqlock,4,16,32,8,5.03217,0.929445,OK
height,txn-global,4,16,32,8,61.9276,0.542041,OK
height,txn-pernode,4,16,32,8,128.041,1.98986,OK
height,txn-mark,4,16,32,8,133.813,2.37663,OK
height,bucketlock,4,16,32,8,91.3009,3.65103,OK
height,seqlock,5,32,32,8,7.72429,0.496225,OK
height,txn-global,5,32,32,8,46.7119,0.457572,OK
height,txn-pernode,5,32,32,8,113.212,1.82869,OK
height,txn-mark,5,32,32,8,117.175,1.91968,OK
height,bucketlock,5,32,32,8,80.0318,3.81353,OK
height,seqlock,6,64,32,8,6.39598,0.94971,OK
height,txn-global,6,64,32,8,94.2024,0.483338,OK
height,txn-pernode,6,64,32,8,90.8996,1.71156,OK
height,txn-mark,6,64,32,8,91.5658,1.82155,OK
height,bucketlock,6,64,32,8,80.5003,5.03333,OK
height,seqlock,7,128,32,8,4.9062,1.05352,OK
height,txn-global,7,128,32,8,63.2418,0.471241,OK
height,txn-pernode,7,128,32,8,64.146,1.73197,OK
height,txn-mark,7,128,32,8,81.326,1.98738,OK
height,bucketlock,7,128,32,8,63.0351,4.51087,OK
