height,engine,move_height,fanin,readers,writers,mlookups_s,mexch_s,conserved
height,seqlock,0,1,32,8,6.42479,0.836032,OK
height,txn-global,0,1,32,8,50.9734,0.536194,OK
height,txn-pernode,0,1,32,8,125.346,1.87216,OK
height,txn-mark,0,1,32,8,136.243,1.58954,OK
height,bucketlock,0,1,32,8,105.284,3.55813,OK
height,seqlock,1,2,32,8,6.88252,0.461665,OK
height,txn-global,1,2,32,8,59.9391,0.545344,OK
height,txn-pernode,1,2,32,8,136.487,2.01535,OK
height,txn-mark,1,2,32,8,141.743,2.29636,OK
height,bucketlock,1,2,32,8,102.906,5.29664,OK
height,seqlock,2,4,32,8,7.63292,0.899658,OK
height,txn-global,2,4,32,8,55.4479,0.545159,OK
height,txn-pernode,2,4,32,8,133.56,2.04309,OK
height,txn-mark,2,4,32,8,142.729,2.33665,OK
height,bucketlock,2,4,32,8,93.7454,3.73502,OK
height,seqlock,3,8,32,8,7.44751,0.910921,OK
height,txn-global,3,8,32,8,58.5309,0.566299,OK
height,txn-pernode,3,8,32,8,134.473,2.02341,OK
height,txn-mark,3,8,32,8,148.654,2.36433,OK
height,bucketlock,3,8,32,8,97.1446,5.5121,OK
height,seqlock,4,16,32,8,7.40269,0.492302,OK
height,txn-global,4,16,32,8,61.7087,0.557059,OK
height,txn-pernode,4,16,32,8,125.882,1.92845,OK
height,txn-mark,4,16,32,8,141.166,2.30476,OK
height,bucketlock,4,16,32,8,98.1857,5.57243,OK
height,seqlock,5,32,32,8,4.83132,0.917287,OK
height,txn-global,5,32,32,8,57.8045,0.452243,OK
height,txn-pernode,5,32,32,8,113.944,1.78981,OK
height,txn-mark,5,32,32,8,127.718,2.12166,OK
height,bucketlock,5,32,32,8,95.4827,5.41038,OK
height,seqlock,6,64,32,8,7.0929,0.51735,OK
height,txn-global,6,64,32,8,78.748,0.47656,OK
height,txn-pernode,6,64,32,8,90.698,1.73623,OK
height,txn-mark,6,64,32,8,109.614,1.98518,OK
height,bucketlock,6,64,32,8,69.3409,3.33981,OK
height,seqlock,7,128,32,8,4.97766,0.578195,OK
height,txn-global,7,128,32,8,47.3815,0.411145,OK
height,txn-pernode,7,128,32,8,48.2083,1.48942,OK
height,txn-mark,7,128,32,8,71.6854,1.72429,OK
height,bucketlock,7,128,32,8,61.6163,4.43868,OK
