arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-pernode,lookup,8,8,1,169.745,2.66941,OK
txn-pernode,lookup,8,8,2,170.273,2.667,OK
txn-pernode,lookup,8,8,3,172.527,2.64098,OK
txn-pernode,lookup,8,8,4,184.151,3.28307,OK
txn-pernode,lookup,8,8,5,168.589,2.65755,OK
txn-pernode,lookup,8,8,6,171.415,2.64923,OK
txn-pernode,lookup,8,8,7,169.089,2.68961,OK
txn-pernode,lookup,32,8,1,563.901,2.07637,OK
txn-pernode,lookup,32,8,2,561.986,2.02946,OK
txn-pernode,lookup,32,8,3,554.095,2.05934,OK
txn-pernode,lookup,32,8,4,576.929,3.62503,OK
txn-pernode,lookup,32,8,5,572.928,3.55361,OK
txn-pernode,lookup,32,8,6,593.611,3.7134,OK
txn-pernode,lookup,32,8,7,594.724,3.65709,OK
txn-pernode,lookup,64,8,1,888.632,3.21544,OK
txn-pernode,lookup,64,8,2,920.738,3.20488,OK
txn-pernode,lookup,64,8,3,906.328,3.24923,OK
txn-pernode,lookup,64,8,4,894.679,3.24285,OK
txn-pernode,lookup,64,8,5,819.798,2.39518,OK
txn-pernode,lookup,64,8,6,821.964,2.3884,OK
txn-pernode,lookup,64,8,7,907.243,3.18632,OK
txn-pernode,lookup,128,8,1,1332.02,1.8579,OK
txn-pernode,lookup,128,8,2,1301.36,1.85593,OK
txn-pernode,lookup,128,8,3,1277.27,1.85499,OK
txn-pernode,lookup,128,8,4,1307.45,1.83614,OK
txn-pernode,lookup,128,8,5,1381.15,1.31144,OK
txn-pernode,lookup,128,8,6,1265.4,1.36275,OK
txn-pernode,lookup,128,8,7,1316.56,1.30186,OK
txn-pernode,lookup,184,8,1,1592.67,1.29142,OK
txn-pernode,lookup,184,8,2,1629.74,1.6837,OK
txn-pernode,lookup,184,8,3,1570.83,1.70792,OK
txn-pernode,lookup,184,8,4,1565.32,1.69316,OK
txn-pernode,lookup,184,8,5,1575.46,1.67683,OK
txn-pernode,lookup,184,8,6,1541.83,1.63818,OK
txn-pernode,lookup,184,8,7,1567.3,1.68559,OK
txn-pernode,readdir,184,8,1,231.186,1844.21,OK
txn-pernode,readdir,184,8,2,222.437,1773.6,OK
txn-pernode,readdir,184,8,3,225.256,1792.3,OK
txn-pernode,readdir,184,8,4,229.699,1830.45,OK
txn-pernode,readdir,184,8,5,227.725,1810.8,OK
txn-pernode,readdir,184,8,6,231.32,1846.05,OK
txn-pernode,readdir,184,8,7,222.638,1772.54,OK
txn-mark,lookup,8,8,1,173.991,2.72016,OK
txn-mark,lookup,8,8,2,165.169,3.34027,OK
txn-mark,lookup,8,8,3,173.446,2.72627,OK
txn-mark,lookup,8,8,4,173.368,2.71813,OK
txn-mark,lookup,8,8,5,181.625,3.4602,OK
txn-mark,lookup,8,8,6,188.198,3.44004,OK
txn-mark,lookup,8,8,7,180.552,3.3482,OK
txn-mark,lookup,32,8,1,554.155,2.12391,OK
txn-mark,lookup,32,8,2,554.753,2.12619,OK
txn-mark,lookup,32,8,3,571.344,2.06774,OK
txn-mark,lookup,32,8,4,551.606,2.11324,OK
txn-mark,lookup,32,8,5,544.636,2.13085,OK
txn-mark,lookup,32,8,6,581.482,3.73382,OK
txn-mark,lookup,32,8,7,561.492,2.12522,OK
txn-mark,lookup,64,8,1,834.464,2.50644,OK
txn-mark,lookup,64,8,2,790.642,2.58775,OK
txn-mark,lookup,64,8,3,827.673,2.36809,OK
txn-mark,lookup,64,8,4,822.672,2.27078,OK
txn-mark,lookup,64,8,5,908.249,3.41649,OK
txn-mark,lookup,64,8,6,835.854,2.40938,OK
txn-mark,lookup,64,8,7,808.845,2.335,OK
txn-mark,lookup,128,8,1,1312.48,1.96701,OK
txn-mark,lookup,128,8,2,1295.24,1.41078,OK
txn-mark,lookup,128,8,3,1259.9,1.40315,OK
txn-mark,lookup,128,8,4,1278.92,1.40431,OK
txn-mark,lookup,128,8,5,1354.18,1.40029,OK
txn-mark,lookup,128,8,6,1290.81,1.39794,OK
txn-mark,lookup,128,8,7,1226.49,1.95379,OK
txn-mark,lookup,184,8,1,1619.34,1.78461,OK
txn-mark,lookup,184,8,2,1599,1.75728,OK
txn-mark,lookup,184,8,3,1550.62,1.71781,OK
txn-mark,lookup,184,8,4,1600.08,1.44973,OK
txn-mark,lookup,184,8,5,1564.42,1.71109,OK
txn-mark,lookup,184,8,6,1530.93,1.70028,OK
txn-mark,lookup,184,8,7,1618.02,1.76108,OK
txn-mark,readdir,184,8,1,227.492,1814.42,OK
txn-mark,readdir,184,8,2,226.566,1803.35,OK
txn-mark,readdir,184,8,3,226.27,1800.74,OK
txn-mark,readdir,184,8,4,236.561,1886.42,OK
txn-mark,readdir,184,8,5,230.976,1840.1,OK
txn-mark,readdir,184,8,6,223.334,1778.39,OK
txn-mark,readdir,184,8,7,226.153,1799.29,OK
txn-mark-w32,lookup,8,8,1,195.862,3.38967,OK
txn-mark-w32,lookup,8,8,2,181.406,2.72041,OK
txn-mark-w32,lookup,8,8,3,177.968,3.48744,OK
txn-mark-w32,lookup,8,8,4,193.061,3.21713,OK
txn-mark-w32,lookup,8,8,5,195.596,3.3593,OK
txn-mark-w32,lookup,8,8,6,190.107,3.42509,OK
txn-mark-w32,lookup,8,8,7,188.599,3.40774,OK
txn-mark-w32,lookup,32,8,1,571.197,2.09212,OK
txn-mark-w32,lookup,32,8,2,558.041,2.11708,OK
txn-mark-w32,lookup,32,8,3,559.825,2.12137,OK
txn-mark-w32,lookup,32,8,4,573.768,2.06553,OK
