arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-pernode,lookup,8,8,1,183.238,3.5905,OK
txn-pernode,lookup,8,8,2,180.78,3.67859,OK
txn-pernode,lookup,8,8,3,163.199,2.85353,OK
txn-pernode,lookup,8,8,4,166.889,2.83152,OK
txn-pernode,lookup,8,8,5,172.273,2.79514,OK
txn-pernode,lookup,8,8,6,163.257,2.83652,OK
txn-pernode,lookup,8,8,7,177.425,3.67799,OK
txn-pernode,lookup,32,8,1,555.793,4.09338,OK
txn-pernode,lookup,32,8,2,556.228,3.99855,OK
txn-pernode,lookup,32,8,3,551.173,4.14333,OK
txn-pernode,lookup,32,8,4,580.39,3.97947,OK
txn-pernode,lookup,32,8,5,552.265,4.13337,OK
txn-pernode,lookup,32,8,6,528.796,3.95297,OK
txn-pernode,lookup,32,8,7,579.331,4.08257,OK
txn-pernode,lookup,64,8,1,890.286,3.49263,OK
txn-pernode,lookup,64,8,2,809.241,2.58845,OK
txn-pernode,lookup,64,8,3,846.642,2.37272,OK
txn-pernode,lookup,64,8,4,833.831,2.43689,OK
txn-pernode,lookup,64,8,5,827.86,2.43075,OK
txn-pernode,lookup,64,8,6,815.515,2.53945,OK
txn-pernode,lookup,64,8,7,838.775,2.54594,OK
txn-pernode,lookup,128,8,1,1355.79,1.33665,OK
txn-pernode,lookup,128,8,2,1334.19,1.34536,OK
txn-pernode,lookup,128,8,3,1309.36,1.33812,OK
txn-pernode,lookup,128,8,4,1292.67,1.35044,OK
txn-pernode,lookup,128,8,5,1339.76,1.33567,OK
txn-pernode,lookup,128,8,6,1326.33,1.31403,OK
txn-pernode,lookup,128,8,7,1312.38,1.92992,OK
txn-pernode,lookup,184,8,1,1601.91,1.72259,OK
txn-pernode,lookup,184,8,2,1547.66,1.75069,OK
txn-pernode,lookup,184,8,3,1589.72,1.71856,OK
txn-pernode,lookup,184,8,4,1587.65,1.70202,OK
txn-pernode,lookup,184,8,5,1603.11,1.6915,OK
txn-pernode,lookup,184,8,6,1562.97,1.75294,OK
txn-pernode,lookup,184,8,7,1570.22,1.72622,OK
