arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-pernode,lookup,8,8,1,168.087,2.86453,OK
txn-pernode,lookup,8,8,2,179.286,3.73156,OK
txn-pernode,lookup,8,8,3,178.942,3.73798,OK
txn-pernode,lookup,8,8,4,174.419,3.72532,OK
txn-pernode,lookup,8,8,5,179.799,3.71013,OK
txn-pernode,lookup,8,8,6,180.297,3.69066,OK
txn-pernode,lookup,8,8,7,168.885,3.7956,OK
txn-pernode,lookup,32,8,1,569.33,4.17047,OK
txn-pernode,lookup,32,8,2,535.516,2.12732,OK
txn-pernode,lookup,32,8,3,568.7,4.18322,OK
txn-pernode,lookup,32,8,4,580.439,4.02522,OK
txn-pernode,lookup,32,8,5,577.565,4.08372,OK
txn-pernode,lookup,32,8,6,557.05,4.11186,OK
txn-pernode,lookup,32,8,7,573.478,4.15347,OK
txn-pernode,lookup,64,8,1,902.388,3.5674,OK
txn-pernode,lookup,64,8,2,833.457,2.44512,OK
txn-pernode,lookup,64,8,3,882.379,3.61478,OK
txn-pernode,lookup,64,8,4,875.35,3.60509,OK
txn-pernode,lookup,64,8,5,904.553,3.63009,OK
txn-pernode,lookup,64,8,6,913.354,3.58735,OK
txn-pernode,lookup,64,8,7,853.234,3.65562,OK
txn-pernode,lookup,128,8,1,1281.39,1.95119,OK
txn-pernode,lookup,128,8,2,1268.44,1.94041,OK
txn-pernode,lookup,128,8,3,1314.85,1.93505,OK
txn-pernode,lookup,128,8,4,1336.56,1.92544,OK
txn-pernode,lookup,128,8,5,1332.5,1.94323,OK
txn-pernode,lookup,128,8,6,1187.19,1.94718,OK
txn-pernode,lookup,128,8,7,1323.26,1.9338,OK
txn-pernode,lookup,184,8,1,1614.72,1.72821,OK
txn-pernode,lookup,184,8,2,1617.85,1.72929,OK
txn-pernode,lookup,184,8,3,1608.25,1.70648,OK
txn-pernode,lookup,184,8,4,1560.23,1.74298,OK
txn-pernode,lookup,184,8,5,1596.01,1.75966,OK
txn-pernode,lookup,184,8,6,1591.73,1.73628,OK
txn-pernode,lookup,184,8,7,1498.01,1.75632,OK
txn-pernode,readdir,184,8,1,199.463,1591.78,OK
txn-pernode,readdir,184,8,2,199.319,1590.64,OK
txn-pernode,readdir,184,8,3,202.416,1612.32,OK
txn-pernode,readdir,184,8,4,199.365,1590.79,OK
txn-pernode,readdir,184,8,5,201.786,1606.51,OK
txn-pernode,readdir,184,8,6,201.585,1605.27,OK
txn-pernode,readdir,184,8,7,202.257,1610.55,OK
txn-mark,lookup,8,8,1,174.173,2.92655,OK
txn-mark,lookup,8,8,2,170.155,2.93413,OK
txn-mark,lookup,8,8,3,173.469,2.88367,OK
txn-mark,lookup,8,8,4,167.738,2.91768,OK
txn-mark,lookup,8,8,5,173.023,2.91435,OK
txn-mark,lookup,8,8,6,170.137,2.93562,OK
txn-mark,lookup,8,8,7,178.999,3.84604,OK
txn-mark,lookup,32,8,1,591.342,4.35316,OK
txn-mark,lookup,32,8,2,549.415,4.22076,OK
txn-mark,lookup,32,8,3,558.167,4.29858,OK
txn-mark,lookup,32,8,4,575.398,4.24232,OK
txn-mark,lookup,32,8,5,579.859,4.20768,OK
txn-mark,lookup,32,8,6,562.579,4.29537,OK
txn-mark,lookup,32,8,7,571.901,4.27,OK
txn-mark,lookup,64,8,1,896.195,3.71572,OK
txn-mark,lookup,64,8,2,893.383,3.71111,OK
txn-mark,lookup,64,8,3,848.211,3.77211,OK
txn-mark,lookup,64,8,4,817.045,2.43026,OK
txn-mark,lookup,64,8,5,808.364,2.59006,OK
txn-mark,lookup,64,8,6,798.272,2.61445,OK
txn-mark,lookup,64,8,7,821.474,2.77088,OK
txn-mark,lookup,128,8,1,1339.92,1.41159,OK
txn-mark,lookup,128,8,2,1276.3,2.0201,OK
txn-mark,lookup,128,8,3,1285.55,2.02132,OK
txn-mark,lookup,128,8,4,1262.84,2.04136,OK
txn-mark,lookup,128,8,5,1300.69,2.04483,OK
txn-mark,lookup,128,8,6,1233.73,1.99483,OK
txn-mark,lookup,128,8,7,1272.05,2.02917,OK
txn-mark,lookup,184,8,1,1596.8,1.77164,OK
txn-mark,lookup,184,8,2,1610.12,1.76346,OK
txn-mark,lookup,184,8,3,1606.63,1.80525,OK
txn-mark,lookup,184,8,4,1617.16,1.7657,OK
txn-mark,lookup,184,8,5,1562.46,1.74337,OK
txn-mark,lookup,184,8,6,1617.33,1.76193,OK
txn-mark,lookup,184,8,7,1571.07,1.73974,OK
txn-mark,readdir,184,8,1,198.594,1585.14,OK
txn-mark,readdir,184,8,2,202.819,1619.78,OK
txn-mark,readdir,184,8,3,202.382,1611.63,OK
txn-mark,readdir,184,8,4,202.687,1613.84,OK
txn-mark,readdir,184,8,5,198.044,1577.59,OK
