arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-pernode,lookup,8,8,1,172.544,2.65887,OK
txn-pernode,lookup,8,8,2,172.918,2.7099,OK
txn-pernode,lookup,8,8,3,167.735,2.72831,OK
txn-pernode,lookup,8,8,4,167.83,2.66105,OK
txn-pernode,lookup,8,8,5,170.981,2.67693,OK
txn-pernode,lookup,8,8,6,172.827,2.74801,OK
txn-pernode,lookup,8,8,7,172.085,2.70883,OK
txn-pernode,lookup,32,8,1,554.285,2.08198,OK
txn-pernode,lookup,32,8,2,559.589,2.04737,OK
txn-pernode,lookup,32,8,3,560.805,2.04663,OK
txn-pernode,lookup,32,8,4,563.951,2.04884,OK
txn-pernode,lookup,32,8,5,547.926,2.06617,OK
txn-pernode,lookup,32,8,6,554.27,2.10673,OK
txn-pernode,lookup,32,8,7,551.523,2.04072,OK
txn-pernode,lookup,64,8,1,819.448,2.34812,OK
txn-pernode,lookup,64,8,2,831.725,2.35035,OK
txn-pernode,lookup,64,8,3,936.101,3.28312,OK
txn-pernode,lookup,64,8,4,846.083,2.39156,OK
txn-pernode,lookup,64,8,5,829.739,2.27929,OK
txn-pernode,lookup,64,8,6,822.021,2.38167,OK
txn-pernode,lookup,64,8,7,857.103,2.30059,OK
txn-pernode,lookup,128,8,1,1363.88,1.32862,OK
txn-pernode,lookup,128,8,2,1315.25,1.36582,OK
txn-pernode,lookup,128,8,3,1396.13,1.31941,OK
txn-pernode,lookup,128,8,4,1308.95,1.34962,OK
txn-pernode,lookup,128,8,5,1333.26,1.33718,OK
txn-pernode,lookup,128,8,6,1346.69,1.33424,OK
txn-pernode,lookup,128,8,7,1309.21,1.37237,OK
txn-pernode,lookup,184,8,1,1577.35,1.73647,OK
txn-pernode,lookup,184,8,2,1623.69,1.69678,OK
txn-pernode,lookup,184,8,3,1586.95,1.71268,OK
txn-pernode,lookup,184,8,4,1615.45,1.72014,OK
txn-pernode,lookup,184,8,5,1558.87,1.72116,OK
txn-pernode,lookup,184,8,6,1594.48,1.70975,OK
txn-pernode,lookup,184,8,7,1604.62,1.7027,OK
txn-pernode,readdir,184,8,1,221.73,1767.43,OK
txn-pernode,readdir,184,8,2,219.986,1750.95,OK
txn-pernode,readdir,184,8,3,219.74,1747.15,OK
txn-pernode,readdir,184,8,4,223.509,1776.95,OK
txn-pernode,readdir,184,8,5,226.035,1801.74,OK
txn-pernode,readdir,184,8,6,226.8,1804.7,OK
txn-pernode,readdir,184,8,7,229.85,1831.07,OK
txn-mark,lookup,8,8,1,186.782,3.32433,OK
txn-mark,lookup,8,8,2,187.35,3.27018,OK
txn-mark,lookup,8,8,3,186.094,3.40797,OK
txn-mark,lookup,8,8,4,187.388,3.43853,OK
txn-mark,lookup,8,8,5,187.521,3.37963,OK
txn-mark,lookup,8,8,6,173.762,2.78886,OK
txn-mark,lookup,8,8,7,174.26,2.76056,OK
txn-mark,lookup,32,8,1,553.258,2.15538,OK
txn-mark,lookup,32,8,2,547.268,2.18148,OK
txn-mark,lookup,32,8,3,553.609,2.17056,OK
txn-mark,lookup,32,8,4,566.772,2.11864,OK
txn-mark,lookup,32,8,5,552.351,2.15526,OK
txn-mark,lookup,32,8,6,545.931,2.12391,OK
txn-mark,lookup,32,8,7,568.437,2.07105,OK
txn-mark,lookup,64,8,1,875.436,3.46694,OK
txn-mark,lookup,64,8,2,917.834,3.41731,OK
txn-mark,lookup,64,8,3,942.319,3.47785,OK
txn-mark,lookup,64,8,4,933.681,3.48063,OK
txn-mark,lookup,64,8,5,898.211,3.47627,OK
txn-mark,lookup,64,8,6,845.816,3.496,OK
txn-mark,lookup,64,8,7,901.397,3.45658,OK
txn-mark,lookup,128,8,1,1299.28,1.95081,OK
txn-mark,lookup,128,8,2,1278.83,1.40331,OK
txn-mark,lookup,128,8,3,1238.53,1.94153,OK
txn-mark,lookup,128,8,4,1250.03,1.95237,OK
txn-mark,lookup,128,8,5,1262.02,1.97913,OK
txn-mark,lookup,128,8,6,1298.02,1.41157,OK
txn-mark,lookup,128,8,7,1282.24,1.41606,OK
txn-mark,lookup,184,8,1,1541.87,1.77254,OK
txn-mark,lookup,184,8,2,1608.48,1.78639,OK
txn-mark,lookup,184,8,3,1588.64,1.76442,OK
txn-mark,lookup,184,8,4,1591.74,1.79776,OK
txn-mark,lookup,184,8,5,1577.1,1.75959,OK
txn-mark,lookup,184,8,6,1531.36,1.75015,OK
txn-mark,lookup,184,8,7,1523.78,1.75085,OK
txn-mark,readdir,184,8,1,227.933,1818.81,OK
txn-mark,readdir,184,8,2,222.37,1768.98,OK
txn-mark,readdir,184,8,3,230.459,1839.62,OK
txn-mark,readdir,184,8,4,222.863,1773.41,OK
txn-mark,readdir,184,8,5,217.669,1732.3,OK
txn-mark,readdir,184,8,6,223.842,1781.95,OK
