panel,engine,op,leaftype,readers,writers,mlookups_s,mrenames_s,conserved
leaf,seqlock,rename,file,184,8,90.7887,0.466308,OK
leaf,seqlock,move,file,184,8,157.844,0.358443,OK
leaf,seqlock,exchange,file,184,8,117.032,0.347705,OK
leaf,seqlock,rename,dir,184,8,68.5344,0.597092,OK
leaf,seqlock,move,dir,184,8,95.5683,0.399106,OK
leaf,seqlock,exchange,dir,184,8,142.113,0.401359,OK
leaf,txn-global,rename,file,184,8,1660.79,1.92133,OK
leaf,txn-global,move,file,184,8,1678.53,1.63258,OK
leaf,txn-global,exchange,file,184,8,1904.61,1.22906,OK
leaf,txn-global,rename,dir,184,8,169.742,0.342905,OK
leaf,txn-global,move,dir,184,8,224.972,0.311389,OK
leaf,txn-global,exchange,dir,184,8,606.649,0.251984,OK
leaf,txn-pernode,rename,file,184,8,1587.03,1.89708,OK
leaf,txn-pernode,move,file,184,8,1503.51,1.97937,OK
leaf,txn-pernode,exchange,file,184,8,1757.71,1.20611,OK
leaf,txn-pernode,rename,dir,184,8,1676.72,1.76382,OK
leaf,txn-pernode,move,dir,184,8,1502.16,1.78042,OK
leaf,txn-pernode,exchange,dir,184,8,1759.36,1.18986,OK
leaf,txn-mark,rename,file,184,8,1645.89,1.42225,OK
leaf,txn-mark,move,file,184,8,1569.83,1.73409,OK
leaf,txn-mark,exchange,file,184,8,1735.4,1.10866,OK
leaf,txn-mark,rename,dir,184,8,1627.85,1.81649,OK
leaf,txn-mark,move,dir,184,8,1526.84,1.82814,OK
leaf,txn-mark,exchange,dir,184,8,1710.53,1.14921,OK
leaf,bucketlock,rename,file,184,8,1452.52,2.7382,OK
leaf,bucketlock,move,file,184,8,1448.6,2.34395,OK
leaf,bucketlock,exchange,file,184,8,1440.13,2.17373,OK
leaf,bucketlock,rename,dir,184,8,1408.41,2.78696,OK
leaf,bucketlock,move,dir,184,8,1476.76,2.28432,OK
leaf,bucketlock,exchange,dir,184,8,1522,2.0913,OK
leaf,bucketlock-chainlock,rename,file,184,8,1529.62,2.09565,OK
leaf,bucketlock-chainlock,move,file,184,8,1834.25,0.879356,OK
leaf,bucketlock-chainlock,exchange,file,184,8,1574.93,1.62047,OK
leaf,bucketlock-chainlock,rename,dir,184,8,1544.43,2.05084,OK
leaf,bucketlock-chainlock,move,dir,184,8,1813.56,0.943894,OK
leaf,bucketlock-chainlock,exchange,dir,184,8,1558.72,1.72161,OK
leaf,bucketlock-swmw,rename,file,184,8,1455.7,2.47348,OK
leaf,bucketlock-swmw,move,file,184,8,1555.27,1.95284,OK
leaf,bucketlock-swmw,exchange,file,184,8,1586.58,1.56089,OK
leaf,bucketlock-swmw,rename,dir,184,8,1535.71,2.48071,OK
leaf,bucketlock-swmw,move,dir,184,8,1566.07,1.79341,OK
leaf,bucketlock-swmw,exchange,dir,184,8,1526.9,1.93629,OK
leaf,bucketlock-swmw-pad,rename,file,184,8,1442.95,2.52705,OK
leaf,bucketlock-swmw-pad,move,file,184,8,1555.64,2.06493,OK
leaf,bucketlock-swmw-pad,exchange,file,184,8,1624.01,1.92887,OK
leaf,bucketlock-swmw-pad,rename,dir,184,8,1463.13,2.52385,OK
leaf,bucketlock-swmw-pad,move,dir,184,8,1519.16,1.99415,OK
leaf,bucketlock-swmw-pad,exchange,dir,184,8,1511.98,1.79923,OK
dir,seqlock,rename,directory,184,8,17.7049,0.530665,OK
dir,seqlock,move,directory,184,8,18.7125,0.407901,OK
dir,seqlock,exchange,directory,184,8,11.4287,0.440445,OK
dir,seqlock,exchange-cross,directory,184,8,12.854,0.379061,OK
dir,txn-global,rename,directory,184,8,70.1776,0.367497,OK
dir,txn-global,move,directory,184,8,105.478,0.334505,OK
dir,txn-global,exchange,directory,184,8,238.925,0.261387,OK
dir,txn-global,exchange-cross,directory,184,8,389.406,0.20937,OK
dir,txn-pernode,rename,directory,184,8,933.211,2.01846,OK
dir,txn-pernode,move,directory,184,8,787.388,2.05817,OK
dir,txn-pernode,exchange,directory,184,8,645.483,0.903384,OK
dir,txn-pernode,exchange-cross,directory,184,8,615.007,0.822003,OK
dir,txn-mark,rename,directory,184,8,851.148,2.14599,OK
dir,txn-mark,move,directory,184,8,754.744,1.92728,OK
dir,txn-mark,exchange,directory,184,8,680.667,1.06095,OK
dir,txn-mark,exchange-cross,directory,184,8,678.572,0.943124,OK
dir,bucketlock,rename,directory,184,8,804.833,2.30355,OK
dir,bucketlock,move,directory,184,8,686.242,2.24198,OK
dir,bucketlock,exchange,directory,184,8,485.757,2.19266,OK
dir,bucketlock,exchange-cross,directory,184,8,486.616,1.79463,OK
