panel,engine,op,leaftype,readers,writers,mlookups_s,mrenames_s,conserved
leaf,seqlock,rename,file,184,8,85.7941,0.519694,OK
leaf,seqlock,move,file,184,8,131.317,0.399502,OK
leaf,seqlock,exchange,file,184,8,125.898,0.394332,OK
leaf,seqlock,rename,dir,184,8,69.2727,0.603219,OK
leaf,seqlock,move,dir,184,8,125.118,0.398444,OK
leaf,seqlock,exchange,dir,184,8,160.262,0.330934,OK
leaf,txn-global,rename,file,184,8,1717.82,2.07595,OK
leaf,txn-global,move,file,184,8,1805.84,1.82666,OK
leaf,txn-global,exchange,file,184,8,1770.47,1.38424,OK
leaf,txn-global,rename,dir,184,8,452.838,0.384843,OK
leaf,txn-global,move,dir,184,8,579.189,0.348008,OK
leaf,txn-global,exchange,dir,184,8,763.606,0.271451,OK
leaf,txn-pernode,rename,file,184,8,1616.19,1.9817,OK
leaf,txn-pernode,move,file,184,8,1572.9,1.46769,OK
leaf,txn-pernode,exchange,file,184,8,1819.13,1.2951,OK
leaf,txn-pernode,rename,dir,184,8,1583.19,1.94199,OK
leaf,txn-pernode,move,dir,184,8,1504.87,1.91633,OK
leaf,txn-pernode,exchange,dir,184,8,1738.7,1.26954,OK
leaf,txn-mark,rename,file,184,8,1642.04,1.95501,OK
leaf,txn-mark,move,file,184,8,1528.64,1.96019,OK
leaf,txn-mark,exchange,file,184,8,1748.68,1.30155,OK
leaf,txn-mark,rename,dir,184,8,1631.32,1.88568,OK
leaf,txn-mark,move,dir,184,8,1487.22,1.97796,OK
leaf,txn-mark,exchange,dir,184,8,1734.08,1.28846,OK
leaf,bucketlock,rename,file,184,8,1454.08,2.9059,OK
leaf,bucketlock,move,file,184,8,1466.74,2.47545,OK
leaf,bucketlock,exchange,file,184,8,1481.57,2.35008,OK
leaf,bucketlock,rename,dir,184,8,1423.88,2.87362,OK
leaf,bucketlock,move,dir,184,8,1466.46,2.49835,OK
leaf,bucketlock,exchange,dir,184,8,1521.46,2.19391,OK
leaf,bucketlock-chainlock,rename,file,184,8,1526.04,1.99287,OK
leaf,bucketlock-chainlock,move,file,184,8,1775.84,0.902946,OK
leaf,bucketlock-chainlock,exchange,file,184,8,1629.12,1.49439,OK
leaf,bucketlock-chainlock,rename,dir,184,8,1555.04,2.32687,OK
leaf,bucketlock-chainlock,move,dir,184,8,1839.5,1.0363,OK
leaf,bucketlock-chainlock,exchange,dir,184,8,1555.79,1.49201,OK
leaf,bucketlock-swmw,rename,file,184,8,1449.3,2.79859,OK
leaf,bucketlock-swmw,move,file,184,8,1488.74,2.2458,OK
leaf,bucketlock-swmw,exchange,file,184,8,1501.08,2.27607,OK
leaf,bucketlock-swmw,rename,dir,184,8,1424.29,2.53345,OK
leaf,bucketlock-swmw,move,dir,184,8,1492.93,1.94502,OK
leaf,bucketlock-swmw,exchange,dir,184,8,1489.31,2.24929,OK
leaf,bucketlock-swmw-pad,rename,file,184,8,1462.94,2.81371,OK
leaf,bucketlock-swmw-pad,move,file,184,8,1510.28,2.27103,OK
leaf,bucketlock-swmw-pad,exchange,file,184,8,1512.01,2.27407,OK
leaf,bucketlock-swmw-pad,rename,dir,184,8,1450.71,2.81225,OK
leaf,bucketlock-swmw-pad,move,dir,184,8,1513.2,2.35373,OK
leaf,bucketlock-swmw-pad,exchange,dir,184,8,1536.74,1.73766,OK
dir,seqlock,rename,directory,184,8,18.5397,0.529582,OK
dir,seqlock,move,directory,184,8,18.9968,0.405495,OK
dir,seqlock,exchange,directory,184,8,10.2229,0.435433,OK
dir,seqlock,exchange-cross,directory,184,8,13.0333,0.375058,OK
dir,txn-global,rename,directory,184,8,148.941,0.424437,OK
dir,txn-global,move,directory,184,8,317.421,0.32679,OK
dir,txn-global,exchange,directory,184,8,475.458,0.247349,OK
dir,txn-global,exchange-cross,directory,184,8,439.857,0.210761,OK
dir,txn-pernode,rename,directory,184,8,847.19,1.99706,OK
dir,txn-pernode,move,directory,184,8,778.801,2.06044,OK
dir,txn-pernode,exchange,directory,184,8,656.596,0.950901,OK
dir,txn-pernode,exchange-cross,directory,184,8,658.969,0.840295,OK
dir,txn-mark,rename,directory,184,8,873.556,2.34198,OK
dir,txn-mark,move,directory,184,8,797.002,1.96858,OK
dir,txn-mark,exchange,directory,184,8,688.215,1.10778,OK
dir,txn-mark,exchange-cross,directory,184,8,655.478,0.963661,OK
dir,bucketlock,rename,directory,184,8,780.124,2.84961,OK
dir,bucketlock,move,directory,184,8,699.639,2.0662,OK
dir,bucketlock,exchange,directory,184,8,510.506,2.23118,OK
dir,bucketlock,exchange-cross,directory,184,8,487.882,1.79686,OK
dir,bucketlock-chainlock,rename,directory,184,8,856.384,1.95378,OK
dir,bucketlock-chainlock,move,directory,184,8,732.141,1.90651,OK
dir,bucketlock-chainlock,exchange,directory,184,8,590.041,1.68867,OK
dir,bucketlock-chainlock,exchange-cross,directory,184,8,566.692,1.41747,OK
dir,bucketlock-swmw,rename,directory,184,8,796.914,2.44639,OK
dir,bucketlock-swmw,move,directory,184,8,726.633,2.00843,OK
dir,bucketlock-swmw,exchange,directory,184,8,559.171,2.15747,OK
dir,bucketlock-swmw,exchange-cross,directory,184,8,513.132,1.70773,OK
dir,bucketlock-swmw-pad,rename,directory,184,8,785.178,2.50577,OK
dir,bucketlock-swmw-pad,move,directory,184,8,687.024,1.98571,OK
dir,bucketlock-swmw-pad,exchange,directory,184,8,545.667,2.07885,OK
dir,bucketlock-swmw-pad,exchange-cross,directory,184,8,515.794,1.65333,OK
