panel,engine,op,leaftype,readers,writers,mlookups_s,mrenames_s,conserved
leaf,seqlock,rename,file,184,8,84.5969,0.518195,OK
leaf,seqlock,move,file,184,8,113.185,0.401099,OK
leaf,seqlock,exchange,file,184,8,132.865,0.397223,OK
leaf,seqlock,rename,dir,184,8,88.6072,0.598038,OK
leaf,seqlock,move,dir,184,8,114.129,0.399057,OK
leaf,seqlock,exchange,dir,184,8,131.146,0.403792,OK
leaf,txn-global,rename,file,184,8,1640.3,2.10785,OK
leaf,txn-global,move,file,184,8,1678.16,1.8602,OK
leaf,txn-global,exchange,file,184,8,1812.6,1.37834,OK
leaf,txn-global,rename,dir,184,8,368.44,0.374301,OK
leaf,txn-global,move,dir,184,8,624.52,0.330592,OK
leaf,txn-global,exchange,dir,184,8,924.465,0.259955,OK
leaf,txn-pernode,rename,file,184,8,1664.98,1.99153,OK
leaf,txn-pernode,move,file,184,8,1556.46,2.01484,OK
leaf,txn-pernode,exchange,file,184,8,1862.43,1.30005,OK
leaf,txn-pernode,rename,dir,184,8,1643.93,1.94557,OK
leaf,txn-pernode,move,dir,184,8,1571.7,1.95943,OK
leaf,txn-pernode,exchange,dir,184,8,1746.02,1.27297,OK
leaf,txn-mark,rename,file,184,8,1595.08,1.94091,OK
leaf,txn-mark,move,file,184,8,1539.56,1.93193,OK
leaf,txn-mark,exchange,file,184,8,1734.41,1.3064,OK
leaf,txn-mark,rename,dir,184,8,1651.92,1.94564,OK
leaf,txn-mark,move,dir,184,8,1540.76,1.95101,OK
leaf,txn-mark,exchange,dir,184,8,1744.74,1.33649,OK
leaf,bucketlock,rename,file,184,8,1430.77,2.66648,OK
leaf,bucketlock,move,file,184,8,1450.82,2.40296,OK
leaf,bucketlock,exchange,file,184,8,1500.57,2.26555,OK
leaf,bucketlock,rename,dir,184,8,1364.33,2.89412,OK
leaf,bucketlock,move,dir,184,8,1446.24,2.41845,OK
leaf,bucketlock,exchange,dir,184,8,1473.53,2.32937,OK
leaf,bucketlock-chainlock,rename,file,184,8,1587.16,2.04273,OK
leaf,bucketlock-chainlock,move,file,184,8,1805.08,0.997892,OK
leaf,bucketlock-chainlock,exchange,file,184,8,1514.14,1.66883,OK
leaf,bucketlock-chainlock,rename,dir,184,8,1513.73,2.11874,OK
leaf,bucketlock-chainlock,move,dir,184,8,1778.63,1.04547,OK
leaf,bucketlock-chainlock,exchange,dir,184,8,1670.69,1.50983,OK
leaf,bucketlock-swmw,rename,file,184,8,1401.73,2.76447,OK
leaf,bucketlock-swmw,move,file,184,8,1502.29,2.24255,OK
leaf,bucketlock-swmw,exchange,file,184,8,1499.57,2.2464,OK
leaf,bucketlock-swmw,rename,dir,184,8,1458.9,2.74788,OK
leaf,bucketlock-swmw,move,dir,184,8,1520.77,2.23076,OK
leaf,bucketlock-swmw,exchange,dir,184,8,1481.01,2.29904,OK
leaf,bucketlock-swmw-pad,rename,file,184,8,1423.35,2.80135,OK
leaf,bucketlock-swmw-pad,move,file,184,8,1485.93,2.30438,OK
leaf,bucketlock-swmw-pad,exchange,file,184,8,1462.55,1.96391,OK
leaf,bucketlock-swmw-pad,rename,dir,184,8,1441.97,2.76334,OK
leaf,bucketlock-swmw-pad,move,dir,184,8,1493.62,2.2758,OK
leaf,bucketlock-swmw-pad,exchange,dir,184,8,1536.19,2.26271,OK
dir,seqlock,rename,directory,184,8,17.1724,0.623273,OK
dir,seqlock,move,directory,184,8,17.139,0.412151,OK
dir,seqlock,exchange,directory,184,8,11.3703,0.439623,OK
dir,seqlock,exchange-cross,directory,184,8,14.9583,0.304631,OK
dir,txn-global,rename,directory,184,8,212.054,0.383286,OK
dir,txn-global,move,directory,184,8,223.64,0.347093,OK
dir,txn-global,exchange,directory,184,8,450.769,0.242425,OK
dir,txn-global,exchange-cross,directory,184,8,530.143,0.156865,OK
dir,txn-pernode,rename,directory,184,8,855.429,2.04295,OK
dir,txn-pernode,move,directory,184,8,781.139,1.96228,OK
dir,txn-pernode,exchange,directory,184,8,638.649,0.956792,OK
dir,txn-pernode,exchange-cross,directory,184,8,626.991,0.834676,OK
dir,txn-mark,rename,directory,184,8,834.053,2.0294,OK
dir,txn-mark,move,directory,184,8,754.373,2.10242,OK
dir,txn-mark,exchange,directory,184,8,687.683,1.13204,OK
dir,txn-mark,exchange-cross,directory,184,8,693.778,0.740976,OK
dir,bucketlock,rename,directory,184,8,800.05,2.64614,OK
dir,bucketlock,move,directory,184,8,676.085,2.14142,OK
dir,bucketlock,exchange,directory,184,8,479.268,2.26482,OK
dir,bucketlock,exchange-cross,directory,184,8,496.715,1.79593,OK
dir,bucketlock-chainlock,rename,directory,184,8,804.689,2.24586,OK
dir,bucketlock-chainlock,move,directory,184,8,712.341,1.89006,OK
dir,bucketlock-chainlock,exchange,directory,184,8,535.959,1.71883,OK
dir,bucketlock-chainlock,exchange-cross,directory,184,8,540.617,1.48063,OK
dir,bucketlock-swmw,rename,directory,184,8,718.746,2.05535,OK
dir,bucketlock-swmw,move,directory,184,8,668.493,2.19365,OK
dir,bucketlock-swmw,exchange,directory,184,8,499.194,2.16983,OK
dir,bucketlock-swmw,exchange-cross,directory,184,8,485.015,1.71551,OK
dir,bucketlock-swmw-pad,rename,directory,184,8,772.208,2.32921,OK
dir,bucketlock-swmw-pad,move,directory,184,8,692.897,2.15599,OK
dir,bucketlock-swmw-pad,exchange,directory,184,8,493.522,2.1156,OK
dir,bucketlock-swmw-pad,exchange-cross,directory,184,8,516.944,1.67923,OK
