panel,engine,op,leaftype,readers,writers,mlookups_s,mrenames_s,conserved
leaf,seqlock,rename,file,184,8,83.8445,0.599643,OK
leaf,seqlock,move,file,184,8,103.598,0.39987,OK
leaf,seqlock,exchange,file,184,8,160.419,0.402853,OK
leaf,seqlock,rename,dir,184,8,69.2388,0.602017,OK
leaf,seqlock,move,dir,184,8,91.5884,0.4029,OK
leaf,seqlock,exchange,dir,184,8,122.969,0.404606,OK
leaf,txn-global,rename,file,184,8,1774.4,1.99225,OK
leaf,txn-global,move,file,184,8,1769.2,1.7094,OK
leaf,txn-global,exchange,file,184,8,1794.94,1.24741,OK
leaf,txn-global,rename,dir,184,8,297.366,0.417508,OK
leaf,txn-global,move,dir,184,8,354.89,0.366743,OK
leaf,txn-global,exchange,dir,184,8,629.85,0.299584,OK
leaf,txn-pernode,rename,file,184,8,1645.03,1.85056,OK
leaf,txn-pernode,move,file,184,8,1578.8,1.84265,OK
leaf,txn-pernode,exchange,file,184,8,1710.09,1.15169,OK
leaf,txn-pernode,rename,dir,184,8,1598.29,1.92604,OK
leaf,txn-pernode,move,dir,184,8,1527.29,1.9106,OK
leaf,txn-pernode,exchange,dir,184,8,1846.77,1.19425,OK
leaf,txn-mark,rename,file,184,8,1641.9,1.86681,OK
leaf,txn-mark,move,file,184,8,1563.7,1.84833,OK
leaf,txn-mark,exchange,file,184,8,1745.94,1.21024,OK
leaf,txn-mark,rename,dir,184,8,1605.28,1.95879,OK
leaf,txn-mark,move,dir,184,8,1484.51,1.97651,OK
leaf,txn-mark,exchange,dir,184,8,1693.86,1.27636,OK
leaf,bucketlock,rename,file,184,8,1404.68,2.79531,OK
leaf,bucketlock,move,file,184,8,1464.84,2.33674,OK
leaf,bucketlock,exchange,file,184,8,1446.91,2.28698,OK
leaf,bucketlock,rename,dir,184,8,1446.23,2.82717,OK
leaf,bucketlock,move,dir,184,8,1493.92,2.44314,OK
leaf,bucketlock,exchange,dir,184,8,1413.4,2.27678,OK
leaf,bucketlock-chainlock,rename,file,184,8,1509.81,2.14294,OK
leaf,bucketlock-chainlock,move,file,184,8,1805.43,0.942078,OK
leaf,bucketlock-chainlock,exchange,file,184,8,1582.71,1.63402,OK
leaf,bucketlock-chainlock,rename,dir,184,8,1532.89,2.10942,OK
leaf,bucketlock-chainlock,move,dir,184,8,1804.88,0.961106,OK
leaf,bucketlock-chainlock,exchange,dir,184,8,1659.48,1.66103,OK
leaf,bucketlock-swmw,rename,file,184,8,1452.06,2.58068,OK
leaf,bucketlock-swmw,move,file,184,8,1540.61,1.79087,OK
leaf,bucketlock-swmw,exchange,file,184,8,1513.8,1.98742,OK
leaf,bucketlock-swmw,rename,dir,184,8,1439.95,2.58722,OK
leaf,bucketlock-swmw,move,dir,184,8,1482.06,2.07481,OK
leaf,bucketlock-swmw,exchange,dir,184,8,1489.88,1.95033,OK
leaf,bucketlock-swmw-pad,rename,file,184,8,1460.9,2.61669,OK
leaf,bucketlock-swmw-pad,move,file,184,8,1540.24,1.81317,OK
leaf,bucketlock-swmw-pad,exchange,file,184,8,1535.45,1.956,OK
leaf,bucketlock-swmw-pad,rename,dir,184,8,1448.97,2.56824,OK
leaf,bucketlock-swmw-pad,move,dir,184,8,1455.71,2.06898,OK
leaf,bucketlock-swmw-pad,exchange,dir,184,8,1536.25,2.01205,OK
dir,seqlock,rename,directory,184,8,17.195,0.620286,OK
dir,seqlock,move,directory,184,8,17.2047,0.421158,OK
dir,seqlock,exchange,directory,184,8,10.3036,0.435768,OK
dir,seqlock,exchange-cross,directory,184,8,12.6308,0.388573,OK
dir,txn-global,rename,directory,184,8,224.7,0.424273,OK
dir,txn-global,move,directory,184,8,308.5,0.303741,OK
dir,txn-global,exchange,directory,184,8,416.852,0.209879,OK
dir,txn-global,exchange-cross,directory,184,8,507.637,0.158935,OK
dir,txn-pernode,rename,directory,184,8,874.795,1.84064,OK
dir,txn-pernode,move,directory,184,8,760.851,2.08333,OK
dir,txn-pernode,exchange,directory,184,8,656.427,0.94884,OK
dir,txn-pernode,exchange-cross,directory,184,8,634.481,0.830356,OK
dir,txn-mark,rename,directory,184,8,910.706,1.97746,OK
dir,txn-mark,move,directory,184,8,800.377,2.01537,OK
dir,txn-mark,exchange,directory,184,8,683.606,1.09366,OK
dir,txn-mark,exchange-cross,directory,184,8,665.402,0.955788,OK
dir,bucketlock,rename,directory,184,8,770.221,2.80296,OK
dir,bucketlock,move,directory,184,8,706.103,2.19847,OK
dir,bucketlock,exchange,directory,184,8,481.166,2.2524,OK
dir,bucketlock,exchange-cross,directory,184,8,499.59,1.77949,OK
dir,bucketlock-chainlock,rename,directory,184,8,768.041,2.08612,OK
dir,bucketlock-chainlock,move,directory,184,8,711.833,1.91635,OK
dir,bucketlock-chainlock,exchange,directory,184,8,542.221,1.63213,OK
dir,bucketlock-chainlock,exchange-cross,directory,184,8,549.416,1.40384,OK
dir,bucketlock-swmw,rename,directory,184,8,802.215,2.68329,OK
dir,bucketlock-swmw,move,directory,184,8,673.403,1.90072,OK
dir,bucketlock-swmw,exchange,directory,184,8,543.13,1.58328,OK
dir,bucketlock-swmw,exchange-cross,directory,184,8,537.673,1.57612,OK
dir,bucketlock-swmw-pad,rename,directory,184,8,786.825,2.10706,OK
dir,bucketlock-swmw-pad,move,directory,184,8,668.549,1.95788,OK
dir,bucketlock-swmw-pad,exchange,directory,184,8,523.276,1.96706,OK
dir,bucketlock-swmw-pad,exchange-cross,directory,184,8,515.896,1.64607,OK
