leaftype,engine,readers,writers,mlookups_s,conserved
file,seqlock,2,8,14.7473,OK
file,seqlock,4,8,25.1514,OK
file,seqlock,8,8,36.2443,OK
file,seqlock,16,8,56.4411,OK
file,seqlock,32,8,85.9335,OK
file,seqlock,48,8,90.5304,OK
file,seqlock,64,8,100.255,OK
file,seqlock,96,8,103.369,OK
file,seqlock,128,8,100.228,OK
file,seqlock,160,8,90.1492,OK
file,seqlock,184,8,91.4763,OK
dir,seqlock,2,8,14.6112,OK
dir,seqlock,4,8,25.344,OK
dir,seqlock,8,8,36.0727,OK
dir,seqlock,16,8,70.093,OK
dir,seqlock,32,8,83.9962,OK
dir,seqlock,48,8,89.0108,OK
dir,seqlock,64,8,150.586,OK
dir,seqlock,96,8,163.68,OK
dir,seqlock,128,8,130.577,OK
dir,seqlock,160,8,149.652,OK
dir,seqlock,184,8,91.3229,OK
file,txn-global,2,8,60.3939,OK
file,txn-global,4,8,112.934,OK
file,txn-global,8,8,211.669,OK
file,txn-global,16,8,407.973,OK
file,txn-global,32,8,688.772,OK
file,txn-global,48,8,908.987,OK
file,txn-global,64,8,1010.78,OK
file,txn-global,96,8,1175.45,OK
file,txn-global,128,8,1444.58,OK
file,txn-global,160,8,1673.58,OK
file,txn-global,184,8,1771.9,OK
dir,txn-global,2,8,29.7489,OK
dir,txn-global,4,8,46.7401,OK
dir,txn-global,8,8,64.4041,OK
dir,txn-global,16,8,110.857,OK
dir,txn-global,32,8,211.301,OK
dir,txn-global,48,8,244.732,OK
dir,txn-global,64,8,337.873,OK
dir,txn-global,96,8,246.317,OK
dir,txn-global,128,8,390.444,OK
dir,txn-global,160,8,530.791,OK
dir,txn-global,184,8,618.339,OK
file,txn-pernode,2,8,49.5834,OK
file,txn-pernode,4,8,95.4434,OK
file,txn-pernode,8,8,187.662,OK
file,txn-pernode,16,8,346.121,OK
file,txn-pernode,32,8,558.492,OK
file,txn-pernode,48,8,811.452,OK
file,txn-pernode,64,8,915.48,OK
file,txn-pernode,96,8,1051.16,OK
file,txn-pernode,128,8,1330.38,OK
file,txn-pernode,160,8,1560.91,OK
file,txn-pernode,184,8,1676.54,OK
dir,txn-pernode,2,8,47.1853,OK
dir,txn-pernode,4,8,95.7512,OK
dir,txn-pernode,8,8,183.956,OK
dir,txn-pernode,16,8,349.747,OK
dir,txn-pernode,32,8,608.055,OK
dir,txn-pernode,48,8,806.774,OK
dir,txn-pernode,64,8,849.739,OK
dir,txn-pernode,96,8,1051.35,OK
dir,txn-pernode,128,8,1363.02,OK
dir,txn-pernode,160,8,1602.96,OK
dir,txn-pernode,184,8,1707.79,OK
file,txn-mark,2,8,51.6311,OK
file,txn-mark,4,8,95.3,OK
file,txn-mark,8,8,175.645,OK
file,txn-mark,16,8,329.395,OK
file,txn-mark,32,8,564.124,OK
file,txn-mark,48,8,791.79,OK
file,txn-mark,64,8,911.422,OK
file,txn-mark,96,8,1077.28,OK
file,txn-mark,128,8,1329.64,OK
file,txn-mark,160,8,1542.07,OK
file,txn-mark,184,8,1604.84,OK
dir,txn-mark,2,8,50.671,OK
dir,txn-mark,4,8,99.7324,OK
dir,txn-mark,8,8,189.985,OK
dir,txn-mark,16,8,359.136,OK
dir,txn-mark,32,8,580.443,OK
dir,txn-mark,48,8,736.534,OK
dir,txn-mark,64,8,863.312,OK
dir,txn-mark,96,8,1035.61,OK
dir,txn-mark,128,8,1344.42,OK
dir,txn-mark,160,8,1618.91,OK
dir,txn-mark,184,8,1681.63,OK
file,bucketlock,2,8,44.2195,OK
file,bucketlock,4,8,84.1324,OK
file,bucketlock,8,8,163.353,OK
file,bucketlock,16,8,293.56,OK
file,bucketlock,32,8,501.262,OK
file,bucketlock,48,8,709.529,OK
file,bucketlock,64,8,847.629,OK
file,bucketlock,96,8,1003.54,OK
file,bucketlock,128,8,1243.25,OK
file,bucketlock,160,8,1439.25,OK
file,bucketlock,184,8,1553.63,OK
dir,bucketlock,2,8,46.3291,OK
dir,bucketlock,4,8,88.0235,OK
dir,bucketlock,8,8,152.206,OK
dir,bucketlock,16,8,287.751,OK
dir,bucketlock,32,8,529.787,OK
dir,bucketlock,48,8,659.114,OK
dir,bucketlock,64,8,826.491,OK
dir,bucketlock,96,8,947.435,OK
dir,bucketlock,128,8,1184.59,OK
dir,bucketlock,160,8,1437.09,OK
dir,bucketlock,184,8,1576.71,OK
