leaftype,engine,readers,writers,mlookups_s,conserved
file,seqlock,2,8,13.6645,OK
file,seqlock,4,8,25.2835,OK
file,seqlock,8,8,35.4323,OK
file,seqlock,16,8,60.6593,OK
file,seqlock,32,8,103.602,OK
file,seqlock,48,8,83.4705,OK
file,seqlock,64,8,98.8236,OK
file,seqlock,96,8,105.363,OK
file,seqlock,128,8,88.1369,OK
file,seqlock,160,8,86.4533,OK
file,seqlock,184,8,96.4317,OK
dir,seqlock,2,8,14.4289,OK
dir,seqlock,4,8,24.33,OK
dir,seqlock,8,8,37.3157,OK
dir,seqlock,16,8,59.8006,OK
dir,seqlock,32,8,84.6642,OK
dir,seqlock,48,8,84.3419,OK
dir,seqlock,64,8,99.7258,OK
dir,seqlock,96,8,103.543,OK
dir,seqlock,128,8,119.607,OK
dir,seqlock,160,8,135.406,OK
dir,seqlock,184,8,131.602,OK
file,txn-global,2,8,56.6906,OK
file,txn-global,4,8,111.392,OK
file,txn-global,8,8,205.945,OK
file,txn-global,16,8,395.092,OK
file,txn-global,32,8,662.452,OK
file,txn-global,48,8,807.06,OK
file,txn-global,64,8,993.141,OK
file,txn-global,96,8,1152.18,OK
file,txn-global,128,8,1479.54,OK
file,txn-global,160,8,1696.57,OK
file,txn-global,184,8,1720.84,OK
dir,txn-global,2,8,33.2657,OK
dir,txn-global,4,8,55.9539,OK
dir,txn-global,8,8,81.9913,OK
dir,txn-global,16,8,146.278,OK
dir,txn-global,32,8,207.459,OK
dir,txn-global,48,8,254.484,OK
dir,txn-global,64,8,191.925,OK
dir,txn-global,96,8,333.65,OK
dir,txn-global,128,8,460.913,OK
dir,txn-global,160,8,599.258,OK
dir,txn-global,184,8,645.053,OK
file,txn-pernode,2,8,47.9115,OK
file,txn-pernode,4,8,92.9573,OK
file,txn-pernode,8,8,172.741,OK
file,txn-pernode,16,8,322.202,OK
file,txn-pernode,32,8,576.647,OK
file,txn-pernode,48,8,715.413,OK
file,txn-pernode,64,8,913.978,OK
file,txn-pernode,96,8,1075.94,OK
file,txn-pernode,128,8,1325.91,OK
file,txn-pernode,160,8,1560.99,OK
file,txn-pernode,184,8,1664.43,OK
dir,txn-pernode,2,8,48.888,OK
dir,txn-pernode,4,8,95.7234,OK
dir,txn-pernode,8,8,181.151,OK
dir,txn-pernode,16,8,347.452,OK
dir,txn-pernode,32,8,569.19,OK
dir,txn-pernode,48,8,721.187,OK
dir,txn-pernode,64,8,827.371,OK
dir,txn-pernode,96,8,1066.22,OK
dir,txn-pernode,128,8,1373.81,OK
dir,txn-pernode,160,8,1598.96,OK
dir,txn-pernode,184,8,1656.5,OK
file,txn-mark,2,8,48.5334,OK
file,txn-mark,4,8,95.1364,OK
file,txn-mark,8,8,171.34,OK
file,txn-mark,16,8,326.682,OK
file,txn-mark,32,8,576.507,OK
file,txn-mark,48,8,729.386,OK
file,txn-mark,64,8,899.577,OK
file,txn-mark,96,8,1075.3,OK
file,txn-mark,128,8,1324.87,OK
file,txn-mark,160,8,1522.89,OK
file,txn-mark,184,8,1659.92,OK
dir,txn-mark,2,8,48.1184,OK
dir,txn-mark,4,8,99.1003,OK
dir,txn-mark,8,8,182.551,OK
dir,txn-mark,16,8,350.251,OK
dir,txn-mark,32,8,581.565,OK
dir,txn-mark,48,8,792.026,OK
dir,txn-mark,64,8,849.884,OK
dir,txn-mark,96,8,1033.93,OK
dir,txn-mark,128,8,1328.81,OK
dir,txn-mark,160,8,1556.18,OK
dir,txn-mark,184,8,1594.43,OK
file,bucketlock,2,8,46.1001,OK
file,bucketlock,4,8,87.6987,OK
file,bucketlock,8,8,160.53,OK
file,bucketlock,16,8,302.115,OK
file,bucketlock,32,8,529.13,OK
file,bucketlock,48,8,638.096,OK
file,bucketlock,64,8,862.342,OK
file,bucketlock,96,8,969.196,OK
file,bucketlock,128,8,1209.88,OK
file,bucketlock,160,8,1394.29,OK
file,bucketlock,184,8,1485.9,OK
dir,bucketlock,2,8,44.2261,OK
dir,bucketlock,4,8,82.5635,OK
dir,bucketlock,8,8,163.043,OK
dir,bucketlock,16,8,300.708,OK
dir,bucketlock,32,8,494.002,OK
dir,bucketlock,48,8,693.916,OK
dir,bucketlock,64,8,830.402,OK
dir,bucketlock,96,8,923.3,OK
dir,bucketlock,128,8,1230.85,OK
dir,bucketlock,160,8,1429.28,OK
dir,bucketlock,184,8,1553.77,OK
