leaftype,engine,readers,writers,mlookups_s,conserved
file,seqlock,2,8,14.5483,OK
file,seqlock,4,8,26.0465,OK
file,seqlock,8,8,35.2437,OK
file,seqlock,16,8,57.5977,OK
file,seqlock,32,8,87.2484,OK
file,seqlock,48,8,128.406,OK
file,seqlock,64,8,156.817,OK
file,seqlock,96,8,166.247,OK
file,seqlock,128,8,145.686,OK
file,seqlock,160,8,133.235,OK
file,seqlock,184,8,93.3303,OK
dir,seqlock,2,8,15.2894,OK
dir,seqlock,4,8,25.3826,OK
dir,seqlock,8,8,35.7396,OK
dir,seqlock,16,8,56.5452,OK
dir,seqlock,32,8,87.1173,OK
dir,seqlock,48,8,94.2533,OK
dir,seqlock,64,8,109.289,OK
dir,seqlock,96,8,101.567,OK
dir,seqlock,128,8,88.0869,OK
dir,seqlock,160,8,135.396,OK
dir,seqlock,184,8,133.474,OK
file,txn-global,2,8,59.1286,OK
file,txn-global,4,8,116.753,OK
file,txn-global,8,8,221.085,OK
file,txn-global,16,8,396.988,OK
file,txn-global,32,8,662.411,OK
file,txn-global,48,8,895.218,OK
file,txn-global,64,8,1016.02,OK
file,txn-global,96,8,1167.5,OK
file,txn-global,128,8,1428.91,OK
file,txn-global,160,8,1675.56,OK
file,txn-global,184,8,1816.84,OK
dir,txn-global,2,8,33.575,OK
dir,txn-global,4,8,55.2898,OK
dir,txn-global,8,8,80.9485,OK
dir,txn-global,16,8,117.445,OK
dir,txn-global,32,8,197.85,OK
dir,txn-global,48,8,188.38,OK
dir,txn-global,64,8,337.005,OK
dir,txn-global,96,8,351.164,OK
dir,txn-global,128,8,485.694,OK
dir,txn-global,160,8,567.441,OK
dir,txn-global,184,8,746.363,OK
file,txn-pernode,2,8,50.1589,OK
file,txn-pernode,4,8,95.999,OK
file,txn-pernode,8,8,179.386,OK
file,txn-pernode,16,8,344.288,OK
file,txn-pernode,32,8,571.645,OK
file,txn-pernode,48,8,740.837,OK
file,txn-pernode,64,8,833.699,OK
file,txn-pernode,96,8,1065.49,OK
file,txn-pernode,128,8,1328.4,OK
file,txn-pernode,160,8,1528.48,OK
file,txn-pernode,184,8,1590.86,OK
dir,txn-pernode,2,8,48.7271,OK
dir,txn-pernode,4,8,94.7694,OK
dir,txn-pernode,8,8,180.326,OK
dir,txn-pernode,16,8,338.803,OK
dir,txn-pernode,32,8,572.483,OK
dir,txn-pernode,48,8,789.784,OK
dir,txn-pernode,64,8,827.484,OK
dir,txn-pernode,96,8,1098,OK
dir,txn-pernode,128,8,1349.59,OK
dir,txn-pernode,160,8,1577.69,OK
dir,txn-pernode,184,8,1671.84,OK
file,txn-mark,2,8,50.5276,OK
file,txn-mark,4,8,98.1632,OK
file,txn-mark,8,8,183.936,OK
file,txn-mark,16,8,343.876,OK
file,txn-mark,32,8,568.489,OK
file,txn-mark,48,8,726.779,OK
file,txn-mark,64,8,941.95,OK
file,txn-mark,96,8,1085.45,OK
file,txn-mark,128,8,1311.42,OK
file,txn-mark,160,8,1557.66,OK
file,txn-mark,184,8,1645.45,OK
dir,txn-mark,2,8,49.9115,OK
dir,txn-mark,4,8,97.2621,OK
dir,txn-mark,8,8,172.064,OK
dir,txn-mark,16,8,347.377,OK
dir,txn-mark,32,8,568.065,OK
dir,txn-mark,48,8,706.37,OK
dir,txn-mark,64,8,830.897,OK
dir,txn-mark,96,8,1035.26,OK
dir,txn-mark,128,8,1320.54,OK
dir,txn-mark,160,8,1499.43,OK
dir,txn-mark,184,8,1667.63,OK
file,bucketlock,2,8,46.4918,OK
file,bucketlock,4,8,88.7738,OK
file,bucketlock,8,8,161.88,OK
file,bucketlock,16,8,290.849,OK
file,bucketlock,32,8,510.191,OK
file,bucketlock,48,8,694.073,OK
file,bucketlock,64,8,787.899,OK
file,bucketlock,96,8,950.852,OK
file,bucketlock,128,8,1236.17,OK
file,bucketlock,160,8,1433.34,OK
file,bucketlock,184,8,1556.04,OK
dir,bucketlock,2,8,46.1337,OK
dir,bucketlock,4,8,84.6861,OK
dir,bucketlock,8,8,165.58,OK
dir,bucketlock,16,8,298.078,OK
dir,bucketlock,32,8,540.66,OK
dir,bucketlock,48,8,686.987,OK
dir,bucketlock,64,8,841.207,OK
dir,bucketlock,96,8,1012.09,OK
dir,bucketlock,128,8,1190.68,OK
dir,bucketlock,160,8,1404.84,OK
dir,bucketlock,184,8,1514.05,OK
