leaftype,engine,readers,writers,mlookups_s,conserved
file,seqlock,2,8,13.9891,OK
file,seqlock,4,8,23.9646,OK
file,seqlock,8,8,36.9797,OK
file,seqlock,16,8,60.8048,OK
file,seqlock,32,8,100.681,OK
file,seqlock,48,8,128.839,OK
file,seqlock,64,8,102.854,OK
file,seqlock,96,8,108.193,OK
file,seqlock,128,8,91.8322,OK
file,seqlock,160,8,86.7157,OK
file,seqlock,184,8,98.5746,OK
dir,seqlock,2,8,14.0584,OK
dir,seqlock,4,8,22.0732,OK
dir,seqlock,8,8,36.7002,OK
dir,seqlock,16,8,54.8529,OK
dir,seqlock,32,8,98.814,OK
dir,seqlock,48,8,135.712,OK
dir,seqlock,64,8,143.86,OK
dir,seqlock,96,8,108.868,OK
dir,seqlock,128,8,91.7976,OK
dir,seqlock,160,8,90.646,OK
dir,seqlock,184,8,94.6539,OK
file,txn-global,2,8,61.3557,OK
file,txn-global,4,8,119.848,OK
file,txn-global,8,8,222.942,OK
file,txn-global,16,8,409.891,OK
file,txn-global,32,8,688.303,OK
file,txn-global,48,8,825.16,OK
file,txn-global,64,8,923.519,OK
file,txn-global,96,8,1142.41,OK
file,txn-global,128,8,1458.25,OK
file,txn-global,160,8,1778.85,OK
file,txn-global,184,8,1860.93,OK
dir,txn-global,2,8,29.7805,OK
dir,txn-global,4,8,46.7406,OK
dir,txn-global,8,8,78.42,OK
dir,txn-global,16,8,147.121,OK
dir,txn-global,32,8,213.719,OK
dir,txn-global,48,8,274.679,OK
dir,txn-global,64,8,177.331,OK
dir,txn-global,96,8,329.992,OK
dir,txn-global,128,8,384.751,OK
dir,txn-global,160,8,548.412,OK
dir,txn-global,184,8,421.627,OK
file,txn-pernode,2,8,49.1157,OK
file,txn-pernode,4,8,94.6281,OK
file,txn-pernode,8,8,175.641,OK
file,txn-pernode,16,8,333.805,OK
file,txn-pernode,32,8,572.013,OK
file,txn-pernode,48,8,734.059,OK
file,txn-pernode,64,8,834.1,OK
file,txn-pernode,96,8,1090.32,OK
file,txn-pernode,128,8,1338.02,OK
file,txn-pernode,160,8,1609.09,OK
file,txn-pernode,184,8,1692.48,OK
dir,txn-pernode,2,8,48.9829,OK
dir,txn-pernode,4,8,93.3818,OK
dir,txn-pernode,8,8,187.774,OK
dir,txn-pernode,16,8,347.49,OK
dir,txn-pernode,32,8,589.893,OK
dir,txn-pernode,48,8,734.764,OK
dir,txn-pernode,64,8,857.455,OK
dir,txn-pernode,96,8,1064.89,OK
dir,txn-pernode,128,8,1383.66,OK
dir,txn-pernode,160,8,1612.23,OK
dir,txn-pernode,184,8,1704.93,OK
file,txn-mark,2,8,49.0567,OK
file,txn-mark,4,8,95.0826,OK
file,txn-mark,8,8,177.562,OK
file,txn-mark,16,8,347.937,OK
file,txn-mark,32,8,576.413,OK
file,txn-mark,48,8,798.586,OK
file,txn-mark,64,8,935.254,OK
file,txn-mark,96,8,1040.42,OK
file,txn-mark,128,8,1343.57,OK
file,txn-mark,160,8,1546.83,OK
file,txn-mark,184,8,1680.61,OK
dir,txn-mark,2,8,49.7432,OK
dir,txn-mark,4,8,100.382,OK
dir,txn-mark,8,8,184.178,OK
dir,txn-mark,16,8,358.749,OK
dir,txn-mark,32,8,596.91,OK
dir,txn-mark,48,8,733.277,OK
dir,txn-mark,64,8,916.451,OK
dir,txn-mark,96,8,1040.1,OK
dir,txn-mark,128,8,1296.91,OK
dir,txn-mark,160,8,1560.81,OK
dir,txn-mark,184,8,1638.07,OK
file,bucketlock,2,8,44.3932,OK
file,bucketlock,4,8,85.0083,OK
file,bucketlock,8,8,163.877,OK
file,bucketlock,16,8,293.494,OK
file,bucketlock,32,8,509.032,OK
file,bucketlock,48,8,658.421,OK
file,bucketlock,64,8,808.922,OK
file,bucketlock,96,8,961.288,OK
file,bucketlock,128,8,1216.17,OK
file,bucketlock,160,8,1456.47,OK
file,bucketlock,184,8,1528.38,OK
dir,bucketlock,2,8,44.4399,OK
dir,bucketlock,4,8,84.7629,OK
dir,bucketlock,8,8,154.257,OK
dir,bucketlock,16,8,287.283,OK
dir,bucketlock,32,8,541.619,OK
dir,bucketlock,48,8,660.438,OK
dir,bucketlock,64,8,802.413,OK
dir,bucketlock,96,8,946.758,OK
dir,bucketlock,128,8,1233.75,OK
dir,bucketlock,160,8,1443.29,OK
dir,bucketlock,184,8,1554.11,OK
