panel,engine,readers,writers,mchurn_s,mreaddir_s,conserved
list_vs_churn,seqlock-rp,32,1,0.246659,80.616,OK
list_vs_churn,seqlock-wp,32,1,0.234855,75.6293,OK
list_vs_churn,seqlock-krwsem,32,1,0.0974047,48.5655,OK
list_vs_churn,txn-mark,32,1,0.639189,442.481,OK
list_vs_churn,bucketlock,32,1,1.58138,412.63,OK
list_vs_churn,seqlock-rp,32,2,0.464353,127.651,OK
list_vs_churn,seqlock-wp,32,2,0.835312,70.4204,OK
list_vs_churn,seqlock-krwsem,32,2,0.375423,21.2503,OK
list_vs_churn,txn-mark,32,2,1.10843,681.341,OK
list_vs_churn,bucketlock,32,2,2.60076,612.421,OK
list_vs_churn,seqlock-rp,32,4,0.699033,198.145,OK
list_vs_churn,seqlock-wp,32,4,1.54288,49.4837,OK
list_vs_churn,seqlock-krwsem,32,4,0.926345,36.4209,OK
list_vs_churn,txn-mark,32,4,1.93928,809.223,OK
list_vs_churn,bucketlock,32,4,5.19879,688.309,OK
list_vs_churn,seqlock-rp,32,8,0.947112,267.569,OK
list_vs_churn,seqlock-wp,32,8,2.5199,62.823,OK
list_vs_churn,seqlock-krwsem,32,8,1.46508,60.8094,OK
list_vs_churn,txn-mark,32,8,4.22682,901.058,OK
list_vs_churn,bucketlock,32,8,10.8497,754.255,OK
list_vs_churn,seqlock-rp,32,16,1.16882,355.543,OK
list_vs_churn,seqlock-wp,32,16,2.80739,52.8727,OK
list_vs_churn,seqlock-krwsem,32,16,1.49209,80.6676,OK
list_vs_churn,txn-mark,32,16,9.22763,1060.77,OK
list_vs_churn,bucketlock,32,16,19.6256,773.846,OK
list_vs_churn,seqlock-rp,32,32,1.21423,387.4,OK
list_vs_churn,seqlock-wp,32,32,3.46925,48.7648,OK
list_vs_churn,seqlock-krwsem,32,32,1.82988,99.3623,OK
list_vs_churn,txn-mark,32,32,19.0956,1179.34,OK
list_vs_churn,bucketlock,32,32,14.5051,1374.95,OK
list_vs_churn,seqlock-rp,32,48,1.39754,542.229,OK
list_vs_churn,seqlock-wp,32,48,4.07039,42.9662,OK
list_vs_churn,seqlock-krwsem,32,48,2.1693,117.862,OK
list_vs_churn,txn-mark,32,48,23.7115,1093.93,OK
list_vs_churn,bucketlock,32,48,7.69287,2216.17,OK
churn_vs_list,seqlock-rp,2,8,3.70969,23.7846,OK
churn_vs_list,seqlock-wp,2,8,7.4814,4.61655,OK
churn_vs_list,seqlock-krwsem,2,8,5.60534,14.2591,OK
churn_vs_list,txn-mark,2,8,10.0444,45.2125,OK
churn_vs_list,bucketlock,2,8,20.7873,25.0969,OK
churn_vs_list,seqlock-rp,4,8,2.47216,50.3477,OK
churn_vs_list,seqlock-wp,4,8,5.75828,9.48976,OK
churn_vs_list,seqlock-krwsem,4,8,4.02095,27.028,OK
churn_vs_list,txn-mark,4,8,7.45061,127.203,OK
churn_vs_list,bucketlock,4,8,16.6251,64.1784,OK
churn_vs_list,seqlock-rp,8,8,1.53764,87.2232,OK
churn_vs_list,seqlock-wp,8,8,4.49596,17.9001,OK
churn_vs_list,seqlock-krwsem,8,8,2.90336,42.3708,OK
churn_vs_list,txn-mark,8,8,5.7237,301.491,OK
churn_vs_list,bucketlock,8,8,13.1524,203.336,OK
churn_vs_list,seqlock-rp,16,8,1.31734,148.736,OK
churn_vs_list,seqlock-wp,16,8,3.40948,34.7287,OK
churn_vs_list,seqlock-krwsem,16,8,2.00878,51.7913,OK
churn_vs_list,txn-mark,16,8,6.0579,538.945,OK
churn_vs_list,bucketlock,16,8,10.1591,380.246,OK
churn_vs_list,seqlock-rp,32,8,0.76159,236.375,OK
churn_vs_list,seqlock-wp,32,8,2.39565,52.9005,OK
churn_vs_list,seqlock-krwsem,32,8,1.40553,60.1386,OK
churn_vs_list,txn-mark,32,8,4.69346,960.073,OK
churn_vs_list,bucketlock,32,8,7.95991,738.067,OK
churn_vs_list,seqlock-rp,64,8,0.477671,365.515,OK
churn_vs_list,seqlock-wp,64,8,1.75137,109.297,OK
churn_vs_list,seqlock-krwsem,64,8,0.971602,57.5815,OK
churn_vs_list,txn-mark,64,8,3.84874,1642.17,OK
churn_vs_list,bucketlock,64,8,7.86016,1381.3,OK
churn_vs_list,seqlock-rp,96,8,0.351462,499.439,OK
churn_vs_list,seqlock-wp,96,8,1.20848,137.9,OK
churn_vs_list,seqlock-krwsem,96,8,0.751218,58.7458,OK
churn_vs_list,txn-mark,96,8,2.61521,1942.06,OK
churn_vs_list,bucketlock,96,8,5.86511,1919.99,OK
churn_vs_list,seqlock-rp,128,8,0.22649,475.145,OK
churn_vs_list,seqlock-wp,128,8,0.92397,136.276,OK
churn_vs_list,seqlock-krwsem,128,8,0.604382,58.5074,OK
churn_vs_list,txn-mark,128,8,2.1812,2069.24,OK
churn_vs_list,bucketlock,128,8,4.40873,1653.58,OK
churn_vs_list,seqlock-rp,160,8,0.167147,499.956,OK
churn_vs_list,seqlock-wp,160,8,0.808236,138.771,OK
churn_vs_list,seqlock-krwsem,160,8,0.56021,61.7068,OK
churn_vs_list,txn-mark,160,8,1.95431,2190.75,OK
churn_vs_list,bucketlock,160,8,3.99022,1757.97,OK
churn_vs_list,seqlock-rp,184,8,0.138383,524.782,OK
churn_vs_list,seqlock-wp,184,8,0.75447,142.572,OK
churn_vs_list,seqlock-krwsem,184,8,0.50424,60.3691,OK
churn_vs_list,txn-mark,184,8,1.80539,2322,OK
churn_vs_list,bucketlock,184,8,3.74852,1918.98,OK
