panel,engine,readers,writers,mchurn_s,mreaddir_s,conserved
list_vs_churn,seqlock-rp,32,1,0.249666,82.0543,OK
list_vs_churn,seqlock-wp,32,1,0.234639,76.5582,OK
list_vs_churn,seqlock-krwsem,32,1,0.102007,47.7906,OK
list_vs_churn,txn-mark,32,1,0.581387,401.763,OK
list_vs_churn,bucketlock,32,1,1.496,413.067,OK
list_vs_churn,seqlock-rp,32,2,0.468345,129.828,OK
list_vs_churn,seqlock-wp,32,2,0.854722,71.6433,OK
list_vs_churn,seqlock-krwsem,32,2,0.380126,20.9149,OK
list_vs_churn,txn-mark,32,2,1.17942,663.467,OK
list_vs_churn,bucketlock,32,2,2.58837,591.862,OK
list_vs_churn,seqlock-rp,32,4,0.716294,198.383,OK
list_vs_churn,seqlock-wp,32,4,1.85763,59.5116,OK
list_vs_churn,seqlock-krwsem,32,4,0.926373,36.8569,OK
list_vs_churn,txn-mark,32,4,2.04892,787.096,OK
list_vs_churn,bucketlock,32,4,4.00378,630.945,OK
list_vs_churn,seqlock-rp,32,8,0.783642,222.494,OK
list_vs_churn,seqlock-wp,32,8,2.28689,52.8573,OK
list_vs_churn,seqlock-krwsem,32,8,1.32949,53.6472,OK
list_vs_churn,txn-mark,32,8,4.96064,885.068,OK
list_vs_churn,bucketlock,32,8,8.49648,724.927,OK
list_vs_churn,seqlock-rp,32,16,1.07173,304.35,OK
list_vs_churn,seqlock-wp,32,16,3.12799,60.7802,OK
list_vs_churn,seqlock-krwsem,32,16,1.60287,88.0477,OK
list_vs_churn,txn-mark,32,16,11.5714,837.628,OK
list_vs_churn,bucketlock,32,16,19.5405,816.148,OK
list_vs_churn,seqlock-rp,32,32,1.35528,475.256,OK
list_vs_churn,seqlock-wp,32,32,3.95575,54.5349,OK
list_vs_churn,seqlock-krwsem,32,32,1.98837,110.019,OK
list_vs_churn,txn-mark,32,32,21.2933,696.645,OK
list_vs_churn,bucketlock,32,32,14.2306,1363.22,OK
list_vs_churn,seqlock-rp,32,48,1.3492,555.219,OK
list_vs_churn,seqlock-wp,32,48,4.65024,47.2417,OK
list_vs_churn,seqlock-krwsem,32,48,2.16697,117.713,OK
list_vs_churn,txn-mark,32,48,25.6115,665.636,OK
list_vs_churn,bucketlock,32,48,7.58855,2208.25,OK
churn_vs_list,seqlock-rp,2,8,3.73648,23.9981,OK
churn_vs_list,seqlock-wp,2,8,7.43942,4.61487,OK
churn_vs_list,seqlock-krwsem,2,8,5.58278,14.1312,OK
churn_vs_list,txn-mark,2,8,12.7984,24.1668,OK
churn_vs_list,bucketlock,2,8,20.8038,25.0679,OK
churn_vs_list,seqlock-rp,4,8,2.41743,50.2395,OK
churn_vs_list,seqlock-wp,4,8,5.79971,9.47554,OK
churn_vs_list,seqlock-krwsem,4,8,4.04151,27.0537,OK
churn_vs_list,txn-mark,4,8,8.50049,90.3182,OK
churn_vs_list,bucketlock,4,8,16.4985,67.9057,OK
churn_vs_list,seqlock-rp,8,8,1.82304,94.39,OK
churn_vs_list,seqlock-wp,8,8,4.48814,18.798,OK
churn_vs_list,seqlock-krwsem,8,8,2.91,42.7381,OK
churn_vs_list,txn-mark,8,8,6.19627,270.711,OK
churn_vs_list,bucketlock,8,8,13.2623,193.364,OK
churn_vs_list,seqlock-rp,16,8,1.32497,154.002,OK
churn_vs_list,seqlock-wp,16,8,3.43864,34.6524,OK
churn_vs_list,seqlock-krwsem,16,8,2.01127,52.3813,OK
churn_vs_list,txn-mark,16,8,6.48434,473.741,OK
churn_vs_list,bucketlock,16,8,13.173,364.97,OK
churn_vs_list,seqlock-rp,32,8,0.951541,276.663,OK
churn_vs_list,seqlock-wp,32,8,2.28085,53.6419,OK
churn_vs_list,seqlock-krwsem,32,8,1.30451,53.3341,OK
churn_vs_list,txn-mark,32,8,5.0374,889.053,OK
churn_vs_list,bucketlock,32,8,10.9025,772.837,OK
churn_vs_list,seqlock-rp,64,8,0.577391,447.993,OK
churn_vs_list,seqlock-wp,64,8,1.75081,107.815,OK
churn_vs_list,seqlock-krwsem,64,8,1.12974,65.8743,OK
churn_vs_list,txn-mark,64,8,4.13051,1585.91,OK
churn_vs_list,bucketlock,64,8,7.95935,1448.22,OK
churn_vs_list,seqlock-rp,96,8,0.357144,494.271,OK
churn_vs_list,seqlock-wp,96,8,1.21406,139.415,OK
churn_vs_list,seqlock-krwsem,96,8,0.858896,66.1971,OK
churn_vs_list,txn-mark,96,8,2.73485,1758.99,OK
churn_vs_list,bucketlock,96,8,4.91955,1537.51,OK
churn_vs_list,seqlock-rp,128,8,0.230469,472.786,OK
churn_vs_list,seqlock-wp,128,8,0.933179,137.129,OK
churn_vs_list,seqlock-krwsem,128,8,0.604168,59.1839,OK
churn_vs_list,txn-mark,128,8,2.26507,1952.58,OK
churn_vs_list,bucketlock,128,8,4.36271,1564.97,OK
churn_vs_list,seqlock-rp,160,8,0.164886,495.845,OK
churn_vs_list,seqlock-wp,160,8,0.820334,136.896,OK
churn_vs_list,seqlock-krwsem,160,8,0.519212,58.9163,OK
churn_vs_list,txn-mark,160,8,2.05338,1955.28,OK
churn_vs_list,bucketlock,160,8,4.00628,1804.84,OK
churn_vs_list,seqlock-rp,184,8,0.13773,524.998,OK
churn_vs_list,seqlock-wp,184,8,0.761918,142.527,OK
churn_vs_list,seqlock-krwsem,184,8,0.469075,58.1525,OK
churn_vs_list,txn-mark,184,8,1.89306,2008.41,OK
churn_vs_list,bucketlock,184,8,3.75002,1852.36,OK
