panel,engine,readers,writers,mchurn_s,mreaddir_s,conserved
list_vs_churn,seqlock-rp,32,1,0.260635,84.0739,OK
list_vs_churn,seqlock-wp,32,1,0.241439,77.0171,OK
list_vs_churn,seqlock-krwsem,32,1,0.0987233,46.969,OK
list_vs_churn,txn-mark,32,1,0.586313,399.326,OK
list_vs_churn,bucketlock,32,1,1.11784,377.873,OK
list_vs_churn,seqlock-rp,32,2,0.473683,130.757,OK
list_vs_churn,seqlock-wp,32,2,0.849751,71.5105,OK
list_vs_churn,seqlock-krwsem,32,2,0.382071,21.5304,OK
list_vs_churn,txn-mark,32,2,1.24019,658.501,OK
list_vs_churn,bucketlock,32,2,2.65574,618.425,OK
list_vs_churn,seqlock-rp,32,4,0.718304,199.327,OK
list_vs_churn,seqlock-wp,32,4,1.52202,50.1925,OK
list_vs_churn,seqlock-krwsem,32,4,0.922032,37.162,OK
list_vs_churn,txn-mark,32,4,2.45133,817.7,OK
list_vs_churn,bucketlock,32,4,5.20001,733.321,OK
list_vs_churn,seqlock-rp,32,8,0.94574,278.17,OK
list_vs_churn,seqlock-wp,32,8,2.49039,62.6086,OK
list_vs_churn,seqlock-krwsem,32,8,1.29858,53.7543,OK
list_vs_churn,txn-mark,32,8,5.42474,846.194,OK
list_vs_churn,bucketlock,32,8,10.6118,759.866,OK
list_vs_churn,seqlock-rp,32,16,1.05704,313.235,OK
list_vs_churn,seqlock-wp,32,16,3.10307,59.7791,OK
list_vs_churn,seqlock-krwsem,32,16,1.64246,89.6937,OK
list_vs_churn,txn-mark,32,16,12.4051,766.237,OK
list_vs_churn,bucketlock,32,16,14.4735,726.248,OK
list_vs_churn,seqlock-rp,32,32,1.21042,390.916,OK
list_vs_churn,seqlock-wp,32,32,3.49946,49.6362,OK
list_vs_churn,seqlock-krwsem,32,32,2.02397,112.348,OK
list_vs_churn,txn-mark,32,32,21.7972,713.13,OK
list_vs_churn,bucketlock,32,32,14.2774,1361.34,OK
list_vs_churn,seqlock-rp,32,48,1.20756,460.082,OK
list_vs_churn,seqlock-wp,32,48,4.61722,45.9966,OK
list_vs_churn,seqlock-krwsem,32,48,2.12069,116.701,OK
list_vs_churn,txn-mark,32,48,25.0294,688.99,OK
list_vs_churn,bucketlock,32,48,8.92155,2206.94,OK
churn_vs_list,seqlock-rp,2,8,3.72184,24.2033,OK
churn_vs_list,seqlock-wp,2,8,7.43241,4.57851,OK
churn_vs_list,seqlock-krwsem,2,8,5.35301,12.5227,OK
churn_vs_list,txn-mark,2,8,13.4026,23.7642,OK
churn_vs_list,bucketlock,2,8,20.8811,25.313,OK
churn_vs_list,seqlock-rp,4,8,2.29102,48.7261,OK
churn_vs_list,seqlock-wp,4,8,5.75114,9.35741,OK
churn_vs_list,seqlock-krwsem,4,8,3.96612,27.4039,OK
churn_vs_list,txn-mark,4,8,9.16737,84.5387,OK
churn_vs_list,bucketlock,4,8,16.5226,64.4868,OK
churn_vs_list,seqlock-rp,8,8,1.80026,93.8278,OK
churn_vs_list,seqlock-wp,8,8,4.51752,18.8088,OK
churn_vs_list,seqlock-krwsem,8,8,2.85002,41.9744,OK
churn_vs_list,txn-mark,8,8,6.77746,252.538,OK
churn_vs_list,bucketlock,8,8,13.1427,203.972,OK
churn_vs_list,seqlock-rp,16,8,1.32246,152.95,OK
churn_vs_list,seqlock-wp,16,8,3.4423,34.478,OK
churn_vs_list,seqlock-krwsem,16,8,1.97964,51.8789,OK
churn_vs_list,txn-mark,16,8,7.05589,439.156,OK
churn_vs_list,bucketlock,16,8,10.1756,386.299,OK
churn_vs_list,seqlock-rp,32,8,0.943411,268.844,OK
churn_vs_list,seqlock-wp,32,8,2.51835,61.7028,OK
churn_vs_list,seqlock-krwsem,32,8,1.29269,53.4653,OK
churn_vs_list,txn-mark,32,8,4.77192,817.976,OK
churn_vs_list,bucketlock,32,8,10.7055,751.26,OK
churn_vs_list,seqlock-rp,64,8,0.472425,364.784,OK
churn_vs_list,seqlock-wp,64,8,1.49196,87.4372,OK
churn_vs_list,seqlock-krwsem,64,8,0.970722,58.3314,OK
churn_vs_list,txn-mark,64,8,4.36104,1436.76,OK
churn_vs_list,bucketlock,64,8,6.41533,1221.21,OK
churn_vs_list,seqlock-rp,96,8,0.326661,433.356,OK
churn_vs_list,seqlock-wp,96,8,1.19528,137.743,OK
churn_vs_list,seqlock-krwsem,96,8,0.837495,65.7861,OK
churn_vs_list,txn-mark,96,8,2.8803,1670.35,OK
churn_vs_list,bucketlock,96,8,4.88069,1535.22,OK
churn_vs_list,seqlock-rp,128,8,0.220312,463.272,OK
churn_vs_list,seqlock-wp,128,8,0.930183,137.024,OK
churn_vs_list,seqlock-krwsem,128,8,0.59538,58.7161,OK
churn_vs_list,txn-mark,128,8,2.3985,1842.59,OK
churn_vs_list,bucketlock,128,8,4.35318,1628.39,OK
churn_vs_list,seqlock-rp,160,8,0.171759,504.71,OK
churn_vs_list,seqlock-wp,160,8,0.814971,137.629,OK
churn_vs_list,seqlock-krwsem,160,8,0.510639,59.1406,OK
churn_vs_list,txn-mark,160,8,2.16499,1863.68,OK
churn_vs_list,bucketlock,160,8,3.97139,1687.04,OK
churn_vs_list,seqlock-rp,184,8,0.138092,528.872,OK
churn_vs_list,seqlock-wp,184,8,0.770512,142.925,OK
churn_vs_list,seqlock-krwsem,184,8,0.501073,60.6158,OK
churn_vs_list,txn-mark,184,8,2.00218,1917.82,OK
churn_vs_list,bucketlock,184,8,3.73653,1911.24,OK
