panel,engine,readers,writers,mchurn_s,mreaddir_s,conserved
list_vs_churn,seqlock-rp,32,1,0.254027,61.7985,OK
list_vs_churn,seqlock-wp,32,1,0.235843,55.9846,OK
list_vs_churn,seqlock-krwsem,32,1,0.10051,35.248,OK
list_vs_churn,txn-mark,32,1,0.54025,413.024,OK
list_vs_churn,bucketlock,32,1,1.5242,418.833,OK
list_vs_churn,seqlock-rp,32,2,0.468913,128.333,OK
list_vs_churn,seqlock-wp,32,2,0.853841,67.0576,OK
list_vs_churn,seqlock-krwsem,32,2,0.372198,20.9576,OK
list_vs_churn,txn-mark,32,2,1.12133,683.347,OK
list_vs_churn,bucketlock,32,2,2.52168,592.396,OK
list_vs_churn,seqlock-rp,32,4,0.577395,141.248,OK
list_vs_churn,seqlock-wp,32,4,1.83757,54.6962,OK
list_vs_churn,seqlock-krwsem,32,4,0.786416,32.435,OK
list_vs_churn,txn-mark,32,4,2.22042,858.662,OK
list_vs_churn,bucketlock,32,4,4.72711,739.065,OK
list_vs_churn,seqlock-rp,32,8,0.907442,273.357,OK
list_vs_churn,seqlock-wp,32,8,2.54024,61.9299,OK
list_vs_churn,seqlock-krwsem,32,8,1.4499,60.7269,OK
list_vs_churn,txn-mark,32,8,5.00331,974.67,OK
list_vs_churn,bucketlock,32,8,10.5572,819.236,OK
list_vs_churn,seqlock-rp,32,16,1.25619,358.836,OK
list_vs_churn,seqlock-wp,32,16,3.11159,60.3795,OK
list_vs_churn,seqlock-krwsem,32,16,1.6513,90.552,OK
list_vs_churn,txn-mark,32,16,10.8221,1139.68,OK
list_vs_churn,bucketlock,32,16,19.6301,802.447,OK
list_vs_churn,seqlock-rp,32,32,1.43229,460.943,OK
list_vs_churn,seqlock-wp,32,32,3.99209,54.8728,OK
list_vs_churn,seqlock-krwsem,32,32,2.01794,112.326,OK
list_vs_churn,txn-mark,32,32,19.4186,1172.59,OK
list_vs_churn,bucketlock,32,32,14.5521,880.93,OK
list_vs_churn,seqlock-rp,32,48,1.21708,565.951,OK
list_vs_churn,seqlock-wp,32,48,4.55508,46.3829,OK
list_vs_churn,seqlock-krwsem,32,48,2.14571,115.225,OK
list_vs_churn,txn-mark,32,48,23.6469,1077.84,OK
list_vs_churn,bucketlock,32,48,7.23687,2220.92,OK
churn_vs_list,seqlock-rp,2,8,3.63331,24.3131,OK
churn_vs_list,seqlock-wp,2,8,7.48064,4.5697,OK
churn_vs_list,seqlock-krwsem,2,8,5.55242,14.1944,OK
churn_vs_list,txn-mark,2,8,10.1882,45.5785,OK
churn_vs_list,bucketlock,2,8,20.7101,24.2603,OK
churn_vs_list,seqlock-rp,4,8,2.44197,50.1476,OK
churn_vs_list,seqlock-wp,4,8,5.74507,9.40548,OK
churn_vs_list,seqlock-krwsem,4,8,4.05333,27.0882,OK
churn_vs_list,txn-mark,4,8,7.46517,112.488,OK
churn_vs_list,bucketlock,4,8,15.999,55.7737,OK
churn_vs_list,seqlock-rp,8,8,1.78059,92.3532,OK
churn_vs_list,seqlock-wp,8,8,4.5082,18.4892,OK
churn_vs_list,seqlock-krwsem,8,8,2.87969,42.6416,OK
churn_vs_list,txn-mark,8,8,6.13061,301.912,OK
churn_vs_list,bucketlock,8,8,13.1527,222.946,OK
churn_vs_list,seqlock-rp,16,8,1.31634,151.719,OK
churn_vs_list,seqlock-wp,16,8,3.33279,33.818,OK
churn_vs_list,seqlock-krwsem,16,8,1.96804,51.953,OK
churn_vs_list,txn-mark,16,8,6.47019,513.765,OK
churn_vs_list,bucketlock,16,8,12.9014,376.031,OK
churn_vs_list,seqlock-rp,32,8,0.948577,271.388,OK
churn_vs_list,seqlock-wp,32,8,2.54557,62.2715,OK
churn_vs_list,seqlock-krwsem,32,8,1.44779,60.836,OK
churn_vs_list,txn-mark,32,8,4.97542,967.331,OK
churn_vs_list,bucketlock,32,8,10.6467,801.36,OK
churn_vs_list,seqlock-rp,64,8,0.56599,437.619,OK
churn_vs_list,seqlock-wp,64,8,1.72244,108.026,OK
churn_vs_list,seqlock-krwsem,64,8,0.985034,58.5511,OK
churn_vs_list,txn-mark,64,8,4.01328,1617.75,OK
churn_vs_list,bucketlock,64,8,8.34915,1434.25,OK
churn_vs_list,seqlock-rp,96,8,0.357632,487.574,OK
churn_vs_list,seqlock-wp,96,8,1.17488,135.735,OK
churn_vs_list,seqlock-krwsem,96,8,0.74298,59.1903,OK
churn_vs_list,txn-mark,96,8,2.47448,2045.88,OK
churn_vs_list,bucketlock,96,8,4.82341,1560.96,OK
churn_vs_list,seqlock-rp,128,8,0.221676,469.591,OK
churn_vs_list,seqlock-wp,128,8,0.93069,127.841,OK
churn_vs_list,seqlock-krwsem,128,8,0.602042,58.6514,OK
churn_vs_list,txn-mark,128,8,2.18348,2138.6,OK
churn_vs_list,bucketlock,128,8,3.93615,1959.01,OK
churn_vs_list,seqlock-rp,160,8,0.166043,501.004,OK
churn_vs_list,seqlock-wp,160,8,0.807182,138.47,OK
churn_vs_list,seqlock-krwsem,160,8,0.548346,61.1274,OK
churn_vs_list,txn-mark,160,8,1.9714,2114.52,OK
churn_vs_list,bucketlock,160,8,3.9331,1779.45,OK
churn_vs_list,seqlock-rp,184,8,0.137302,528.342,OK
churn_vs_list,seqlock-wp,184,8,0.972036,144.714,OK
churn_vs_list,seqlock-krwsem,184,8,0.474174,58.4482,OK
churn_vs_list,txn-mark,184,8,1.82531,2177.4,OK
churn_vs_list,bucketlock,184,8,3.66913,2006.57,OK
