panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
frac,seqlock,48,-1,48,0,1455.02,0,OK
frac,txn-global,48,-1,48,0,1617.76,0,OK
frac,txn-pernode,48,-1,48,0,1466.13,0,OK
frac,txn-mark,48,-1,48,0,1491.02,0,OK
frac,bucketlock,48,-1,48,0,1349.48,0,OK
frac,seqlock,48,-1,48,0.005,98.1015,0.492901,OK
frac,txn-global,48,-1,48,0.005,134.542,0.675634,OK
frac,txn-pernode,48,-1,48,0.005,950.759,4.77887,OK
frac,txn-mark,48,-1,48,0.005,969.473,4.87255,OK
frac,bucketlock,48,-1,48,0.005,885.356,4.45062,OK
frac,seqlock,48,-1,48,0.01,50.6333,0.51217,OK
frac,txn-global,48,-1,48,0.01,68.2306,0.689716,OK
frac,txn-pernode,48,-1,48,0.01,849.529,8.58171,OK
frac,txn-mark,48,-1,48,0.01,870.792,8.79609,OK
frac,bucketlock,48,-1,48,0.01,831.545,8.40016,OK
frac,seqlock,48,-1,48,0.02,27.645,0.564686,OK
frac,txn-global,48,-1,48,0.02,35.0448,0.716362,OK
frac,txn-pernode,48,-1,48,0.02,608.526,12.423,OK
frac,txn-mark,48,-1,48,0.02,609.978,12.4524,OK
frac,bucketlock,48,-1,48,0.02,657.073,13.414,OK
frac,seqlock,48,-1,48,0.05,12.0054,0.630436,OK
frac,txn-global,48,-1,48,0.05,14.176,0.745228,OK
frac,txn-pernode,48,-1,48,0.05,266.046,13.9987,OK
frac,txn-mark,48,-1,48,0.05,267.736,14.0877,OK
frac,bucketlock,48,-1,48,0.05,370.537,19.4971,OK
frac,seqlock,48,-1,48,0.1,6.21535,0.689785,OK
frac,txn-global,48,-1,48,0.1,4.67352,0.518215,OK
frac,txn-pernode,48,-1,48,0.1,144.522,16.0549,OK
frac,txn-mark,48,-1,48,0.1,166.779,18.5281,OK
frac,bucketlock,48,-1,48,0.1,214.721,23.8548,OK
frac,seqlock,48,-1,48,0.2,3.20917,0.802886,OK
frac,txn-global,48,-1,48,0.2,3.15607,0.789228,OK
frac,txn-pernode,48,-1,48,0.2,80.0929,20.0322,OK
frac,txn-mark,48,-1,48,0.2,71.731,17.9396,OK
frac,bucketlock,48,-1,48,0.2,92.8998,23.2337,OK
frac,seqlock,48,-1,48,0.35,1.10148,0.593777,OK
frac,txn-global,48,-1,48,0.35,1.09189,0.588823,OK
frac,txn-pernode,48,-1,48,0.35,35.4486,19.0893,OK
frac,txn-mark,48,-1,48,0.35,35.4615,19.096,OK
frac,bucketlock,48,-1,48,0.35,53.9751,29.0704,OK
frac,seqlock,48,-1,48,0.5,0.965791,0.967611,OK
frac,txn-global,48,-1,48,0.5,0.88464,0.886318,OK
frac,txn-pernode,48,-1,48,0.5,19.5367,19.5336,OK
frac,txn-mark,48,-1,48,0.5,19.7924,19.7882,OK
frac,bucketlock,48,-1,48,0.5,31.9028,31.8964,OK
split_w,seqlock,33,1,32,1.0,23.906,2.0995,OK
split_w,txn-global,33,1,32,1.0,877.375,0.397971,OK
split_w,txn-pernode,33,1,32,1.0,1007.82,0.365204,OK
split_w,txn-mark,33,1,32,1.0,1014.65,0.470389,OK
split_w,bucketlock,33,1,32,1.0,931.576,0.874462,OK
split_w,seqlock,34,2,32,1.0,251.372,0.893596,OK
split_w,txn-global,34,2,32,1.0,705.563,0.885437,OK
split_w,txn-pernode,34,2,32,1.0,1001.76,0.81227,OK
split_w,txn-mark,34,2,32,1.0,1029.4,1.29536,OK
split_w,bucketlock,34,2,32,1.0,930.251,2.38321,OK
split_w,seqlock,36,4,32,1.0,161.687,0.532543,OK
split_w,txn-global,36,4,32,1.0,456.975,0.952166,OK
split_w,txn-pernode,36,4,32,1.0,876.354,1.97143,OK
split_w,txn-mark,36,4,32,1.0,982.269,2.27197,OK
split_w,bucketlock,36,4,32,1.0,877.928,3.63932,OK
split_w,seqlock,40,8,32,1.0,164.491,0.733384,OK
split_w,txn-global,40,8,32,1.0,469.612,0.963896,OK
split_w,txn-pernode,40,8,32,1.0,966.232,5.31285,OK
split_w,txn-mark,40,8,32,1.0,985.392,5.59298,OK
split_w,bucketlock,40,8,32,1.0,879.054,8.6145,OK
split_w,seqlock,48,16,32,1.0,89.7431,0.697597,OK
split_w,txn-global,48,16,32,1.0,495.897,0.883701,OK
