panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
frac,seqlock,48,-1,48,0,1447.36,0,OK
frac,txn-global,48,-1,48,0,1635.88,0,OK
frac,txn-pernode,48,-1,48,0,1464.48,0,OK
frac,txn-mark,48,-1,48,0,1489.7,0,OK
frac,bucketlock,48,-1,48,0,1351.37,0,OK
frac,seqlock,48,-1,48,0.005,99.3643,0.499346,OK
frac,txn-global,48,-1,48,0.005,135.354,0.679453,OK
frac,txn-pernode,48,-1,48,0.005,1019.65,5.12492,OK
frac,txn-mark,48,-1,48,0.005,1055.51,5.30419,OK
frac,bucketlock,48,-1,48,0.005,999.477,5.02338,OK
frac,seqlock,48,-1,48,0.01,52.7959,0.53401,OK
frac,txn-global,48,-1,48,0.01,69.7352,0.704893,OK
frac,txn-pernode,48,-1,48,0.01,857.097,8.65782,OK
frac,txn-mark,48,-1,48,0.01,873.192,8.82013,OK
frac,bucketlock,48,-1,48,0.01,837.683,8.46255,OK
frac,seqlock,48,-1,48,0.02,28.1712,0.575343,OK
frac,txn-global,48,-1,48,0.02,24.3449,0.497575,OK
frac,txn-pernode,48,-1,48,0.02,533.959,10.8992,OK
frac,txn-mark,48,-1,48,0.02,630.37,12.8689,OK
frac,bucketlock,48,-1,48,0.02,651.892,13.308,OK
frac,seqlock,48,-1,48,0.05,12.0936,0.635475,OK
frac,txn-global,48,-1,48,0.05,13.6915,0.719663,OK
frac,txn-pernode,48,-1,48,0.05,338.603,17.8171,OK
frac,txn-mark,48,-1,48,0.05,346.374,18.2257,OK
frac,bucketlock,48,-1,48,0.05,389.536,20.4973,OK
frac,seqlock,48,-1,48,0.1,6.48855,0.720108,OK
frac,txn-global,48,-1,48,0.1,6.74344,0.748399,OK
frac,txn-pernode,48,-1,48,0.1,189.635,21.0683,OK
frac,txn-mark,48,-1,48,0.1,192.678,21.407,OK
frac,bucketlock,48,-1,48,0.1,227.034,25.2246,OK
frac,seqlock,48,-1,48,0.2,3.21377,0.804112,OK
frac,txn-global,48,-1,48,0.2,3.24862,0.812564,OK
frac,txn-pernode,48,-1,48,0.2,94.921,23.7382,OK
frac,txn-mark,48,-1,48,0.2,97.2668,24.3244,OK
frac,bucketlock,48,-1,48,0.2,115.812,28.965,OK
frac,seqlock,48,-1,48,0.35,1.68002,0.904273,OK
frac,txn-global,48,-1,48,0.35,1.06382,0.573394,OK
frac,txn-pernode,48,-1,48,0.35,40.8959,22.0259,OK
frac,txn-mark,48,-1,48,0.35,41.6597,22.4363,OK
frac,bucketlock,48,-1,48,0.35,49.8523,26.8483,OK
frac,seqlock,48,-1,48,0.5,0.965345,0.966886,OK
frac,txn-global,48,-1,48,0.5,0.867212,0.869003,OK
