panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
frac,seqlock,48,-1,48,0,1458.74,0,OK
frac,txn-global,48,-1,48,0,1634.67,0,OK
frac,txn-pernode,48,-1,48,0,1473.16,0,OK
frac,txn-mark,48,-1,48,0,1488.38,0,OK
frac,bucketlock,48,-1,48,0,1351,0,OK
frac,seqlock,48,-1,48,0.005,98.5915,0.495297,OK
frac,txn-global,48,-1,48,0.005,129.573,0.651129,OK
frac,txn-pernode,48,-1,48,0.005,1048.5,5.26936,OK
frac,txn-mark,48,-1,48,0.005,1068.62,5.37037,OK
frac,bucketlock,48,-1,48,0.005,985.469,4.95305,OK
frac,seqlock,48,-1,48,0.01,35.5769,0.359661,OK
frac,txn-global,48,-1,48,0.01,48.6076,0.491222,OK
frac,txn-pernode,48,-1,48,0.01,748.503,7.56326,OK
frac,txn-mark,48,-1,48,0.01,769.941,7.77937,OK
frac,bucketlock,48,-1,48,0.01,845.758,8.54401,OK
frac,seqlock,48,-1,48,0.02,28.089,0.573909,OK
frac,txn-global,48,-1,48,0.02,24.1995,0.494626,OK
frac,txn-pernode,48,-1,48,0.02,638.349,13.0317,OK
frac,txn-mark,48,-1,48,0.02,552.11,11.27,OK
frac,bucketlock,48,-1,48,0.02,587.253,11.9886,OK
frac,seqlock,48,-1,48,0.05,7.81737,0.410321,OK
frac,txn-global,48,-1,48,0.05,14.1508,0.743311,OK
frac,txn-pernode,48,-1,48,0.05,347.927,18.307,OK
frac,txn-mark,48,-1,48,0.05,355.215,18.6907,OK
frac,bucketlock,48,-1,48,0.05,392.852,20.6721,OK
frac,seqlock,48,-1,48,0.1,4.18115,0.463598,OK
frac,txn-global,48,-1,48,0.1,4.68585,0.519814,OK
frac,txn-pernode,48,-1,48,0.1,162.655,18.0699,OK
frac,txn-mark,48,-1,48,0.1,163.356,18.148,OK
frac,bucketlock,48,-1,48,0.1,223.593,24.8418,OK
frac,seqlock,48,-1,48,0.2,3.19446,0.799324,OK
frac,txn-global,48,-1,48,0.2,3.2206,0.806249,OK
frac,txn-pernode,48,-1,48,0.2,96.3646,24.098,OK
frac,txn-mark,48,-1,48,0.2,98.9616,24.7484,OK
frac,bucketlock,48,-1,48,0.2,113.345,28.3472,OK
frac,seqlock,48,-1,48,0.35,1.65485,0.890922,OK
frac,txn-global,48,-1,48,0.35,1.58443,0.853554,OK
frac,txn-pernode,48,-1,48,0.35,47.4174,25.5371,OK
frac,txn-mark,48,-1,48,0.35,48.1321,25.9224,OK
frac,bucketlock,48,-1,48,0.35,56.678,30.5243,OK
frac,seqlock,48,-1,48,0.5,0.641025,0.643039,OK
frac,txn-global,48,-1,48,0.5,0.621375,0.623305,OK
frac,txn-pernode,48,-1,48,0.5,24.2147,24.2108,OK
frac,txn-mark,48,-1,48,0.5,24.4472,24.4429,OK
frac,bucketlock,48,-1,48,0.5,31.9552,31.9512,OK
split_w,seqlock,33,1,32,1.0,119.776,1.87458,OK
split_w,txn-global,33,1,32,1.0,919.42,0.588078,OK
split_w,txn-pernode,33,1,32,1.0,1017.05,0.505754,OK
split_w,txn-mark,33,1,32,1.0,1017.76,0.606315,OK
split_w,bucketlock,33,1,32,1.0,928.74,0.908079,OK
split_w,seqlock,34,2,32,1.0,243.49,0.91323,OK
split_w,txn-global,34,2,32,1.0,673.293,0.852526,OK
