panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
frac,seqlock,48,-1,48,0,1456.32,0,OK
frac,txn-global,48,-1,48,0,1607.26,0,OK
frac,txn-pernode,48,-1,48,0,1435.79,0,OK
frac,txn-mark,48,-1,48,0,1486.73,0,OK
frac,bucketlock,48,-1,48,0,1337.86,0,OK
frac,seqlock,48,-1,48,0.005,99.5566,0.500301,OK
frac,txn-global,48,-1,48,0.005,139.935,0.702275,OK
frac,txn-pernode,48,-1,48,0.005,1044.04,5.24671,OK
frac,txn-mark,48,-1,48,0.005,1073.29,5.3938,OK
frac,bucketlock,48,-1,48,0.005,991.326,4.98242,OK
frac,seqlock,48,-1,48,0.01,35.4827,0.358648,OK
frac,txn-global,48,-1,48,0.01,69.8958,0.706123,OK
frac,txn-pernode,48,-1,48,0.01,838.026,8.46577,OK
frac,txn-mark,48,-1,48,0.01,874.308,8.83172,OK
frac,bucketlock,48,-1,48,0.01,865.671,8.7449,OK
frac,seqlock,48,-1,48,0.02,28.1113,0.574243,OK
frac,txn-global,48,-1,48,0.02,34.9656,0.714254,OK
frac,txn-pernode,48,-1,48,0.02,602.249,12.2948,OK
frac,txn-mark,48,-1,48,0.02,619.045,12.638,OK
frac,bucketlock,48,-1,48,0.02,677.651,13.8343,OK
frac,seqlock,48,-1,48,0.05,12.0272,0.631751,OK
frac,txn-global,48,-1,48,0.05,13.9118,0.731272,OK
frac,txn-pernode,48,-1,48,0.05,271.081,14.2634,OK
frac,txn-mark,48,-1,48,0.05,274.875,14.4634,OK
frac,bucketlock,48,-1,48,0.05,320.103,16.8444,OK
frac,seqlock,48,-1,48,0.1,6.27283,0.695871,OK
frac,txn-global,48,-1,48,0.1,6.96536,0.773469,OK
frac,txn-pernode,48,-1,48,0.1,170.933,18.9893,OK
frac,txn-mark,48,-1,48,0.1,171.447,19.0463,OK
frac,bucketlock,48,-1,48,0.1,226.126,25.1233,OK
frac,seqlock,48,-1,48,0.2,3.1342,0.784228,OK
frac,txn-global,48,-1,48,0.2,3.24709,0.812281,OK
frac,txn-pernode,48,-1,48,0.2,79.6607,19.9245,OK
frac,txn-mark,48,-1,48,0.2,82.3886,20.606,OK
frac,bucketlock,48,-1,48,0.2,113.325,28.3418,OK
frac,seqlock,48,-1,48,0.35,1.09006,0.587545,OK
