panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
rn_scale,dlm-chainlock,1,-1,1,0.5,2.70664,2.70509,OK
rn_scale,dlm-swmw,1,-1,1,0.5,1.5302,1.52652,OK
rn_scale,dlm-swmw-pad,1,-1,1,0.5,1.55983,1.55603,OK
rn_scale,dlm-foldlock,1,-1,1,0.5,2.41504,2.41215,OK
rn_scale,dlm-chainlock,2,-1,2,0.5,2.62567,2.62346,OK
rn_scale,dlm-swmw,2,-1,2,0.5,2.13437,2.13008,OK
rn_scale,dlm-swmw-pad,2,-1,2,0.5,2.19509,2.1905,OK
rn_scale,dlm-foldlock,2,-1,2,0.5,3.94521,3.93953,OK
rn_scale,dlm-chainlock,4,-1,4,0.5,3.20468,3.20231,OK
rn_scale,dlm-swmw,4,-1,4,0.5,3.11828,3.11601,OK
rn_scale,dlm-swmw-pad,4,-1,4,0.5,3.12212,3.1197,OK
rn_scale,dlm-foldlock,4,-1,4,0.5,6.12679,6.12408,OK
rn_scale,dlm-chainlock,8,-1,8,0.5,4.23208,4.23137,OK
rn_scale,dlm-swmw,8,-1,8,0.5,5.07462,5.07345,OK
rn_scale,dlm-swmw-pad,8,-1,8,0.5,5.18675,5.18506,OK
rn_scale,dlm-foldlock,8,-1,8,0.5,9.68396,9.67754,OK
rn_scale,dlm-chainlock,16,-1,16,0.5,3.30096,3.30128,OK
rn_scale,dlm-swmw,16,-1,16,0.5,7.67315,7.67511,OK
rn_scale,dlm-swmw-pad,16,-1,16,0.5,7.51177,7.51372,OK
rn_scale,dlm-foldlock,16,-1,16,0.5,12.389,12.3943,OK
rn_scale,dlm-chainlock,32,-1,32,0.5,4.7248,4.72528,OK
rn_scale,dlm-swmw,32,-1,32,0.5,12.3308,12.3323,OK
rn_scale,dlm-swmw-pad,32,-1,32,0.5,13.148,13.1499,OK
rn_scale,dlm-foldlock,32,-1,32,0.5,22.1489,22.151,OK
rn_scale,dlm-chainlock,48,-1,48,0.5,4.93123,4.93019,OK
rn_scale,dlm-swmw,48,-1,48,0.5,17.1034,17.1032,OK
rn_scale,dlm-swmw-pad,48,-1,48,0.5,18.2924,18.2898,OK
rn_scale,dlm-foldlock,48,-1,48,0.5,28.1878,28.1824,OK
rn_scale,dlm-chainlock,64,-1,64,0.5,6.82884,6.82305,OK
rn_scale,dlm-swmw,64,-1,64,0.5,22.8052,22.7969,OK
rn_scale,dlm-swmw-pad,64,-1,64,0.5,22.7628,22.7549,OK
rn_scale,dlm-foldlock,64,-1,64,0.5,39.3911,39.382,OK
rn_scale,dlm-chainlock,96,-1,96,0.5,9.21895,9.2192,OK
rn_scale,dlm-swmw,96,-1,96,0.5,31.5935,31.5949,OK
rn_scale,dlm-swmw-pad,96,-1,96,0.5,34.0782,34.0793,OK
rn_scale,dlm-foldlock,96,-1,96,0.5,47.9706,47.9687,OK
rn_scale,dlm-chainlock,128,-1,128,0.5,10.1791,10.1798,OK
rn_scale,dlm-swmw,128,-1,128,0.5,36.2513,36.2504,OK
rn_scale,dlm-swmw-pad,128,-1,128,0.5,36.8442,36.8416,OK
rn_scale,dlm-foldlock,128,-1,128,0.5,55.0181,55.0155,OK
rn_scale,dlm-chainlock,192,-1,192,0.5,18.39,18.3918,OK
rn_scale,dlm-swmw,192,-1,192,0.5,51.0357,51.0275,OK
rn_scale,dlm-swmw-pad,192,-1,192,0.5,51.9468,51.9391,OK
rn_scale,dlm-foldlock,192,-1,192,0.5,68.0953,68.1004,OK
frac,dlm-chainlock,48,-1,48,0,1276.81,0,OK
frac,dlm-swmw,48,-1,48,0,1277.16,0,OK
frac,dlm-swmw-pad,48,-1,48,0,1278.98,0,OK
frac,dlm-foldlock,48,-1,48,0,1276.43,0,OK
frac,dlm-chainlock,48,-1,48,0.01,407.891,4.12024,OK
frac,dlm-swmw,48,-1,48,0.01,785.685,7.93721,OK
frac,dlm-swmw-pad,48,-1,48,0.01,775.732,7.83661,OK
frac,dlm-foldlock,48,-1,48,0.01,733.774,7.41374,OK
frac,dlm-chainlock,48,-1,48,0.05,132.236,6.95656,OK
frac,dlm-swmw,48,-1,48,0.05,274.315,14.4333,OK
frac,dlm-swmw-pad,48,-1,48,0.05,249.449,13.1243,OK
frac,dlm-foldlock,48,-1,48,0.05,368.958,19.4132,OK
frac,dlm-chainlock,48,-1,48,0.1,44.5845,4.95386,OK
frac,dlm-swmw,48,-1,48,0.1,143.684,15.9618,OK
frac,dlm-swmw-pad,48,-1,48,0.1,145.808,16.1984,OK
frac,dlm-foldlock,48,-1,48,0.1,216.153,24.0155,OK
frac,dlm-chainlock,48,-1,48,0.2,18.6733,4.66925,OK
frac,dlm-swmw,48,-1,48,0.2,70.2961,17.5794,OK
frac,dlm-swmw-pad,48,-1,48,0.2,70.8815,17.7271,OK
frac,dlm-foldlock,48,-1,48,0.2,110.552,27.6483,OK
frac,dlm-chainlock,48,-1,48,0.35,8.04959,4.33601,OK
frac,dlm-swmw,48,-1,48,0.35,31.0164,16.7021,OK
frac,dlm-swmw-pad,48,-1,48,0.35,31.8996,17.1788,OK
frac,dlm-foldlock,48,-1,48,0.35,48.2546,25.9889,OK
frac,dlm-chainlock,48,-1,48,0.5,4.96246,4.96083,OK
frac,dlm-swmw,48,-1,48,0.5,18.1541,18.1529,OK
frac,dlm-swmw-pad,48,-1,48,0.5,18.7184,18.716,OK
frac,dlm-foldlock,48,-1,48,0.5,32.1611,32.1567,OK
rd_w,dlm-chainlock,33,1,32,1.0,935.766,1.06393,OK
rd_w,dlm-swmw,33,1,32,1.0,934.419,1.03894,OK
rd_w,dlm-swmw-pad,33,1,32,1.0,935.133,1.05027,OK
rd_w,dlm-foldlock,33,1,32,1.0,944.102,1.17209,OK
rd_w,dlm-chainlock,34,2,32,1.0,914.486,1.38697,OK
rd_w,dlm-swmw,34,2,32,1.0,914.228,1.93603,OK
rd_w,dlm-swmw-pad,34,2,32,1.0,912.771,1.90746,OK
rd_w,dlm-foldlock,34,2,32,1.0,910.591,2.36771,OK
rd_w,dlm-chainlock,36,4,32,1.0,897.652,2.26573,OK
rd_w,dlm-swmw,36,4,32,1.0,890.155,2.87245,OK
rd_w,dlm-swmw-pad,36,4,32,1.0,890.519,2.85625,OK
rd_w,dlm-foldlock,36,4,32,1.0,872.612,4.58233,OK
rd_w,dlm-chainlock,40,8,32,1.0,892.412,1.86773,OK
rd_w,dlm-swmw,40,8,32,1.0,874.86,4.75378,OK
rd_w,dlm-swmw-pad,40,8,32,1.0,864.907,4.62327,OK
rd_w,dlm-foldlock,40,8,32,1.0,846.778,8.2967,OK
rd_w,dlm-chainlock,48,16,32,1.0,880.66,2.20798,OK
rd_w,dlm-swmw,48,16,32,1.0,848.879,7.67929,OK
rd_w,dlm-swmw-pad,48,16,32,1.0,847.467,7.38184,OK
rd_w,dlm-foldlock,48,16,32,1.0,811.768,13.016,OK
rd_w,dlm-chainlock,56,24,32,1.0,841.429,2.6665,OK
rd_w,dlm-swmw,56,24,32,1.0,759.972,9.42838,OK
