panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
rn_scale,bucketlock-chainlock,1,-1,1,0.5,2.80875,2.80693,OK
rn_scale,bucketlock-swmw,1,-1,1,0.5,2.18051,2.17595,OK
rn_scale,bucketlock-swmw-pad,1,-1,1,0.5,2.17708,2.17241,OK
rn_scale,bucketlock-foldlock,1,-1,1,0.5,2.50614,2.50364,OK
rn_scale,bucketlock-chainlock,2,-1,2,0.5,3.08116,3.07695,OK
rn_scale,bucketlock-swmw,2,-1,2,0.5,3.58335,3.57834,OK
rn_scale,bucketlock-swmw-pad,2,-1,2,0.5,3.69218,3.68781,OK
rn_scale,bucketlock-foldlock,2,-1,2,0.5,4.06733,4.06151,OK
rn_scale,bucketlock-chainlock,4,-1,4,0.5,3.87814,3.87391,OK
rn_scale,bucketlock-swmw,4,-1,4,0.5,5.22191,5.22099,OK
rn_scale,bucketlock-swmw-pad,4,-1,4,0.5,5.28319,5.28177,OK
rn_scale,bucketlock-foldlock,4,-1,4,0.5,6.76344,6.76077,OK
rn_scale,bucketlock-chainlock,8,-1,8,0.5,3.32027,3.31968,OK
rn_scale,bucketlock-swmw,8,-1,8,0.5,8.40264,8.3956,OK
rn_scale,bucketlock-swmw-pad,8,-1,8,0.5,8.33786,8.33088,OK
rn_scale,bucketlock-foldlock,8,-1,8,0.5,10.5563,10.5515,OK
rn_scale,bucketlock-chainlock,16,-1,16,0.5,5.70266,5.70509,OK
rn_scale,bucketlock-swmw,16,-1,16,0.5,11.6029,11.6077,OK
rn_scale,bucketlock-swmw-pad,16,-1,16,0.5,11.9122,11.9166,OK
rn_scale,bucketlock-foldlock,16,-1,16,0.5,14.3551,14.3569,OK
rn_scale,bucketlock-chainlock,32,-1,32,0.5,5.21579,5.21704,OK
rn_scale,bucketlock-swmw,32,-1,32,0.5,19.5411,19.5447,OK
rn_scale,bucketlock-swmw-pad,32,-1,32,0.5,19.5476,19.5514,OK
rn_scale,bucketlock-foldlock,32,-1,32,0.5,24.7118,24.7124,OK
rn_scale,bucketlock-chainlock,48,-1,48,0.5,6.27881,6.27559,OK
rn_scale,bucketlock-swmw,48,-1,48,0.5,27.6626,27.659,OK
rn_scale,bucketlock-swmw-pad,48,-1,48,0.5,28.389,28.384,OK
rn_scale,bucketlock-foldlock,48,-1,48,0.5,29.286,29.2823,OK
rn_scale,bucketlock-chainlock,64,-1,64,0.5,7.12533,7.12111,OK
rn_scale,bucketlock-swmw,64,-1,64,0.5,34.3055,34.2965,OK
rn_scale,bucketlock-swmw-pad,64,-1,64,0.5,36.4759,36.4663,OK
rn_scale,bucketlock-foldlock,64,-1,64,0.5,41.6652,41.6522,OK
rn_scale,bucketlock-chainlock,96,-1,96,0.5,9.79104,9.79397,OK
rn_scale,bucketlock-swmw,96,-1,96,0.5,41.1947,41.1935,OK
rn_scale,bucketlock-swmw-pad,96,-1,96,0.5,46.9296,46.9266,OK
rn_scale,bucketlock-foldlock,96,-1,96,0.5,56.4577,56.4569,OK
rn_scale,bucketlock-chainlock,128,-1,128,0.5,11.9748,11.9769,OK
rn_scale,bucketlock-swmw,128,-1,128,0.5,50.3818,50.3857,OK
rn_scale,bucketlock-swmw-pad,128,-1,128,0.5,52.4982,52.4988,OK
rn_scale,bucketlock-foldlock,128,-1,128,0.5,57.8467,57.8463,OK
rn_scale,bucketlock-chainlock,192,-1,192,0.5,15.4955,15.4957,OK
rn_scale,bucketlock-swmw,192,-1,192,0.5,67.0519,67.0554,OK
rn_scale,bucketlock-swmw-pad,192,-1,192,0.5,67.3076,67.3113,OK
rn_scale,bucketlock-foldlock,192,-1,192,0.5,72.3765,72.3842,OK
frac,bucketlock-chainlock,48,-1,48,0,1351.73,0,OK
frac,bucketlock-swmw,48,-1,48,0,1332.47,0,OK
frac,bucketlock-swmw-pad,48,-1,48,0,1349.13,0,OK
frac,bucketlock-foldlock,48,-1,48,0,1353.63,0,OK
frac,bucketlock-chainlock,48,-1,48,0.01,470.693,4.75482,OK
frac,bucketlock-swmw,48,-1,48,0.01,820.054,8.28434,OK
frac,bucketlock-swmw-pad,48,-1,48,0.01,856.413,8.65101,OK
frac,bucketlock-foldlock,48,-1,48,0.01,830.515,8.39019,OK
frac,bucketlock-chainlock,48,-1,48,0.05,136.224,7.1665,OK
frac,bucketlock-swmw,48,-1,48,0.05,350.181,18.4263,OK
frac,bucketlock-swmw-pad,48,-1,48,0.05,366.359,19.2787,OK
frac,bucketlock-foldlock,48,-1,48,0.05,380.846,20.0399,OK
frac,bucketlock-chainlock,48,-1,48,0.1,48.4694,5.38701,OK
frac,bucketlock-swmw,48,-1,48,0.1,162.002,17.9977,OK
frac,bucketlock-swmw-pad,48,-1,48,0.1,165.861,18.4264,OK
frac,bucketlock-foldlock,48,-1,48,0.1,224.568,24.9503,OK
frac,bucketlock-chainlock,48,-1,48,0.2,24.4322,6.11064,OK
frac,bucketlock-swmw,48,-1,48,0.2,93.9982,23.5071,OK
frac,bucketlock-swmw-pad,48,-1,48,0.2,85.7172,21.437,OK
frac,bucketlock-foldlock,48,-1,48,0.2,97.7945,24.4562,OK
frac,bucketlock-chainlock,48,-1,48,0.35,11.5372,6.21613,OK
frac,bucketlock-swmw,48,-1,48,0.35,47.3205,25.4845,OK
frac,bucketlock-swmw-pad,48,-1,48,0.35,46.7566,25.1807,OK
frac,bucketlock-foldlock,48,-1,48,0.35,61.7558,33.2602,OK
frac,bucketlock-chainlock,48,-1,48,0.5,5.21807,5.21766,OK
frac,bucketlock-swmw,48,-1,48,0.5,27.2354,27.2324,OK
frac,bucketlock-swmw-pad,48,-1,48,0.5,28.1095,28.1057,OK
frac,bucketlock-foldlock,48,-1,48,0.5,33.6108,33.6065,OK
