panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
rn_scale,bucketlock-chainlock,1,-1,1,0.5,2.74909,2.74751,OK
rn_scale,bucketlock-swmw,1,-1,1,0.5,2.20321,2.19861,OK
rn_scale,bucketlock-swmw-pad,1,-1,1,0.5,2.20915,2.2046,OK
rn_scale,bucketlock-foldlock,1,-1,1,0.5,2.52432,2.52161,OK
rn_scale,bucketlock-chainlock,2,-1,2,0.5,3.46528,3.46076,OK
rn_scale,bucketlock-swmw,2,-1,2,0.5,3.62094,3.61645,OK
rn_scale,bucketlock-swmw-pad,2,-1,2,0.5,3.67976,3.67474,OK
rn_scale,bucketlock-foldlock,2,-1,2,0.5,4.08528,4.07928,OK
rn_scale,bucketlock-chainlock,4,-1,4,0.5,3.92776,3.924,OK
rn_scale,bucketlock-swmw,4,-1,4,0.5,5.34458,5.3435,OK
rn_scale,bucketlock-swmw-pad,4,-1,4,0.5,5.4943,5.49314,OK
rn_scale,bucketlock-foldlock,4,-1,4,0.5,6.77211,6.76997,OK
rn_scale,bucketlock-chainlock,8,-1,8,0.5,4.11947,4.11737,OK
rn_scale,bucketlock-swmw,8,-1,8,0.5,8.45885,8.45176,OK
rn_scale,bucketlock-swmw-pad,8,-1,8,0.5,8.38111,8.37416,OK
rn_scale,bucketlock-foldlock,8,-1,8,0.5,11.1502,11.1454,OK
rn_scale,bucketlock-chainlock,16,-1,16,0.5,3.71757,3.71759,OK
rn_scale,bucketlock-swmw,16,-1,16,0.5,11.576,11.5809,OK
rn_scale,bucketlock-swmw-pad,16,-1,16,0.5,12.8158,12.8218,OK
rn_scale,bucketlock-foldlock,16,-1,16,0.5,14.3371,14.3389,OK
rn_scale,bucketlock-chainlock,32,-1,32,0.5,3.83546,3.83515,OK
rn_scale,bucketlock-swmw,32,-1,32,0.5,20.0337,20.0379,OK
rn_scale,bucketlock-swmw-pad,32,-1,32,0.5,20.4321,20.4344,OK
rn_scale,bucketlock-foldlock,32,-1,32,0.5,24.9426,24.9426,OK
rn_scale,bucketlock-chainlock,48,-1,48,0.5,4.15045,4.14777,OK
rn_scale,bucketlock-swmw,48,-1,48,0.5,22.5792,22.5745,OK
rn_scale,bucketlock-swmw-pad,48,-1,48,0.5,21.0643,21.0615,OK
rn_scale,bucketlock-foldlock,48,-1,48,0.5,30.6452,30.6409,OK
rn_scale,bucketlock-chainlock,64,-1,64,0.5,4.68436,4.68125,OK
rn_scale,bucketlock-swmw,64,-1,64,0.5,23.6227,23.615,OK
rn_scale,bucketlock-swmw-pad,64,-1,64,0.5,23.8856,23.8772,OK
rn_scale,bucketlock-foldlock,64,-1,64,0.5,31.0499,31.0412,OK
rn_scale,bucketlock-chainlock,96,-1,96,0.5,5.30154,5.3031,OK
rn_scale,bucketlock-swmw,96,-1,96,0.5,16.3218,16.3211,OK
rn_scale,bucketlock-swmw-pad,96,-1,96,0.5,16.094,16.0929,OK
rn_scale,bucketlock-foldlock,96,-1,96,0.5,26.4484,26.4445,OK
rn_scale,bucketlock-chainlock,128,-1,128,0.5,6.37597,6.37839,OK
rn_scale,bucketlock-swmw,128,-1,128,0.5,19.5979,19.5979,OK
rn_scale,bucketlock-swmw-pad,128,-1,128,0.5,18.547,18.5459,OK
rn_scale,bucketlock-foldlock,128,-1,128,0.5,22.758,22.7568,OK
rn_scale,bucketlock-chainlock,192,-1,192,0.5,5.77984,5.77718,OK
rn_scale,bucketlock-swmw,192,-1,192,0.5,8.26668,8.26748,OK
rn_scale,bucketlock-swmw-pad,192,-1,192,0.5,8.30444,8.30525,OK
rn_scale,bucketlock-foldlock,192,-1,192,0.5,8.90154,8.90159,OK
frac,bucketlock-chainlock,48,-1,48,0,1347.2,0,OK
frac,bucketlock-swmw,48,-1,48,0,1349.1,0,OK
frac,bucketlock-swmw-pad,48,-1,48,0,1346.55,0,OK
frac,bucketlock-foldlock,48,-1,48,0,1352.27,0,OK
frac,bucketlock-chainlock,48,-1,48,0.01,480.232,4.85109,OK
frac,bucketlock-swmw,48,-1,48,0.01,836.737,8.4525,OK
frac,bucketlock-swmw-pad,48,-1,48,0.01,834.557,8.43064,OK
frac,bucketlock-foldlock,48,-1,48,0.01,847.874,8.56515,OK
frac,bucketlock-chainlock,48,-1,48,0.05,91.7721,4.8274,OK
frac,bucketlock-swmw,48,-1,48,0.05,359.239,18.9028,OK
frac,bucketlock-swmw-pad,48,-1,48,0.05,362.374,19.0683,OK
frac,bucketlock-foldlock,48,-1,48,0.05,392.65,20.6616,OK
frac,bucketlock-chainlock,48,-1,48,0.1,44.6494,4.96168,OK
frac,bucketlock-swmw,48,-1,48,0.1,183.737,20.412,OK
frac,bucketlock-swmw-pad,48,-1,48,0.1,195.366,21.7047,OK
frac,bucketlock-foldlock,48,-1,48,0.1,228.478,25.3848,OK
frac,bucketlock-chainlock,48,-1,48,0.2,17.1726,4.29515,OK
frac,bucketlock-swmw,48,-1,48,0.2,84.2138,21.0621,OK
frac,bucketlock-swmw-pad,48,-1,48,0.2,81.689,20.4315,OK
frac,bucketlock-foldlock,48,-1,48,0.2,114.094,28.5339,OK
frac,bucketlock-chainlock,48,-1,48,0.35,8.4775,4.56711,OK
frac,bucketlock-swmw,48,-1,48,0.35,38.3302,20.6423,OK
frac,bucketlock-swmw-pad,48,-1,48,0.35,38.5736,20.7734,OK
frac,bucketlock-foldlock,48,-1,48,0.35,51.5113,27.7427,OK
frac,bucketlock-chainlock,48,-1,48,0.5,4.57271,4.57015,OK
frac,bucketlock-swmw,48,-1,48,0.5,21.3342,21.3321,OK
frac,bucketlock-swmw-pad,48,-1,48,0.5,21.419,21.4176,OK
frac,bucketlock-foldlock,48,-1,48,0.5,28.2426,28.2366,OK
rd_w,bucketlock-chainlock,33,1,32,1.0,935.66,0.797969,OK
rd_w,bucketlock-swmw,33,1,32,1.0,939.436,1.09336,OK
rd_w,bucketlock-swmw-pad,33,1,32,1.0,946.753,1.10452,OK
rd_w,bucketlock-foldlock,33,1,32,1.0,942.108,1.20595,OK
rd_w,bucketlock-chainlock,34,2,32,1.0,952.677,1.51375,OK
rd_w,bucketlock-swmw,34,2,32,1.0,939.671,2.18705,OK
rd_w,bucketlock-swmw-pad,34,2,32,1.0,920.367,1.71224,OK
rd_w,bucketlock-foldlock,34,2,32,1.0,913.267,1.81173,OK
rd_w,bucketlock-chainlock,36,4,32,1.0,930.826,2.03715,OK
rd_w,bucketlock-swmw,36,4,32,1.0,909.917,4.24665,OK
rd_w,bucketlock-swmw-pad,36,4,32,1.0,911.836,4.21056,OK
rd_w,bucketlock-foldlock,36,4,32,1.0,904.069,4.80062,OK
rd_w,bucketlock-chainlock,40,8,32,1.0,931.674,2.7817,OK
rd_w,bucketlock-swmw,40,8,32,1.0,847.002,6.43208,OK
rd_w,bucketlock-swmw-pad,40,8,32,1.0,851.161,6.46402,OK
rd_w,bucketlock-foldlock,40,8,32,1.0,829.418,7.66193,OK
rd_w,bucketlock-chainlock,48,16,32,1.0,897.981,2.3162,OK
rd_w,bucketlock-swmw,48,16,32,1.0,856.912,11.5665,OK
rd_w,bucketlock-swmw-pad,48,16,32,1.0,852.091,11.8669,OK
rd_w,bucketlock-foldlock,48,16,32,1.0,838.186,14.3909,OK
rd_w,bucketlock-chainlock,56,24,32,1.0,898.958,3.29553,OK
rd_w,bucketlock-swmw,56,24,32,1.0,809.477,15.4415,OK
rd_w,bucketlock-swmw-pad,56,24,32,1.0,803.033,15.8486,OK
rd_w,bucketlock-foldlock,56,24,32,1.0,787.101,19.0884,OK
rd_w,bucketlock-chainlock,64,32,32,1.0,909.029,4.59726,OK
rd_w,bucketlock-swmw,64,32,32,1.0,825.115,19.6014,OK
rd_w,bucketlock-swmw-pad,64,32,32,1.0,820.062,20.0153,OK
rd_w,bucketlock-foldlock,64,32,32,1.0,800.315,24.8808,OK
rd_w,bucketlock-chainlock,80,48,32,1.0,877.351,4.39649,OK
rd_w,bucketlock-swmw,80,48,32,1.0,800.659,18.9305,OK
rd_w,bucketlock-swmw-pad,80,48,32,1.0,801.48,20.607,OK
rd_w,bucketlock-foldlock,80,48,32,1.0,701.449,29.9641,OK
