panel,engine,threads,writers,readers,rename_frac,mlookups_s,mrenames_s,conserved
rn_scale,bucketlock-chainlock,1,-1,1,0.5,2.76805,2.76619,OK
rn_scale,bucketlock-swmw,1,-1,1,0.5,1.75371,1.75005,OK
rn_scale,bucketlock-swmw-pad,1,-1,1,0.5,1.75454,1.75086,OK
rn_scale,bucketlock-foldlock,1,-1,1,0.5,2.52902,2.5265,OK
rn_scale,bucketlock-chainlock,2,-1,2,0.5,2.71481,2.7128,OK
rn_scale,bucketlock-swmw,2,-1,2,0.5,2.53483,2.5324,OK
rn_scale,bucketlock-swmw-pad,2,-1,2,0.5,2.48217,2.47912,OK
rn_scale,bucketlock-foldlock,2,-1,2,0.5,4.112,4.10615,OK
rn_scale,bucketlock-chainlock,4,-1,4,0.5,3.54611,3.54188,OK
rn_scale,bucketlock-swmw,4,-1,4,0.5,3.51314,3.51017,OK
rn_scale,bucketlock-swmw-pad,4,-1,4,0.5,3.52404,3.5205,OK
rn_scale,bucketlock-foldlock,4,-1,4,0.5,6.41342,6.41059,OK
rn_scale,bucketlock-chainlock,8,-1,8,0.5,2.33056,2.32976,OK
rn_scale,bucketlock-swmw,8,-1,8,0.5,5.81142,5.80962,OK
rn_scale,bucketlock-swmw-pad,8,-1,8,0.5,5.85163,5.84966,OK
rn_scale,bucketlock-foldlock,8,-1,8,0.5,10.017,10.0116,OK
rn_scale,bucketlock-chainlock,16,-1,16,0.5,3.50062,3.50033,OK
rn_scale,bucketlock-swmw,16,-1,16,0.5,8.15012,8.15277,OK
rn_scale,bucketlock-swmw-pad,16,-1,16,0.5,8.56433,8.56717,OK
rn_scale,bucketlock-foldlock,16,-1,16,0.5,14.2404,14.2431,OK
rn_scale,bucketlock-chainlock,32,-1,32,0.5,5.36689,5.36848,OK
rn_scale,bucketlock-swmw,32,-1,32,0.5,14.3732,14.3744,OK
rn_scale,bucketlock-swmw-pad,32,-1,32,0.5,14.7902,14.792,OK
rn_scale,bucketlock-foldlock,32,-1,32,0.5,23.1793,23.1805,OK
rn_scale,bucketlock-chainlock,48,-1,48,0.5,5.48205,5.47809,OK
rn_scale,bucketlock-swmw,48,-1,48,0.5,20.4989,20.4949,OK
rn_scale,bucketlock-swmw-pad,48,-1,48,0.5,20.602,20.598,OK
rn_scale,bucketlock-foldlock,48,-1,48,0.5,32.5535,32.5495,OK
rn_scale,bucketlock-chainlock,64,-1,64,0.5,6.71099,6.70694,OK
rn_scale,bucketlock-swmw,64,-1,64,0.5,25.5387,25.5286,OK
rn_scale,bucketlock-swmw-pad,64,-1,64,0.5,26.7405,26.7298,OK
rn_scale,bucketlock-foldlock,64,-1,64,0.5,40.8537,40.8411,OK
rn_scale,bucketlock-chainlock,96,-1,96,0.5,8.2251,8.22777,OK
rn_scale,bucketlock-swmw,96,-1,96,0.5,33.8458,33.8471,OK
rn_scale,bucketlock-swmw-pad,96,-1,96,0.5,35.2255,35.2276,OK
