engine,run,seconds,mvisits_per_s,instructions,branches,loads
rculist,1,2,805.0,18354399623,4980536570,3453129592
rculist,1,8,807.7,71769717061,19545799357,13174849583
txn_sw_list,1,2,752.5,20208772421,6171304369,3241666125
txn_sw_list,1,8,752.2,79057107039,24263618131,12339292371
existence_list,1,2,690.7,22662199500,7038343603,4345910190
existence_list,1,8,696.2,89824570901,28014804761,16966790890
rlu_list,1,2,600.3,39988467190,13292833394,9138825818
rlu_list,1,8,607.5,160826054661,53565003009,36618863552
mvrlu_list,1,2,262.9,27202634508,9555093665,6713705466
mvrlu_list,1,8,280.9,115213982909,40595690205,28315703717
rculist,2,2,806.8,18366477869,4984833115,3450742495
rculist,2,8,806.6,71746418018,19536362852,13183825141
txn_sw_list,2,2,751.3,20302153359,6189445291,3286704933
txn_sw_list,2,8,751.5,78932657656,24228610634,12308618664
existence_list,2,2,694.9,22889131693,7102183610,4404599953
existence_list,2,8,694.4,89569853731,27937026181,16912825436
rlu_list,2,2,601.8,40087499139,13325199437,9162638182
rlu_list,2,8,591.6,156638190864,52168913458,35667291537
mvrlu_list,2,2,279.1,28867900245,10142955062,7124694769
mvrlu_list,2,8,278.8,114451727487,40314027952,28133359481
