layout,engine,run,readers,read_mvisits,viol
perfbook,existence_list,1,1,322.0,0
perfbook,existence_list,1,2,648.9,0
perfbook,existence_list,1,4,1311.6,0
perfbook,existence_list,1,8,2654.5,0
perfbook,existence_list,1,16,5126.4,0
perfbook,existence_list,1,32,10372.9,0
perfbook,existence_list,1,64,20881.5,0
perfbook,existence_list,1,96,25156.0,0
perfbook,existence_list,1,128,32981.6,0
perfbook,existence_list,1,160,41626.2,0
perfbook,existence_list,1,191,50131.8,0
perfbook,existence_list,1,192,50444.7,0
perfbook,existence_list,2,1,329.4,0
perfbook,existence_list,2,2,649.1,0
perfbook,existence_list,2,4,1292.4,0
perfbook,existence_list,2,8,2575.2,0
perfbook,existence_list,2,16,5097.4,0
perfbook,existence_list,2,32,10248.8,0
perfbook,existence_list,2,64,20468.5,0
perfbook,existence_list,2,96,24925.3,0
perfbook,existence_list,2,128,33357.8,0
perfbook,existence_list,2,160,41577.6,0
perfbook,existence_list,2,191,49603.4,0
perfbook,existence_list,2,192,49966.1,0
perfbook,txn_sw_list,1,1,784.0,0
perfbook,txn_sw_list,1,2,1569.5,0
perfbook,txn_sw_list,1,4,3145.7,0
perfbook,txn_sw_list,1,8,6290.3,0
perfbook,txn_sw_list,1,16,12585.3,0
perfbook,txn_sw_list,1,32,25155.9,0
perfbook,txn_sw_list,1,64,50130.1,0
perfbook,txn_sw_list,1,96,72867.4,0
perfbook,txn_sw_list,1,128,97814.4,0
perfbook,txn_sw_list,1,160,122639.6,0
perfbook,txn_sw_list,1,191,144573.4,0
perfbook,txn_sw_list,1,192,146608.3,0
perfbook,txn_sw_list,2,1,776.7,0
perfbook,txn_sw_list,2,2,1561.5,0
perfbook,txn_sw_list,2,4,3123.5,0
perfbook,txn_sw_list,2,8,6255.7,0
perfbook,txn_sw_list,2,16,12507.6,0
perfbook,txn_sw_list,2,32,25002.0,0
perfbook,txn_sw_list,2,64,49848.4,0
perfbook,txn_sw_list,2,96,72437.4,0
perfbook,txn_sw_list,2,128,97134.1,0
