mode,engine,run,x,total_mops,update_mops,read_mops,viol
buckets,txn_hlist,1,1,6.65,2.66,3.99,0
buckets,txn_hlist,2,1,6.68,2.67,4.01,0
buckets,rcu_hlist,1,1,0.95,0.38,0.57,0
buckets,rcu_hlist,2,1,0.96,0.38,0.57,0
buckets,lfht,1,1,12.72,5.09,7.63,0
buckets,lfht,2,1,12.71,5.09,7.63,0
buckets,rlu_defer,1,1,1.90,0.76,1.14,0
buckets,rlu_defer,2,1,1.89,0.76,1.13,0
buckets,rlu_sync,1,1,1.95,0.78,1.17,0
buckets,rlu_sync,2,1,1.94,0.78,1.16,0
buckets,txn_hlist,1,4,19.78,7.91,11.87,0
buckets,txn_hlist,2,4,19.73,7.89,11.84,0
buckets,rcu_hlist,1,4,1.12,0.45,0.67,0
buckets,rcu_hlist,2,4,1.10,0.44,0.66,0
buckets,lfht,1,4,28.64,11.46,17.18,0
buckets,lfht,2,4,28.87,11.55,17.32,0
buckets,rlu_defer,1,4,4.74,1.90,2.85,0
buckets,rlu_defer,2,4,4.74,1.90,2.84,0
buckets,rlu_sync,1,4,5.36,2.15,3.22,0
buckets,rlu_sync,2,4,5.35,2.14,3.21,0
buckets,txn_hlist,1,16,33.60,13.44,20.16,0
buckets,txn_hlist,2,16,33.57,13.43,20.14,0
buckets,rcu_hlist,1,16,5.97,2.39,3.58,0
buckets,rcu_hlist,2,16,5.95,2.38,3.57,0
buckets,lfht,1,16,46.04,18.42,27.62,0
buckets,lfht,2,16,46.34,18.54,27.80,0
buckets,rlu_defer,1,16,8.45,3.38,5.07,0
buckets,rlu_defer,2,16,8.35,3.34,5.01,0
buckets,rlu_sync,1,16,8.27,3.31,4.96,0
buckets,rlu_sync,2,16,7.90,3.16,4.74,0
buckets,txn_hlist,1,64,39.94,15.98,23.96,0
buckets,txn_hlist,2,64,39.93,15.97,23.96,0
buckets,rcu_hlist,1,64,19.30,7.72,11.58,0
buckets,rcu_hlist,2,64,19.29,7.72,11.58,0
buckets,lfht,1,64,51.54,20.62,30.92,0
buckets,lfht,2,64,50.36,20.14,30.21,0
buckets,rlu_defer,1,64,12.53,5.01,7.52,0
buckets,rlu_defer,2,64,12.74,5.10,7.64,0
buckets,rlu_sync,1,64,9.49,3.80,5.69,0
buckets,rlu_sync,2,64,9.47,3.79,5.68,0
buckets,txn_hlist,1,256,42.22,16.89,25.33,0
buckets,txn_hlist,2,256,42.28,16.91,25.36,0
buckets,rcu_hlist,1,256,38.90,15.56,23.34,0
buckets,rcu_hlist,2,256,38.92,15.57,23.35,0
buckets,lfht,1,256,52.88,21.15,31.73,0
buckets,lfht,2,256,51.64,20.66,30.98,0
buckets,rlu_defer,1,256,18.12,7.25,10.87,0
buckets,rlu_defer,2,256,18.32,7.33,10.99,0
buckets,rlu_sync,1,256,10.30,4.12,6.18,0
buckets,rlu_sync,2,256,10.11,4.05,6.06,0
buckets,txn_hlist,1,1024,43.96,17.59,26.38,0
buckets,txn_hlist,2,1024,43.76,17.50,26.25,0
buckets,rcu_hlist,1,1024,51.96,20.79,31.17,0
buckets,rcu_hlist,2,1024,51.77,20.71,31.06,0
buckets,lfht,1,1024,53.17,21.27,31.90,0
buckets,lfht,2,1024,52.37,20.95,31.42,0
buckets,rlu_defer,1,1024,24.41,9.76,14.64,0
buckets,rlu_defer,2,1024,24.45,9.78,14.67,0
buckets,rlu_sync,1,1024,10.34,4.14,6.20,0
buckets,rlu_sync,2,1024,10.46,4.19,6.27,0
threads16,txn_hlist,1,1,3.03,1.21,1.82,0
threads16,txn_hlist,1,2,4.71,1.88,2.82,0
threads16,txn_hlist,1,4,8.22,3.29,4.93,0
threads16,txn_hlist,1,8,13.88,5.55,8.33,0
threads16,txn_hlist,1,16,13.74,5.49,8.24,0
threads16,txn_hlist,1,32,18.10,7.24,10.86,0
threads16,txn_hlist,1,64,24.06,9.63,14.44,0
threads16,txn_hlist,1,96,28.23,11.30,16.94,0
threads16,txn_hlist,1,128,29.47,11.79,17.68,0
threads16,txn_hlist,1,160,31.77,12.71,19.06,0
threads16,txn_hlist,1,191,34.06,13.63,20.44,0
threads16,txn_hlist,1,192,34.17,13.67,20.50,0
threads16,txn_hlist,2,1,3.05,1.22,1.83,0
threads16,txn_hlist,2,2,4.71,1.88,2.82,0
threads16,txn_hlist,2,4,8.20,3.28,4.92,0
threads16,txn_hlist,2,8,13.96,5.58,8.38,0
threads16,txn_hlist,2,16,13.79,5.52,8.27,0
threads16,txn_hlist,2,32,18.20,7.28,10.92,0
threads16,txn_hlist,2,64,24.13,9.65,14.47,0
threads16,txn_hlist,2,96,28.53,11.41,17.12,0
threads16,txn_hlist,2,128,29.63,11.85,17.77,0
threads16,txn_hlist,2,160,31.88,12.75,19.12,0
threads16,txn_hlist,2,191,34.03,13.61,20.42,0
threads16,txn_hlist,2,192,34.10,13.64,20.46,0
threads16,rcu_hlist,1,1,3.85,1.54,2.31,0
threads16,rcu_hlist,1,2,5.55,2.22,3.33,0
threads16,rcu_hlist,1,4,8.33,3.33,5.00,0
threads16,rcu_hlist,1,8,11.62,4.65,6.97,0
threads16,rcu_hlist,1,16,10.40,4.16,6.24,0
threads16,rcu_hlist,1,32,10.67,4.27,6.40,0
threads16,rcu_hlist,1,64,10.17,4.07,6.10,0
threads16,rcu_hlist,1,96,9.18,3.67,5.50,0
threads16,rcu_hlist,1,128,7.63,3.05,4.58,0
threads16,rcu_hlist,1,160,6.67,2.67,4.00,0
threads16,rcu_hlist,1,191,6.03,2.41,3.62,0
threads16,rcu_hlist,1,192,6.03,2.41,3.62,0
threads16,rcu_hlist,2,1,3.80,1.52,2.28,0
threads16,rcu_hlist,2,2,5.45,2.18,3.27,0
threads16,rcu_hlist,2,4,8.10,3.24,4.86,0
threads16,rcu_hlist,2,8,11.38,4.55,6.83,0
threads16,rcu_hlist,2,16,10.13,4.05,6.08,0
threads16,rcu_hlist,2,32,10.88,4.35,6.53,0
threads16,rcu_hlist,2,64,10.24,4.10,6.14,0
threads16,rcu_hlist,2,96,9.19,3.68,5.51,0
threads16,rcu_hlist,2,128,7.54,3.02,4.52,0
