mode,engine,run,x,a,b,viol
write,txn_hlist,1,1,0.0,0.95,0
write,txn_hlist,1,2,0.0,1.84,0
write,txn_hlist,1,4,0.0,3.43,0
write,txn_hlist,1,8,0.0,6.05,0
write,txn_hlist,1,16,0.0,7.14,0
write,txn_hlist,1,32,0.0,10.77,0
write,txn_hlist,1,64,0.0,16.17,0
write,txn_hlist,1,96,0.0,20.42,0
write,txn_hlist,1,128,0.0,22.25,0
write,txn_hlist,1,160,0.0,24.87,0
write,txn_hlist,1,191,0.0,27.42,0
write,txn_hlist,1,192,0.0,27.53,0
write,txn_hlist,2,1,0.0,0.97,0
write,txn_hlist,2,2,0.0,1.84,0
write,txn_hlist,2,4,0.0,3.43,0
write,txn_hlist,2,8,0.0,6.04,0
write,txn_hlist,2,16,0.0,7.15,0
write,txn_hlist,2,32,0.0,10.85,0
write,txn_hlist,2,64,0.0,16.16,0
write,txn_hlist,2,96,0.0,20.36,0
write,txn_hlist,2,128,0.0,22.15,0
write,txn_hlist,2,160,0.0,24.72,0
write,txn_hlist,2,191,0.0,27.28,0
write,txn_hlist,2,192,0.0,27.41,0
write,rcu_hlist,1,1,0.0,1.15,0
write,rcu_hlist,1,2,0.0,2.33,0
write,rcu_hlist,1,4,0.0,4.35,0
write,rcu_hlist,1,8,0.0,7.86,0
write,rcu_hlist,1,16,0.0,9.56,0
write,rcu_hlist,1,32,0.0,13.74,0
write,rcu_hlist,1,64,0.0,18.97,0
write,rcu_hlist,1,96,0.0,22.31,0
write,rcu_hlist,1,128,0.0,23.18,0
write,rcu_hlist,1,160,0.0,24.16,0
write,rcu_hlist,1,191,0.0,25.20,0
write,rcu_hlist,1,192,0.0,25.30,0
write,rcu_hlist,2,1,0.0,1.14,0
write,rcu_hlist,2,2,0.0,2.29,0
write,rcu_hlist,2,4,0.0,4.28,0
write,rcu_hlist,2,8,0.0,7.77,0
write,rcu_hlist,2,16,0.0,9.46,0
write,rcu_hlist,2,32,0.0,13.41,0
write,rcu_hlist,2,64,0.0,18.77,0
write,rcu_hlist,2,96,0.0,22.16,0
write,rcu_hlist,2,128,0.0,22.32,0
write,rcu_hlist,2,160,0.0,23.78,0
write,rcu_hlist,2,191,0.0,24.94,0
write,rcu_hlist,2,192,0.0,25.02,0
write,lfht,1,1,0.0,0.96,0
write,lfht,1,2,0.0,1.90,0
write,lfht,1,4,0.0,3.64,0
write,lfht,1,8,0.0,6.67,0
write,lfht,1,16,0.0,8.71,0
write,lfht,1,32,0.0,13.52,0
write,lfht,1,64,0.0,20.40,0
write,lfht,1,96,0.0,25.75,0
write,lfht,1,128,0.0,27.94,0
write,lfht,1,160,0.0,31.12,0
write,lfht,1,191,0.0,34.12,0
write,lfht,1,192,0.0,34.25,0
write,lfht,2,1,0.0,0.93,0
write,lfht,2,2,0.0,1.90,0
write,lfht,2,4,0.0,3.62,0
write,lfht,2,8,0.0,6.64,0
write,lfht,2,16,0.0,8.68,0
write,lfht,2,32,0.0,13.43,0
write,lfht,2,64,0.0,20.33,0
write,lfht,2,96,0.0,25.20,0
write,lfht,2,128,0.0,27.95,0
write,lfht,2,160,0.0,31.00,0
write,lfht,2,191,0.0,34.06,0
write,lfht,2,192,0.0,34.26,0
write,rlu_defer,1,1,0.0,1.27,0
write,rlu_defer,1,2,0.0,2.36,0
write,rlu_defer,1,4,0.0,4.48,0
write,rlu_defer,1,8,0.0,8.23,0
write,rlu_defer,1,16,0.0,7.95,0
write,rlu_defer,1,32,0.0,10.22,0
write,rlu_defer,1,64,0.0,13.68,0
write,rlu_defer,1,96,0.0,16.13,0
write,rlu_defer,1,128,0.0,14.75,0
write,rlu_defer,1,160,0.0,15.25,0
write,rlu_defer,1,191,0.0,15.49,0
write,rlu_defer,1,192,0.0,15.53,0
write,rlu_defer,2,1,0.0,1.28,0
write,rlu_defer,2,2,0.0,2.35,0
write,rlu_defer,2,4,0.0,4.47,0
write,rlu_defer,2,8,0.0,8.18,0
write,rlu_defer,2,16,0.0,7.96,0
write,rlu_defer,2,32,0.0,10.22,0
write,rlu_defer,2,64,0.0,13.69,0
write,rlu_defer,2,96,0.0,16.19,0
write,rlu_defer,2,128,0.0,14.80,0
write,rlu_defer,2,160,0.0,15.26,0
write,rlu_defer,2,191,0.0,15.65,0
write,rlu_defer,2,192,0.0,15.70,0
write,rlu_sync,1,1,0.0,1.21,0
write,rlu_sync,1,2,0.0,1.64,0
write,rlu_sync,1,4,0.0,2.61,0
write,rlu_sync,1,8,0.0,4.30,0
write,rlu_sync,1,16,0.0,3.76,0
write,rlu_sync,1,32,0.0,4.30,0
write,rlu_sync,1,64,0.0,5.43,0
write,rlu_sync,1,96,0.0,6.32,0
write,rlu_sync,1,128,0.0,6.14,0
write,rlu_sync,1,160,0.0,6.14,0
write,rlu_sync,1,191,0.0,6.15,0
write,rlu_sync,1,192,0.0,6.17,0
write,rlu_sync,2,1,0.0,1.21,0
write,rlu_sync,2,2,0.0,1.63,0
write,rlu_sync,2,4,0.0,2.61,0
write,rlu_sync,2,8,0.0,4.30,0
write,rlu_sync,2,16,0.0,3.74,0
write,rlu_sync,2,32,0.0,4.28,0
write,rlu_sync,2,64,0.0,5.44,0
write,rlu_sync,2,96,0.0,6.35,0
write,rlu_sync,2,128,0.0,6.17,0
write,rlu_sync,2,160,0.0,6.17,0
write,rlu_sync,2,191,0.0,6.19,0
write,rlu_sync,2,192,0.0,6.21,0
read,txn_hlist,1,1,0.7,0.94,0
read,txn_hlist,1,2,1.4,0.96,0
read,txn_hlist,1,4,2.8,0.96,0
read,txn_hlist,1,8,5.5,0.52,0
read,txn_hlist,1,16,11.0,0.52,0
read,txn_hlist,1,32,22.0,0.50,0
read,txn_hlist,1,64,43.3,0.49,0
read,txn_hlist,1,96,64.3,0.39,0
read,txn_hlist,1,128,85.7,0.41,0
read,txn_hlist,1,160,107.0,0.40,0
read,txn_hlist,1,191,126.2,0.50,0
read,txn_hlist,2,1,0.7,0.95,0
read,txn_hlist,2,2,1.4,0.96,0
read,txn_hlist,2,4,2.7,0.95,0
read,txn_hlist,2,8,5.5,0.52,0
read,txn_hlist,2,16,11.0,0.52,0
read,txn_hlist,2,32,22.0,0.51,0
read,txn_hlist,2,64,43.4,0.49,0
read,txn_hlist,2,96,64.2,0.39,0
read,txn_hlist,2,128,85.9,0.41,0
read,txn_hlist,2,160,107.4,0.41,0
read,txn_hlist,2,191,126.1,0.50,0
read,rcu_hlist,1,1,0.7,1.22,0
read,rcu_hlist,1,2,1.3,1.25,0
read,rcu_hlist,1,4,2.7,1.27,0
read,rcu_hlist,1,8,5.4,0.90,0
read,rcu_hlist,1,16,10.9,0.90,0
read,rcu_hlist,1,32,21.8,0.87,0
read,rcu_hlist,1,64,43.2,0.85,0
read,rcu_hlist,1,96,63.8,0.70,0
read,rcu_hlist,1,128,85.4,0.71,0
read,rcu_hlist,1,160,106.3,0.73,0
read,rcu_hlist,1,191,124.4,1.03,0
read,rcu_hlist,2,1,0.7,1.23,0
read,rcu_hlist,2,2,1.3,1.25,0
read,rcu_hlist,2,4,2.7,1.27,0
read,rcu_hlist,2,8,5.4,0.91,0
read,rcu_hlist,2,16,10.9,0.91,0
read,rcu_hlist,2,32,21.7,0.90,0
read,rcu_hlist,2,64,43.1,0.89,0
read,rcu_hlist,2,96,63.7,0.71,0
read,rcu_hlist,2,128,85.2,0.72,0
read,rcu_hlist,2,160,106.0,0.72,0
read,rcu_hlist,2,191,124.5,1.03,0
read,lfht,1,1,0.7,0.99,0
read,lfht,1,2,1.3,1.01,0
read,lfht,1,4,2.7,1.01,0
read,lfht,1,8,5.4,0.64,0
read,lfht,1,16,10.8,0.64,0
read,lfht,1,32,21.7,0.63,0
read,lfht,1,64,43.0,0.61,0
read,lfht,1,96,63.5,0.50,0
read,lfht,1,128,84.7,0.50,0
read,lfht,1,160,105.7,0.51,0
read,lfht,1,191,124.8,0.64,0
read,lfht,2,1,0.6,0.98,0
read,lfht,2,2,1.3,1.01,0
read,lfht,2,4,2.7,1.02,0
read,lfht,2,8,5.4,0.64,0
read,lfht,2,16,10.9,0.64,0
read,lfht,2,32,21.7,0.63,0
read,lfht,2,64,43.0,0.62,0
read,lfht,2,96,63.7,0.48,0
read,lfht,2,128,85.0,0.48,0
read,lfht,2,160,106.1,0.51,0
read,lfht,2,191,124.8,0.64,0
read,rlu_defer,1,1,0.7,1.16,0
read,rlu_defer,1,2,1.4,1.15,0
read,rlu_defer,1,4,2.9,1.12,0
read,rlu_defer,1,8,5.7,0.58,0
read,rlu_defer,1,16,11.4,0.58,0
read,rlu_defer,1,32,22.7,0.53,0
read,rlu_defer,1,64,45.0,0.52,0
read,rlu_defer,1,96,66.6,0.44,0
read,rlu_defer,1,128,89.0,0.43,0
read,rlu_defer,1,160,110.9,0.42,0
read,rlu_defer,1,191,131.0,0.50,0
read,rlu_defer,2,1,0.7,1.16,0
read,rlu_defer,2,2,1.4,1.15,0
read,rlu_defer,2,4,2.9,1.13,0
read,rlu_defer,2,8,5.7,0.59,0
read,rlu_defer,2,16,11.4,0.57,0
read,rlu_defer,2,32,22.8,0.55,0
read,rlu_defer,2,64,45.0,0.52,0
read,rlu_defer,2,96,66.4,0.43,0
read,rlu_defer,2,128,89.0,0.42,0
read,rlu_defer,2,160,111.1,0.42,0
read,rlu_defer,2,191,131.2,0.50,0
read,rlu_sync,1,1,0.7,0.09,0
read,rlu_sync,1,2,1.4,0.09,0
read,rlu_sync,1,4,2.9,0.08,0
read,rlu_sync,1,8,5.7,0.08,0
read,rlu_sync,1,16,11.3,0.07,0
read,rlu_sync,1,32,22.6,0.06,0
read,rlu_sync,1,64,44.9,0.06,0
read,rlu_sync,1,96,66.0,0.05,0
read,rlu_sync,1,128,88.6,0.05,0
read,rlu_sync,1,160,111.3,0.05,0
read,rlu_sync,1,191,132.5,0.05,0
read,rlu_sync,2,1,0.7,0.09,0
read,rlu_sync,2,2,1.4,0.09,0
read,rlu_sync,2,4,2.9,0.08,0
read,rlu_sync,2,8,5.7,0.07,0
read,rlu_sync,2,16,11.3,0.07,0
read,rlu_sync,2,32,22.5,0.06,0
read,rlu_sync,2,64,44.9,0.06,0
read,rlu_sync,2,96,65.9,0.05,0
read,rlu_sync,2,128,88.5,0.05,0
read,rlu_sync,2,160,110.7,0.05,0
read,rlu_sync,2,191,132.4,0.05,0
bal,txn_hlist,1,2,0.7,0.93,0
bal,txn_hlist,1,4,1.3,1.84,0
bal,txn_hlist,1,8,2.4,3.46,0
bal,txn_hlist,1,16,3.9,4.15,0
bal,txn_hlist,1,32,6.4,6.70,0
bal,txn_hlist,1,64,9.7,10.36,0
bal,txn_hlist,1,96,11.6,13.14,0
bal,txn_hlist,1,128,13.5,14.04,0
bal,txn_hlist,1,160,14.4,15.98,0
bal,txn_hlist,1,192,14.8,17.81,0
bal,txn_hlist,2,2,0.7,0.94,0
bal,txn_hlist,2,4,1.3,1.86,0
bal,txn_hlist,2,8,2.4,3.46,0
bal,txn_hlist,2,16,3.9,4.14,0
bal,txn_hlist,2,32,6.4,6.65,0
bal,txn_hlist,2,64,9.6,10.34,0
bal,txn_hlist,2,96,11.7,13.21,0
bal,txn_hlist,2,128,13.4,14.10,0
bal,txn_hlist,2,160,14.1,15.88,0
bal,txn_hlist,2,192,14.6,17.62,0
bal,rcu_hlist,1,2,0.7,1.21,0
bal,rcu_hlist,1,4,1.3,2.40,0
bal,rcu_hlist,1,8,2.4,4.44,0
bal,rcu_hlist,1,16,3.9,6.30,0
bal,rcu_hlist,1,32,6.8,9.12,0
bal,rcu_hlist,1,64,11.0,13.24,0
bal,rcu_hlist,1,96,14.0,15.98,0
bal,rcu_hlist,1,128,17.1,16.55,0
bal,rcu_hlist,1,160,19.1,18.42,0
bal,rcu_hlist,1,192,20.5,20.38,0
bal,rcu_hlist,2,2,0.7,1.22,0
bal,rcu_hlist,2,4,1.3,2.40,0
bal,rcu_hlist,2,8,2.4,4.43,0
bal,rcu_hlist,2,16,3.9,6.26,0
bal,rcu_hlist,2,32,6.8,9.04,0
bal,rcu_hlist,2,64,11.0,13.23,0
bal,rcu_hlist,2,96,14.1,16.24,0
bal,rcu_hlist,2,128,17.3,16.68,0
bal,rcu_hlist,2,160,19.2,18.47,0
bal,rcu_hlist,2,192,20.3,20.20,0
bal,lfht,1,2,0.7,0.99,0
bal,lfht,1,4,1.3,1.95,0
bal,lfht,1,8,2.4,3.69,0
bal,lfht,1,16,3.9,5.15,0
bal,lfht,1,32,6.6,8.33,0
bal,lfht,1,64,10.4,12.96,0
bal,lfht,1,96,13.0,16.60,0
bal,lfht,1,128,15.4,17.96,0
bal,lfht,1,160,16.7,20.31,0
bal,lfht,1,192,17.4,22.74,0
bal,lfht,2,2,0.7,0.99,0
bal,lfht,2,4,1.3,1.96,0
bal,lfht,2,8,2.4,3.68,0
bal,lfht,2,16,3.9,5.14,0
bal,lfht,2,32,6.6,8.29,0
bal,lfht,2,64,10.4,13.00,0
bal,lfht,2,96,13.0,16.70,0
bal,lfht,2,128,15.3,18.19,0
bal,lfht,2,160,16.6,20.54,0
bal,lfht,2,192,17.4,22.74,0
bal,rlu_defer,1,2,0.7,1.16,0
bal,rlu_defer,1,4,1.3,2.14,0
bal,rlu_defer,1,8,2.7,3.88,0
bal,rlu_defer,1,16,4.3,4.17,0
bal,rlu_defer,1,32,7.3,5.84,0
bal,rlu_defer,1,64,11.9,7.54,0
bal,rlu_defer,1,96,15.3,8.81,0
bal,rlu_defer,1,128,16.7,8.80,0
bal,rlu_defer,1,160,18.9,9.34,0
bal,rlu_defer,1,192,20.6,9.93,0
bal,rlu_defer,2,2,0.7,1.16,0
bal,rlu_defer,2,4,1.3,2.13,0
bal,rlu_defer,2,8,2.7,3.87,0
bal,rlu_defer,2,16,4.3,4.17,0
bal,rlu_defer,2,32,7.3,5.84,0
bal,rlu_defer,2,64,12.0,7.53,0
bal,rlu_defer,2,96,15.2,8.77,0
bal,rlu_defer,2,128,16.7,8.81,0
bal,rlu_defer,2,160,18.9,9.34,0
bal,rlu_defer,2,192,20.6,9.92,0
bal,rlu_sync,1,2,0.7,0.09,0
bal,rlu_sync,1,4,1.4,0.17,0
bal,rlu_sync,1,8,2.8,0.34,0
bal,rlu_sync,1,16,5.6,0.61,0
bal,rlu_sync,1,32,10.2,1.00,0
bal,rlu_sync,1,64,17.3,1.54,0
bal,rlu_sync,1,96,22.8,1.88,0
bal,rlu_sync,1,128,27.4,2.19,0
bal,rlu_sync,1,160,31.2,2.39,0
bal,rlu_sync,1,192,35.0,2.61,0
bal,rlu_sync,2,2,0.7,0.09,0
bal,rlu_sync,2,4,1.4,0.17,0
bal,rlu_sync,2,8,2.8,0.34,0
bal,rlu_sync,2,16,5.6,0.61,0
bal,rlu_sync,2,32,10.2,1.00,0
bal,rlu_sync,2,64,17.2,1.54,0
bal,rlu_sync,2,96,22.7,1.93,0
bal,rlu_sync,2,128,27.3,2.12,0
bal,rlu_sync,2,160,31.4,2.34,0
bal,rlu_sync,2,192,34.8,2.52,0
