pct,engine,run,threads,total_mops,update_mops,read_mops,viol
0,txn_hlist,1,1,1.32,0.00,1.32,0
0,txn_hlist,1,2,2.71,0.00,2.71,0
0,txn_hlist,1,4,5.52,0.00,5.52,0
0,txn_hlist,1,8,11.14,0.00,11.14,0
0,txn_hlist,1,16,22.32,0.00,22.32,0
0,txn_hlist,1,32,44.59,0.00,44.59,0
0,txn_hlist,1,64,88.21,0.00,88.21,0
0,txn_hlist,1,96,130.14,0.00,130.14,0
0,txn_hlist,1,128,174.26,0.00,174.26,0
0,txn_hlist,1,160,217.06,0.00,217.06,0
0,txn_hlist,1,191,257.33,0.00,257.33,0
0,txn_hlist,1,192,258.71,0.00,258.71,0
0,txn_hlist,2,1,1.28,0.00,1.28,0
0,txn_hlist,2,2,2.69,0.00,2.69,0
0,txn_hlist,2,4,5.52,0.00,5.52,0
0,txn_hlist,2,8,11.18,0.00,11.18,0
0,txn_hlist,2,16,22.42,0.00,22.42,0
0,txn_hlist,2,32,44.77,0.00,44.77,0
0,txn_hlist,2,64,88.59,0.00,88.59,0
0,txn_hlist,2,96,130.67,0.00,130.67,0
0,txn_hlist,2,128,174.97,0.00,174.97,0
0,txn_hlist,2,160,217.98,0.00,217.98,0
0,txn_hlist,2,191,258.34,0.00,258.34,0
0,txn_hlist,2,192,259.65,0.00,259.65,0
0,rcu_hlist,1,1,1.30,0.00,1.30,0
0,rcu_hlist,1,2,2.67,0.00,2.67,0
0,rcu_hlist,1,4,5.47,0.00,5.47,0
0,rcu_hlist,1,8,11.11,0.00,11.11,0
0,rcu_hlist,1,16,22.27,0.00,22.27,0
0,rcu_hlist,1,32,44.57,0.00,44.57,0
0,rcu_hlist,1,64,88.03,0.00,88.03,0
0,rcu_hlist,1,96,129.70,0.00,129.70,0
0,rcu_hlist,1,128,173.86,0.00,173.86,0
0,rcu_hlist,1,160,217.03,0.00,217.03,0
0,rcu_hlist,1,191,257.05,0.00,257.05,0
0,rcu_hlist,1,192,258.09,0.00,258.09,0
0,rcu_hlist,2,1,1.30,0.00,1.30,0
0,rcu_hlist,2,2,2.68,0.00,2.68,0
0,rcu_hlist,2,4,5.45,0.00,5.45,0
0,rcu_hlist,2,8,11.05,0.00,11.05,0
0,rcu_hlist,2,16,22.09,0.00,22.09,0
0,rcu_hlist,2,32,44.22,0.00,44.22,0
0,rcu_hlist,2,64,87.27,0.00,87.27,0
0,rcu_hlist,2,96,128.67,0.00,128.67,0
0,rcu_hlist,2,128,172.38,0.00,172.38,0
0,rcu_hlist,2,160,215.29,0.00,215.29,0
0,rcu_hlist,2,191,254.77,0.00,254.77,0
0,rcu_hlist,2,192,255.96,0.00,255.96,0
0,lfht,1,1,1.29,0.00,1.29,0
0,lfht,1,2,2.67,0.00,2.67,0
0,lfht,1,4,5.45,0.00,5.45,0
0,lfht,1,8,11.00,0.00,11.00,0
0,lfht,1,16,22.06,0.00,22.06,0
0,lfht,1,32,44.16,0.00,44.16,0
0,lfht,1,64,87.32,0.00,87.32,0
0,lfht,1,96,128.65,0.00,128.65,0
0,lfht,1,128,172.24,0.00,172.24,0
0,lfht,1,160,215.05,0.00,215.05,0
0,lfht,1,191,254.78,0.00,254.78,0
0,lfht,1,192,255.62,0.00,255.62,0
0,lfht,2,1,1.24,0.00,1.24,0
0,lfht,2,2,2.65,0.00,2.65,0
0,lfht,2,4,5.46,0.00,5.46,0
0,lfht,2,8,11.05,0.00,11.05,0
0,lfht,2,16,22.11,0.00,22.11,0
0,lfht,2,32,44.24,0.00,44.24,0
0,lfht,2,64,87.50,0.00,87.50,0
0,lfht,2,96,128.86,0.00,128.86,0
0,lfht,2,128,172.53,0.00,172.53,0
0,lfht,2,160,215.48,0.00,215.48,0
0,lfht,2,191,255.36,0.00,255.36,0
0,lfht,2,192,256.29,0.00,256.29,0
0,rlu_defer,1,1,1.36,0.00,1.36,0
0,rlu_defer,1,2,2.81,0.00,2.81,0
0,rlu_defer,1,4,5.71,0.00,5.71,0
0,rlu_defer,1,8,11.49,0.00,11.49,0
0,rlu_defer,1,16,22.94,0.00,22.94,0
0,rlu_defer,1,32,45.90,0.00,45.90,0
0,rlu_defer,1,64,90.95,0.00,90.95,0
0,rlu_defer,1,96,134.17,0.00,134.17,0
0,rlu_defer,1,128,179.41,0.00,179.41,0
0,rlu_defer,1,160,224.17,0.00,224.17,0
0,rlu_defer,1,191,265.68,0.00,265.68,0
0,rlu_defer,1,192,266.92,0.00,266.92,0
0,rlu_defer,2,1,1.39,0.00,1.39,0
0,rlu_defer,2,2,2.83,0.00,2.83,0
0,rlu_defer,2,4,5.73,0.00,5.73,0
0,rlu_defer,2,8,11.50,0.00,11.50,0
0,rlu_defer,2,16,23.00,0.00,23.00,0
0,rlu_defer,2,32,46.06,0.00,46.06,0
0,rlu_defer,2,64,91.17,0.00,91.17,0
0,rlu_defer,2,96,134.67,0.00,134.67,0
0,rlu_defer,2,128,179.97,0.00,179.97,0
0,rlu_defer,2,160,224.81,0.00,224.81,0
0,rlu_defer,2,191,266.64,0.00,266.64,0
0,rlu_defer,2,192,268.08,0.00,268.08,0
0,rlu_sync,1,1,1.38,0.00,1.38,0
0,rlu_sync,1,2,2.82,0.00,2.82,0
0,rlu_sync,1,4,5.70,0.00,5.70,0
0,rlu_sync,1,8,11.46,0.00,11.46,0
0,rlu_sync,1,16,22.95,0.00,22.95,0
0,rlu_sync,1,32,45.90,0.00,45.90,0
0,rlu_sync,1,64,90.83,0.00,90.83,0
0,rlu_sync,1,96,134.24,0.00,134.24,0
0,rlu_sync,1,128,179.42,0.00,179.42,0
0,rlu_sync,1,160,223.88,0.00,223.88,0
0,rlu_sync,1,191,265.53,0.00,265.53,0
0,rlu_sync,1,192,266.95,0.00,266.95,0
0,rlu_sync,2,1,1.39,0.00,1.39,0
0,rlu_sync,2,2,2.82,0.00,2.82,0
0,rlu_sync,2,4,5.70,0.00,5.70,0
0,rlu_sync,2,8,11.50,0.00,11.50,0
0,rlu_sync,2,16,22.97,0.00,22.97,0
0,rlu_sync,2,32,45.93,0.00,45.93,0
0,rlu_sync,2,64,91.05,0.00,91.05,0
0,rlu_sync,2,96,134.42,0.00,134.42,0
0,rlu_sync,2,128,180.21,0.00,180.21,0
0,rlu_sync,2,160,224.32,0.00,224.32,0
0,rlu_sync,2,191,266.06,0.00,266.06,0
0,rlu_sync,2,192,267.58,0.00,267.58,0
2,txn_hlist,1,1,1.27,0.03,1.24,0
2,txn_hlist,1,2,2.53,0.05,2.48,0
2,txn_hlist,1,4,5.14,0.10,5.03,0
2,txn_hlist,1,8,10.11,0.20,9.91,0
2,txn_hlist,1,16,18.33,0.37,17.97,0
2,txn_hlist,1,32,33.25,0.66,32.58,0
2,txn_hlist,1,64,59.20,1.18,58.02,0
2,txn_hlist,1,96,80.70,1.61,79.08,0
2,txn_hlist,1,128,98.55,1.97,96.58,0
2,txn_hlist,1,160,114.79,2.30,112.49,0
2,txn_hlist,1,191,129.23,2.58,126.65,0
