rep,buckets,engine,mops
1,65536,txn_hlist,452.26
1,65536,rlu_hlist,132.66
1,65536,rcu_hlist,551.48
1,65536,lfht,354.47
1,524288,txn_hlist,438.74
1,524288,rlu_hlist,209.86
1,524288,rcu_hlist,477.79
1,524288,lfht,338.05
1,1048576,txn_hlist,414.08
1,1048576,rlu_hlist,194.83
1,1048576,rcu_hlist,407.94
1,1048576,lfht,282.01
1,2097152,txn_hlist,386.25
1,2097152,rlu_hlist,192.19
1,2097152,rcu_hlist,354.36
1,2097152,lfht,233.63
1,4194304,txn_hlist,358.12
1,4194304,rlu_hlist,186.53
1,4194304,rcu_hlist,326.28
1,4194304,lfht,213.53
1,8388608,txn_hlist,341.02
1,8388608,rlu_hlist,185.42
1,8388608,rcu_hlist,331.42
1,8388608,lfht,196.77
# repeat 1 complete
2,65536,txn_hlist,451.29
2,65536,rlu_hlist,144.89
2,65536,rcu_hlist,549.01
2,65536,lfht,359.89
2,524288,txn_hlist,431.77
2,524288,rlu_hlist,197.97
2,524288,rcu_hlist,477.43
2,524288,lfht,339.35
2,1048576,txn_hlist,413.32
2,1048576,rlu_hlist,197.52
2,1048576,rcu_hlist,405.31
2,1048576,lfht,293.02
2,2097152,txn_hlist,390.08
2,2097152,rlu_hlist,203.73
2,2097152,rcu_hlist,356.32
2,2097152,lfht,245.13
2,4194304,txn_hlist,364.75
2,4194304,rlu_hlist,188.15
2,4194304,rcu_hlist,325.83
2,4194304,lfht,211.54
2,8388608,txn_hlist,328.17
2,8388608,rlu_hlist,183.89
2,8388608,rcu_hlist,326.52
2,8388608,lfht,186.32
# repeat 2 complete
3,65536,txn_hlist,439.84
3,65536,rlu_hlist,141.54
3,65536,rcu_hlist,541.30
3,65536,lfht,345.79
3,524288,txn_hlist,423.83
3,524288,rlu_hlist,202.51
3,524288,rcu_hlist,456.51
3,524288,lfht,329.63
3,1048576,txn_hlist,399.27
3,1048576,rlu_hlist,190.91
3,1048576,rcu_hlist,398.26
3,1048576,lfht,281.34
3,2097152,txn_hlist,377.00
3,2097152,rlu_hlist,195.36
3,2097152,rcu_hlist,350.63
3,2097152,lfht,231.98
3,4194304,txn_hlist,350.52
3,4194304,rlu_hlist,189.43
3,4194304,rcu_hlist,316.60
3,4194304,lfht,201.70
3,8388608,txn_hlist,321.44
3,8388608,rlu_hlist,177.63
3,8388608,rcu_hlist,318.74
3,8388608,lfht,194.04
# repeat 3 complete
4,65536,txn_hlist,450.67
4,65536,rlu_hlist,142.33
4,65536,rcu_hlist,545.82
4,65536,lfht,347.17
4,524288,txn_hlist,430.20
4,524288,rlu_hlist,209.47
4,524288,rcu_hlist,466.53
4,524288,lfht,337.41
4,1048576,txn_hlist,406.00
4,1048576,rlu_hlist,206.34
4,1048576,rcu_hlist,411.41
4,1048576,lfht,289.40
4,2097152,txn_hlist,384.54
4,2097152,rlu_hlist,199.76
4,2097152,rcu_hlist,356.53
4,2097152,lfht,240.95
4,4194304,txn_hlist,359.72
4,4194304,rlu_hlist,188.84
4,4194304,rcu_hlist,325.64
4,4194304,lfht,212.04
4,8388608,txn_hlist,329.83
4,8388608,rlu_hlist,184.49
4,8388608,rcu_hlist,332.06
4,8388608,lfht,198.67
# repeat 4 complete
5,65536,txn_hlist,451.71
5,65536,rlu_hlist,144.72
5,65536,rcu_hlist,557.61
5,65536,lfht,353.53
5,524288,txn_hlist,437.90
5,524288,rlu_hlist,210.00
5,524288,rcu_hlist,475.83
5,524288,lfht,324.53
5,1048576,txn_hlist,409.04
5,1048576,rlu_hlist,207.88
5,1048576,rcu_hlist,410.52
5,1048576,lfht,290.47
5,2097152,txn_hlist,390.55
5,2097152,rlu_hlist,193.12
5,2097152,rcu_hlist,360.93
5,2097152,lfht,242.91
5,4194304,txn_hlist,366.95
5,4194304,rlu_hlist,188.00
5,4194304,rcu_hlist,327.67
5,4194304,lfht,210.30
5,8388608,txn_hlist,328.14
5,8388608,rlu_hlist,184.29
5,8388608,rcu_hlist,324.96
5,8388608,lfht,194.73
# repeat 5 complete
# ALL DONE
