panel,variant,run,writers,write_mops,viol
churn,glibc,1,1,3.73,0
churn,glibc,1,2,6.27,0
churn,glibc,1,4,12.84,0
churn,glibc,1,8,20.47,0
churn,glibc,1,16,22.81,0
churn,glibc,1,32,35.87,0
churn,glibc,1,64,62.11,0
churn,glibc,1,96,101.11,0
churn,glibc,1,128,105.34,0
churn,glibc,1,160,120.18,0
churn,glibc,1,191,152.04,0
churn,glibc,1,192,157.35,0
churn,glibc,2,1,3.65,0
churn,glibc,2,2,6.08,0
churn,glibc,2,4,12.78,0
churn,glibc,2,8,24.82,0
churn,glibc,2,16,24.43,0
churn,glibc,2,32,36.79,0
churn,glibc,2,64,65.24,0
churn,glibc,2,96,82.54,0
churn,glibc,2,128,108.46,0
churn,glibc,2,160,123.45,0
churn,glibc,2,191,157.25,0
churn,glibc,2,192,157.60,0
churn,jemalloc,1,1,6.22,0
churn,jemalloc,1,2,9.85,0
churn,jemalloc,1,4,16.38,0
churn,jemalloc,1,8,29.57,0
churn,jemalloc,1,16,30.32,0
churn,jemalloc,1,32,67.48,0
churn,jemalloc,1,64,105.42,0
churn,jemalloc,1,96,128.50,0
churn,jemalloc,1,128,133.50,0
churn,jemalloc,1,160,145.52,0
churn,jemalloc,1,191,204.32,0
churn,jemalloc,1,192,211.55,0
churn,jemalloc,2,1,6.26,0
churn,jemalloc,2,2,9.73,0
churn,jemalloc,2,4,16.44,0
churn,jemalloc,2,8,29.88,0
churn,jemalloc,2,16,29.45,0
churn,jemalloc,2,32,68.81,0
churn,jemalloc,2,64,105.04,0
churn,jemalloc,2,96,130.05,0
churn,jemalloc,2,128,132.81,0
churn,jemalloc,2,160,145.33,0
churn,jemalloc,2,191,201.29,0
churn,jemalloc,2,192,208.56,0
churn,glibc+slab,1,1,5.78,0
churn,glibc+slab,1,2,11.20,0
churn,glibc+slab,1,4,20.48,0
churn,glibc+slab,1,8,37.00,0
churn,glibc+slab,1,16,29.33,0
churn,glibc+slab,1,32,58.22,0
churn,glibc+slab,1,64,99.74,0
churn,glibc+slab,1,96,126.30,0
churn,glibc+slab,1,128,130.81,0
churn,glibc+slab,1,160,139.41,0
churn,glibc+slab,1,191,188.83,0
churn,glibc+slab,1,192,187.39,0
churn,glibc+slab,2,1,5.73,0
churn,glibc+slab,2,2,11.31,0
churn,glibc+slab,2,4,19.93,0
churn,glibc+slab,2,8,36.71,0
churn,glibc+slab,2,16,29.89,0
churn,glibc+slab,2,32,60.35,0
churn,glibc+slab,2,64,100.99,0
churn,glibc+slab,2,96,126.93,0
churn,glibc+slab,2,128,131.00,0
churn,glibc+slab,2,160,139.42,0
churn,glibc+slab,2,191,188.59,0
churn,glibc+slab,2,192,187.37,0
composable,glibc,1,1,2.75,0
composable,glibc,1,2,3.25,0
composable,glibc,1,4,6.45,0
composable,glibc,1,8,12.27,0
composable,glibc,1,16,15.14,0
composable,glibc,1,32,21.49,0
composable,glibc,1,64,30.91,0
composable,glibc,1,96,44.42,0
composable,glibc,1,128,54.71,0
composable,glibc,1,160,62.72,0
composable,glibc,1,191,73.11,0
composable,glibc,1,192,82.82,0
composable,glibc,2,1,2.64,0
composable,glibc,2,2,3.24,0
composable,glibc,2,4,6.62,0
composable,glibc,2,8,12.63,0
composable,glibc,2,16,15.33,0
composable,glibc,2,32,21.55,0
composable,glibc,2,64,31.27,0
composable,glibc,2,96,45.11,0
composable,glibc,2,128,51.93,0
composable,glibc,2,160,65.83,0
composable,glibc,2,191,79.28,0
composable,glibc,2,192,86.93,0
composable,jemalloc,1,1,2.27,0
composable,jemalloc,1,2,3.67,0
composable,jemalloc,1,4,9.02,0
composable,jemalloc,1,8,17.11,0
composable,jemalloc,1,16,19.64,0
composable,jemalloc,1,32,29.80,0
composable,jemalloc,1,64,53.17,0
composable,jemalloc,1,96,74.29,0
composable,jemalloc,1,128,89.62,0
composable,jemalloc,1,160,108.02,0
composable,jemalloc,1,191,125.88,0
composable,jemalloc,1,192,113.64,0
composable,jemalloc,2,1,2.25,0
composable,jemalloc,2,2,3.80,0
composable,jemalloc,2,4,9.04,0
composable,jemalloc,2,8,16.59,0
composable,jemalloc,2,16,19.71,0
composable,jemalloc,2,32,28.67,0
composable,jemalloc,2,64,52.37,0
composable,jemalloc,2,96,70.71,0
composable,jemalloc,2,128,82.71,0
composable,jemalloc,2,160,94.24,0
composable,jemalloc,2,191,92.85,0
composable,jemalloc,2,192,120.07,0
composable,glibc+slab,1,1,3.55,0
composable,glibc+slab,1,2,4.53,0
composable,glibc+slab,1,4,8.83,0
composable,glibc+slab,1,8,17.09,0
composable,glibc+slab,1,16,17.88,0
composable,glibc+slab,1,32,29.33,0
composable,glibc+slab,1,64,52.15,0
composable,glibc+slab,1,96,73.19,0
composable,glibc+slab,1,128,85.34,0
composable,glibc+slab,1,160,101.03,0
composable,glibc+slab,1,191,115.48,0
composable,glibc+slab,1,192,115.91,0
composable,glibc+slab,2,1,3.71,0
composable,glibc+slab,2,2,4.48,0
composable,glibc+slab,2,4,8.69,0
composable,glibc+slab,2,8,16.20,0
composable,glibc+slab,2,16,18.16,0
composable,glibc+slab,2,32,29.68,0
composable,glibc+slab,2,64,51.34,0
composable,glibc+slab,2,96,72.80,0
composable,glibc+slab,2,128,85.05,0
composable,glibc+slab,2,160,100.88,0
composable,glibc+slab,2,191,115.68,0
composable,glibc+slab,2,192,115.51,0
