mode,engine,run,x,read_mvisits,write_mops,viol
readceil,txn_sw_list,1,1,771.7,0,0
readceil,txn_sw_list,1,2,1549.0,0,0
readceil,txn_sw_list,1,4,3101.9,0,0
readceil,txn_sw_list,1,8,6202.5,0,0
readceil,txn_sw_list,1,16,12398.7,0,0
readceil,txn_sw_list,1,32,24793.7,0,0
readceil,txn_sw_list,1,64,49470.4,0,0
readceil,txn_sw_list,1,96,71439.6,0,0
readceil,txn_sw_list,1,128,96114.3,0,0
readceil,txn_sw_list,1,160,120581.4,0,0
readceil,txn_sw_list,1,191,144762.2,0,0
readceil,txn_sw_list,1,192,145434.0,0,0
mixed,txn_sw_list,1,1,762.3,7.06,0
mixed,txn_sw_list,1,2,1527.3,6.99,0
mixed,txn_sw_list,1,4,3056.1,6.73,0
mixed,txn_sw_list,1,8,4693.0,3.03,0
mixed,txn_sw_list,1,16,9514.7,2.88,0
mixed,txn_sw_list,1,32,19184.3,2.70,0
mixed,txn_sw_list,1,64,38659.6,2.44,0
mixed,txn_sw_list,1,96,56508.0,1.85,0
mixed,txn_sw_list,1,128,73954.3,1.78,0
mixed,txn_sw_list,1,160,91822.2,1.73,0
mixed,txn_sw_list,1,191,107907.8,1.42,0
writescale,txn_sw_list,1,1,0,7.94,0
writescale,txn_sw_list,1,2,0,7.30,0
writescale,txn_sw_list,1,4,0,5.38,0
writescale,txn_sw_list,1,8,0,3.84,0
writescale,txn_sw_list,1,16,0,1.97,0
writescale,txn_sw_list,1,32,0,1.87,0
writescale,txn_sw_list,1,64,0,1.82,0
writescale,txn_sw_list,1,96,0,1.87,0
writescale,txn_sw_list,1,128,0,1.87,0
writescale,txn_sw_list,1,160,0,1.90,0
writescale,txn_sw_list,1,191,0,1.93,0
writescale,txn_sw_list,1,192,0,1.95,0
readceil,mvrlu_list,1,1,296.7,0,0
readceil,mvrlu_list,1,2,626.1,0,0
readceil,mvrlu_list,1,4,1257.2,0,0
readceil,mvrlu_list,1,8,2465.5,0,0
readceil,mvrlu_list,1,16,4897.7,0,0
readceil,mvrlu_list,1,32,9722.4,0,0
readceil,mvrlu_list,1,64,18646.0,0,0
readceil,mvrlu_list,1,96,24225.4,0,0
readceil,mvrlu_list,1,128,33983.2,0,0
readceil,mvrlu_list,1,160,43715.1,0,0
readceil,mvrlu_list,1,191,49461.9,0,0
readceil,mvrlu_list,1,192,49606.0,0,0
mixed,mvrlu_list,1,1,264.6,2.47,0
mixed,mvrlu_list,1,2,498.5,2.23,0
mixed,mvrlu_list,1,4,1092.7,2.28,0
mixed,mvrlu_list,1,8,2079.4,0.72,0
mixed,mvrlu_list,1,16,4110.4,0.73,0
mixed,mvrlu_list,1,32,8224.4,0.65,0
mixed,mvrlu_list,1,64,16073.2,0.50,0
mixed,mvrlu_list,1,96,21054.1,0.37,0
mixed,mvrlu_list,1,128,29215.6,0.33,0
mixed,mvrlu_list,1,160,37530.6,0.23,0
mixed,mvrlu_list,1,191,42932.7,0.20,0
writescale,mvrlu_list,1,1,0,8.43,0
writescale,mvrlu_list,1,2,0,13.00,0
writescale,mvrlu_list,1,4,0,16.64,0
writescale,mvrlu_list,1,8,0,16.26,0
writescale,mvrlu_list,1,16,0,10.69,0
writescale,mvrlu_list,1,32,0,10.86,0
writescale,mvrlu_list,1,64,0,10.68,0
writescale,mvrlu_list,1,96,0,10.51,0
writescale,mvrlu_list,1,128,0,9.55,0
writescale,mvrlu_list,1,160,0,9.61,0
writescale,mvrlu_list,1,191,0,9.67,0
writescale,mvrlu_list,1,192,0,9.68,0
readceil,txn_sw_list,2,1,775.5,0,0
readceil,txn_sw_list,2,2,1561.6,0,0
readceil,txn_sw_list,2,4,3128.3,0,0
readceil,txn_sw_list,2,8,6263.0,0,0
readceil,txn_sw_list,2,16,12534.5,0,0
readceil,txn_sw_list,2,32,25069.3,0,0
readceil,txn_sw_list,2,64,50023.5,0,0
readceil,txn_sw_list,2,96,72313.2,0,0
readceil,txn_sw_list,2,128,97014.4,0,0
readceil,txn_sw_list,2,160,121880.5,0,0
readceil,txn_sw_list,2,191,145922.4,0,0
readceil,txn_sw_list,2,192,145737.8,0,0
mixed,txn_sw_list,2,1,764.0,7.03,0
mixed,txn_sw_list,2,2,1533.1,6.82,0
mixed,txn_sw_list,2,4,3061.2,6.81,0
mixed,txn_sw_list,2,8,4652.4,2.95,0
mixed,txn_sw_list,2,16,9427.5,2.82,0
mixed,txn_sw_list,2,32,18994.4,2.64,0
mixed,txn_sw_list,2,64,38222.1,2.41,0
mixed,txn_sw_list,2,96,56278.7,1.84,0
mixed,txn_sw_list,2,128,74012.2,1.77,0
mixed,txn_sw_list,2,160,92063.0,1.72,0
mixed,txn_sw_list,2,191,106266.2,1.47,0
writescale,txn_sw_list,2,1,0,7.85,0
writescale,txn_sw_list,2,2,0,7.40,0
writescale,txn_sw_list,2,4,0,5.28,0
writescale,txn_sw_list,2,8,0,3.75,0
writescale,txn_sw_list,2,16,0,1.98,0
writescale,txn_sw_list,2,32,0,2.14,0
writescale,txn_sw_list,2,64,0,2.36,0
writescale,txn_sw_list,2,96,0,2.68,0
writescale,txn_sw_list,2,128,0,2.23,0
writescale,txn_sw_list,2,160,0,2.04,0
writescale,txn_sw_list,2,191,0,1.96,0
writescale,txn_sw_list,2,192,0,1.95,0
readceil,mvrlu_list,2,1,319.5,0,0
readceil,mvrlu_list,2,2,638.9,0,0
readceil,mvrlu_list,2,4,1278.0,0,0
readceil,mvrlu_list,2,8,2509.0,0,0
readceil,mvrlu_list,2,16,4910.0,0,0
readceil,mvrlu_list,2,32,9952.0,0,0
readceil,mvrlu_list,2,64,18782.5,0,0
readceil,mvrlu_list,2,96,24510.0,0,0
readceil,mvrlu_list,2,128,34364.2,0,0
readceil,mvrlu_list,2,160,44147.0,0,0
readceil,mvrlu_list,2,191,49910.3,0,0
readceil,mvrlu_list,2,192,50248.0,0,0
mixed,mvrlu_list,2,1,283.4,2.36,0
mixed,mvrlu_list,2,2,565.2,2.04,0
mixed,mvrlu_list,2,4,1129.1,2.26,0
mixed,mvrlu_list,2,8,2112.7,0.73,0
mixed,mvrlu_list,2,16,4175.1,0.69,0
mixed,mvrlu_list,2,32,8280.2,0.64,0
mixed,mvrlu_list,2,64,16186.8,0.51,0
mixed,mvrlu_list,2,96,21219.2,0.36,0
mixed,mvrlu_list,2,128,29263.1,0.35,0
mixed,mvrlu_list,2,160,37562.4,0.24,0
mixed,mvrlu_list,2,191,42676.6,0.22,0
writescale,mvrlu_list,2,1,0,8.75,0
writescale,mvrlu_list,2,2,0,12.69,0
writescale,mvrlu_list,2,4,0,16.46,0
writescale,mvrlu_list,2,8,0,16.21,0
writescale,mvrlu_list,2,16,0,10.64,0
writescale,mvrlu_list,2,32,0,10.86,0
writescale,mvrlu_list,2,64,0,10.69,0
writescale,mvrlu_list,2,96,0,10.52,0
writescale,mvrlu_list,2,128,0,9.58,0
writescale,mvrlu_list,2,160,0,9.64,0
writescale,mvrlu_list,2,191,0,9.69,0
writescale,mvrlu_list,2,192,0,9.71,0
