mode,engine,run,x,read_mvisits,write_mops,viol
readceil,txn_sw_list,1,1,783.4,0,0
readceil,txn_sw_list,1,2,1574.2,0,0
readceil,txn_sw_list,1,4,3149.1,0,0
readceil,txn_sw_list,1,8,6302.4,0,0
readceil,txn_sw_list,1,16,12606.0,0,0
readceil,txn_sw_list,1,32,25201.0,0,0
readceil,txn_sw_list,1,64,50244.8,0,0
readceil,txn_sw_list,1,96,72939.4,0,0
readceil,txn_sw_list,1,128,97848.2,0,0
readceil,txn_sw_list,1,160,122612.7,0,0
readceil,txn_sw_list,1,191,146138.7,0,0
readceil,txn_sw_list,1,192,147766.6,0,0
mixed,txn_sw_list,1,1,765.6,7.28,0
mixed,txn_sw_list,1,2,1535.5,6.68,0
mixed,txn_sw_list,1,4,3078.9,6.77,0
mixed,txn_sw_list,1,8,4721.4,3.06,0
mixed,txn_sw_list,1,16,9557.3,2.90,0
mixed,txn_sw_list,1,32,19283.6,2.69,0
mixed,txn_sw_list,1,64,38939.0,2.41,0
mixed,txn_sw_list,1,96,58637.5,1.71,0
mixed,txn_sw_list,1,128,76755.7,1.63,0
mixed,txn_sw_list,1,160,95823.3,1.54,0
mixed,txn_sw_list,1,191,111847.7,1.26,0
readceil,txn_sw_fwd,1,1,776.6,0,0
readceil,txn_sw_fwd,1,2,1559.0,0,0
readceil,txn_sw_fwd,1,4,3122.6,0,0
readceil,txn_sw_fwd,1,8,6250.4,0,0
readceil,txn_sw_fwd,1,16,12497.6,0,0
readceil,txn_sw_fwd,1,32,24986.0,0,0
readceil,txn_sw_fwd,1,64,49887.4,0,0
readceil,txn_sw_fwd,1,96,71781.4,0,0
readceil,txn_sw_fwd,1,128,96585.2,0,0
readceil,txn_sw_fwd,1,160,121412.3,0,0
readceil,txn_sw_fwd,1,191,145792.4,0,0
readceil,txn_sw_fwd,1,192,146334.9,0,0
mixed,txn_sw_fwd,1,1,761.4,6.98,0
mixed,txn_sw_fwd,1,2,1527.2,6.82,0
mixed,txn_sw_fwd,1,4,3054.7,6.82,0
mixed,txn_sw_fwd,1,8,4680.6,2.94,0
mixed,txn_sw_fwd,1,16,9495.6,2.77,0
mixed,txn_sw_fwd,1,32,19219.5,2.52,0
mixed,txn_sw_fwd,1,64,38250.8,2.22,0
mixed,txn_sw_fwd,1,96,55539.5,1.59,0
mixed,txn_sw_fwd,1,128,73209.5,1.51,0
mixed,txn_sw_fwd,1,160,92421.9,1.40,0
mixed,txn_sw_fwd,1,191,107004.3,1.19,0
readceil,rculist,1,1,769.0,0,0
readceil,rculist,1,2,1520.7,0,0
readceil,rculist,1,4,3070.1,0,0
readceil,rculist,1,8,6087.1,0,0
readceil,rculist,1,16,12184.7,0,0
readceil,rculist,1,32,24420.2,0,0
readceil,rculist,1,64,48516.6,0,0
readceil,rculist,1,96,70935.7,0,0
readceil,rculist,1,128,95301.7,0,0
readceil,rculist,1,160,119379.7,0,0
readceil,rculist,1,191,141622.1,0,0
readceil,rculist,1,192,141881.0,0,0
mixed,rculist,1,1,732.8,14.45,0
mixed,rculist,1,2,1483.7,11.94,0
mixed,rculist,1,4,2983.4,11.18,0
mixed,rculist,1,8,3911.6,3.83,0
mixed,rculist,1,16,6896.0,3.80,0
mixed,rculist,1,32,11631.2,3.72,0
mixed,rculist,1,64,20167.7,3.65,0
mixed,rculist,1,96,24989.1,3.17,0
mixed,rculist,1,128,34567.0,3.12,0
mixed,rculist,1,160,44232.6,3.08,0
mixed,rculist,1,191,52225.6,2.91,0
readceil,rlu_defer,1,1,621.3,0,0
readceil,rlu_defer,1,2,1247.5,0,0
readceil,rlu_defer,1,4,2491.6,0,0
readceil,rlu_defer,1,8,5001.8,0,0
readceil,rlu_defer,1,16,9972.4,0,0
readceil,rlu_defer,1,32,19944.0,0,0
readceil,rlu_defer,1,64,37945.7,0,0
readceil,rlu_defer,1,96,48816.6,0,0
readceil,rlu_defer,1,128,68560.4,0,0
readceil,rlu_defer,1,160,88114.0,0,0
readceil,rlu_defer,1,191,98820.4,0,0
readceil,rlu_defer,1,192,98800.3,0,0
mixed,rlu_defer,1,1,497.5,2.46,0
mixed,rlu_defer,1,2,993.6,2.45,0
mixed,rlu_defer,1,4,1972.6,2.40,0
mixed,rlu_defer,1,8,3154.3,1.21,0
mixed,rlu_defer,1,16,6660.5,1.09,0
mixed,rlu_defer,1,32,13336.6,1.06,0
mixed,rlu_defer,1,64,27023.1,0.83,0
mixed,rlu_defer,1,96,34574.2,0.66,0
mixed,rlu_defer,1,128,48467.3,0.57,0
mixed,rlu_defer,1,160,59509.2,0.53,0
mixed,rlu_defer,1,191,69481.7,0.44,0
readceil,rlu_sync,1,1,622.4,0,0
readceil,rlu_sync,1,2,1248.0,0,0
readceil,rlu_sync,1,4,2498.4,0,0
readceil,rlu_sync,1,8,5000.8,0,0
readceil,rlu_sync,1,16,10001.8,0,0
readceil,rlu_sync,1,32,19983.1,0,0
readceil,rlu_sync,1,64,37861.1,0,0
readceil,rlu_sync,1,96,48841.5,0,0
readceil,rlu_sync,1,128,68618.2,0,0
readceil,rlu_sync,1,160,88050.8,0,0
readceil,rlu_sync,1,191,98913.5,0,0
readceil,rlu_sync,1,192,99342.5,0,0
mixed,rlu_sync,1,1,534.7,0.03,0
mixed,rlu_sync,1,2,1068.6,0.03,0
mixed,rlu_sync,1,4,2133.2,0.03,0
mixed,rlu_sync,1,8,4183.3,0.02,0
mixed,rlu_sync,1,16,8377.6,0.02,0
mixed,rlu_sync,1,32,16391.8,0.02,0
mixed,rlu_sync,1,64,30905.4,0.02,0
mixed,rlu_sync,1,96,39382.9,0.02,0
mixed,rlu_sync,1,128,54953.8,0.02,0
mixed,rlu_sync,1,160,69621.1,0.02,0
mixed,rlu_sync,1,191,78231.5,0.02,0
readceil,mvrlu_list,1,1,292.8,0,0
readceil,mvrlu_list,1,2,578.6,0,0
readceil,mvrlu_list,1,4,1148.7,0,0
readceil,mvrlu_list,1,8,2314.7,0,0
readceil,mvrlu_list,1,16,4597.8,0,0
readceil,mvrlu_list,1,32,9270.3,0,0
readceil,mvrlu_list,1,64,17417.3,0,0
readceil,mvrlu_list,1,96,22561.0,0,0
readceil,mvrlu_list,1,128,31537.6,0,0
readceil,mvrlu_list,1,160,41005.2,0,0
readceil,mvrlu_list,1,191,46068.2,0,0
readceil,mvrlu_list,1,192,46447.6,0,0
mixed,mvrlu_list,1,1,248.2,2.59,0
mixed,mvrlu_list,1,2,467.4,2.60,0
mixed,mvrlu_list,1,4,1021.0,2.37,0
mixed,mvrlu_list,1,8,2089.8,0.71,0
mixed,mvrlu_list,1,16,4114.9,0.72,0
mixed,mvrlu_list,1,32,8275.9,0.67,0
mixed,mvrlu_list,1,64,16193.9,0.52,0
mixed,mvrlu_list,1,96,21142.7,0.37,0
mixed,mvrlu_list,1,128,29352.6,0.34,0
mixed,mvrlu_list,1,160,37642.1,0.24,0
mixed,mvrlu_list,1,191,42834.6,0.22,0
readceil,existence_list,1,1,692.0,0,0
readceil,existence_list,1,2,1384.4,0,0
readceil,existence_list,1,4,2774.2,0,0
readceil,existence_list,1,8,5553.4,0,0
readceil,existence_list,1,16,11106.1,0,0
readceil,existence_list,1,32,22200.7,0,0
readceil,existence_list,1,64,44354.7,0,0
readceil,existence_list,1,96,60402.9,0,0
readceil,existence_list,1,128,82469.0,0,0
readceil,existence_list,1,160,104484.7,0,0
readceil,existence_list,1,191,122620.3,0,0
readceil,existence_list,1,192,122964.9,0,0
mixed,existence_list,1,1,668.2,9.01,0
mixed,existence_list,1,2,1338.6,8.41,0
mixed,existence_list,1,4,2677.1,8.07,0
mixed,existence_list,1,8,3937.8,3.81,0
mixed,existence_list,1,16,7935.6,3.62,0
mixed,existence_list,1,32,15967.1,3.35,0
mixed,existence_list,1,64,33222.2,2.84,0
mixed,existence_list,1,96,41671.5,2.42,0
mixed,existence_list,1,128,55682.4,2.17,0
mixed,existence_list,1,160,72086.7,1.92,0
mixed,existence_list,1,191,89154.9,1.55,0
readceil,txn_sw_list,2,1,791.8,0,0
readceil,txn_sw_list,2,2,1588.7,0,0
readceil,txn_sw_list,2,4,3183.4,0,0
readceil,txn_sw_list,2,8,6367.6,0,0
readceil,txn_sw_list,2,16,12740.8,0,0
readceil,txn_sw_list,2,32,25476.4,0,0
readceil,txn_sw_list,2,64,50801.1,0,0
readceil,txn_sw_list,2,96,73581.9,0,0
readceil,txn_sw_list,2,128,98792.6,0,0
readceil,txn_sw_list,2,160,123912.3,0,0
readceil,txn_sw_list,2,191,148636.0,0,0
readceil,txn_sw_list,2,192,148612.4,0,0
mixed,txn_sw_list,2,1,767.6,7.16,0
mixed,txn_sw_list,2,2,1539.2,7.00,0
mixed,txn_sw_list,2,4,3084.6,6.84,0
mixed,txn_sw_list,2,8,4717.3,3.02,0
mixed,txn_sw_list,2,16,9537.5,2.90,0
mixed,txn_sw_list,2,32,19238.4,2.69,0
mixed,txn_sw_list,2,64,38861.1,2.41,0
mixed,txn_sw_list,2,96,58741.6,1.67,0
mixed,txn_sw_list,2,128,76759.2,1.62,0
mixed,txn_sw_list,2,160,95244.4,1.56,0
mixed,txn_sw_list,2,191,112650.1,1.23,0
readceil,txn_sw_fwd,2,1,778.6,0,0
readceil,txn_sw_fwd,2,2,1558.9,0,0
readceil,txn_sw_fwd,2,4,3122.6,0,0
readceil,txn_sw_fwd,2,8,6250.3,0,0
readceil,txn_sw_fwd,2,16,12500.3,0,0
readceil,txn_sw_fwd,2,32,24995.3,0,0
readceil,txn_sw_fwd,2,64,49904.0,0,0
readceil,txn_sw_fwd,2,96,71766.2,0,0
readceil,txn_sw_fwd,2,128,96565.3,0,0
readceil,txn_sw_fwd,2,160,121202.1,0,0
readceil,txn_sw_fwd,2,191,145374.4,0,0
readceil,txn_sw_fwd,2,192,146047.7,0,0
mixed,txn_sw_fwd,2,1,760.3,7.06,0
mixed,txn_sw_fwd,2,2,1527.9,6.93,0
mixed,txn_sw_fwd,2,4,3056.8,6.82,0
mixed,txn_sw_fwd,2,8,4741.8,3.02,0
mixed,txn_sw_fwd,2,16,9615.6,2.85,0
mixed,txn_sw_fwd,2,32,19496.9,2.56,0
mixed,txn_sw_fwd,2,64,38971.2,2.20,0
mixed,txn_sw_fwd,2,96,55909.8,1.59,0
mixed,txn_sw_fwd,2,128,73427.3,1.51,0
mixed,txn_sw_fwd,2,160,91893.9,1.43,0
mixed,txn_sw_fwd,2,191,106635.0,1.19,0
readceil,rculist,2,1,752.9,0,0
readceil,rculist,2,2,1510.7,0,0
readceil,rculist,2,4,3098.5,0,0
readceil,rculist,2,8,6174.9,0,0
readceil,rculist,2,16,12374.4,0,0
readceil,rculist,2,32,24616.7,0,0
readceil,rculist,2,64,49101.8,0,0
readceil,rculist,2,96,71802.3,0,0
readceil,rculist,2,128,96129.7,0,0
readceil,rculist,2,160,120407.7,0,0
readceil,rculist,2,191,142449.6,0,0
readceil,rculist,2,192,142853.8,0,0
mixed,rculist,2,1,746.0,14.11,0
mixed,rculist,2,2,1481.4,11.98,0
mixed,rculist,2,4,2970.5,11.33,0
mixed,rculist,2,8,4103.1,4.10,0
mixed,rculist,2,16,7254.4,4.02,0
mixed,rculist,2,32,12593.0,3.94,0
mixed,rculist,2,64,21917.8,3.85,0
mixed,rculist,2,96,25132.7,3.21,0
mixed,rculist,2,128,33031.9,3.13,0
mixed,rculist,2,160,41029.5,3.11,0
mixed,rculist,2,191,50020.3,2.92,0
readceil,rlu_defer,2,1,622.9,0,0
readceil,rlu_defer,2,2,1247.6,0,0
readceil,rlu_defer,2,4,2499.6,0,0
readceil,rlu_defer,2,8,5002.4,0,0
readceil,rlu_defer,2,16,10001.8,0,0
readceil,rlu_defer,2,32,19941.8,0,0
readceil,rlu_defer,2,64,37890.8,0,0
readceil,rlu_defer,2,96,48812.0,0,0
readceil,rlu_defer,2,128,68613.2,0,0
readceil,rlu_defer,2,160,88037.2,0,0
readceil,rlu_defer,2,191,98885.8,0,0
readceil,rlu_defer,2,192,99233.5,0,0
mixed,rlu_defer,2,1,498.2,2.46,0
mixed,rlu_defer,2,2,957.1,2.25,0
mixed,rlu_defer,2,4,1960.5,2.37,0
mixed,rlu_defer,2,8,3277.3,1.13,0
mixed,rlu_defer,2,16,6641.3,1.13,0
mixed,rlu_defer,2,32,13528.3,1.07,0
mixed,rlu_defer,2,64,26473.8,0.89,0
mixed,rlu_defer,2,96,34674.4,0.65,0
mixed,rlu_defer,2,128,48219.7,0.58,0
