mode,engine,run,x,read_mvisits,write_mops,viol
read,txn_sw_list,1,1,670.1,0,0
read,txn_sw_list,1,2,1343.9,0,0
read,txn_sw_list,1,4,2695.0,0,0
read,txn_sw_list,1,8,5390.8,0,0
read,txn_sw_list,1,16,10786.1,0,0
read,txn_sw_list,1,32,21563.7,0,0
read,txn_sw_list,1,64,42935.8,0,0
read,txn_sw_list,1,96,63646.6,0,0
read,txn_sw_list,1,128,85063.0,0,0
read,txn_sw_list,1,160,106276.6,0,0
read,txn_sw_list,1,191,125790.3,0,0
read,txn_sw_list,1,192,126469.9,0,0
read,txn_sw_list,2,1,778.3,0,0
read,txn_sw_list,2,2,1560.4,0,0
read,txn_sw_list,2,4,3129.6,0,0
read,txn_sw_list,2,8,6257.1,0,0
read,txn_sw_list,2,16,12513.7,0,0
read,txn_sw_list,2,32,25005.5,0,0
read,txn_sw_list,2,64,49841.8,0,0
read,txn_sw_list,2,96,72635.2,0,0
read,txn_sw_list,2,128,97457.8,0,0
read,txn_sw_list,2,160,122085.7,0,0
read,txn_sw_list,2,191,145484.1,0,0
read,txn_sw_list,2,192,145948.2,0,0
read,rculist,1,1,729.9,0,0
read,rculist,1,2,1472.6,0,0
read,rculist,1,4,2946.5,0,0
read,rculist,1,8,5892.6,0,0
read,rculist,1,16,11774.3,0,0
read,rculist,1,32,23554.1,0,0
read,rculist,1,64,46931.6,0,0
read,rculist,1,96,68920.0,0,0
read,rculist,1,128,92301.3,0,0
read,rculist,1,160,115570.7,0,0
read,rculist,1,191,136815.3,0,0
read,rculist,1,192,137368.3,0,0
read,rculist,2,1,734.5,0,0
read,rculist,2,2,1472.7,0,0
read,rculist,2,4,2949.9,0,0
read,rculist,2,8,5900.7,0,0
read,rculist,2,16,11806.9,0,0
read,rculist,2,32,23598.6,0,0
read,rculist,2,64,47009.4,0,0
read,rculist,2,96,68986.3,0,0
read,rculist,2,128,92377.6,0,0
read,rculist,2,160,115675.8,0,0
read,rculist,2,191,136915.8,0,0
read,rculist,2,192,137564.3,0,0
read,seqlock,1,1,760.8,0,0
read,seqlock,1,2,1525.8,0,0
read,seqlock,1,4,3056.1,0,0
read,seqlock,1,8,6119.0,0,0
read,seqlock,1,16,12256.6,0,0
read,seqlock,1,32,24497.2,0,0
read,seqlock,1,64,48788.3,0,0
read,seqlock,1,96,71740.6,0,0
read,seqlock,1,128,96077.9,0,0
read,seqlock,1,160,120164.3,0,0
read,seqlock,1,191,142395.7,0,0
read,seqlock,1,192,142901.7,0,0
read,seqlock,2,1,777.1,0,0
read,seqlock,2,2,1554.7,0,0
read,seqlock,2,4,3117.8,0,0
read,seqlock,2,8,6237.0,0,0
read,seqlock,2,16,12485.1,0,0
read,seqlock,2,32,24963.3,0,0
read,seqlock,2,64,49743.2,0,0
read,seqlock,2,96,72948.6,0,0
read,seqlock,2,128,97740.2,0,0
read,seqlock,2,160,122315.0,0,0
read,seqlock,2,191,144758.8,0,0
read,seqlock,2,192,145255.6,0,0
read,rwlock_r,1,1,779.5,0,0
read,rwlock_r,1,2,1560.5,0,0
read,rwlock_r,1,4,3120.1,0,0
read,rwlock_r,1,8,6244.2,0,0
read,rwlock_r,1,16,12435.3,0,0
read,rwlock_r,1,32,24859.2,0,0
read,rwlock_r,1,64,49513.9,0,0
read,rwlock_r,1,96,72673.7,0,0
read,rwlock_r,1,128,96749.6,0,0
read,rwlock_r,1,160,120040.2,0,0
read,rwlock_r,1,191,138495.2,0,0
read,rwlock_r,1,192,139207.8,0,0
read,rwlock_r,2,1,779.6,0,0
read,rwlock_r,2,2,1558.9,0,0
read,rwlock_r,2,4,3119.7,0,0
read,rwlock_r,2,8,6244.3,0,0
read,rwlock_r,2,16,12430.2,0,0
read,rwlock_r,2,32,24845.7,0,0
read,rwlock_r,2,64,49499.7,0,0
read,rwlock_r,2,96,72587.4,0,0
read,rwlock_r,2,128,96771.3,0,0
read,rwlock_r,2,160,120292.3,0,0
read,rwlock_r,2,191,139719.1,0,0
read,rwlock_r,2,192,140243.4,0,0
read,iscrw,1,1,764.5,0,0
read,iscrw,1,2,1528.0,0,0
read,iscrw,1,4,3058.6,0,0
read,iscrw,1,8,6119.7,0,0
read,iscrw,1,16,12014.5,0,0
read,iscrw,1,32,24001.4,0,0
read,iscrw,1,64,47886.9,0,0
read,iscrw,1,96,70526.4,0,0
read,iscrw,1,128,91910.0,0,0
read,iscrw,1,160,113589.5,0,0
read,iscrw,1,191,131562.7,0,0
read,iscrw,1,192,132145.3,0,0
read,iscrw,2,1,777.5,0,0
read,iscrw,2,2,1555.8,0,0
read,iscrw,2,4,3114.8,0,0
read,iscrw,2,8,6231.6,0,0
read,iscrw,2,16,12354.7,0,0
read,iscrw,2,32,24715.6,0,0
read,iscrw,2,64,49354.7,0,0
read,iscrw,2,96,72563.8,0,0
read,iscrw,2,128,95335.8,0,0
read,iscrw,2,160,115467.2,0,0
read,iscrw,2,191,132817.4,0,0
read,iscrw,2,192,133385.2,0,0
write,rculist_nolock,1,1,0,21.46,0
write,rculist_nolock,2,1,0,22.07,0
write,rculist_mutex,1,1,0,20.31,0
write,rculist_mutex,2,1,0,20.18,0
write,txn_nolock,1,1,0,7.21,0
write,txn_nolock,2,1,0,7.14,0
write,txn_mutex,1,1,0,7.13,0
write,txn_mutex,2,1,0,7.12,0
