panel,arm,cores,b,keys_per_sl,run,mmoves_s,ns_per_keymove,status
fixed,old-sole,1,3840,3840,1,1.2831,779.361,ok
fixed,old-sole,1,3840,3840,2,1.27161,786.405,ok
fixed,old-sole,1,3840,3840,3,1.28308,779.377,ok
fixed,old-sole,1,3840,3840,4,1.28314,779.338,ok
fixed,old-sole,1,3840,3840,5,1.28314,779.338,ok
fixed,old-helping,1,3840,3840,1,1.21411,823.647,ok
fixed,old-helping,1,3840,3840,2,1.21981,819.797,ok
fixed,old-helping,1,3840,3840,3,1.21407,823.673,ok
fixed,old-helping,1,3840,3840,4,1.21979,819.81,ok
fixed,old-helping,1,3840,3840,5,1.21407,823.674,ok
fixed,pin-sole,1,3840,3840,1,1.30611,765.634,ok
fixed,pin-sole,1,3840,3840,2,1.28887,775.875,ok
fixed,pin-sole,1,3840,3840,3,1.30038,769.004,ok
fixed,pin-sole,1,3840,3840,4,1.28889,775.86,ok
fixed,pin-sole,1,3840,3840,5,1.30036,769.018,ok
fixed,old-sole,2,1920,3840,1,2.53171,789.979,ok
fixed,old-sole,2,1920,3840,2,2.51729,794.505,ok
fixed,old-sole,2,1920,3840,3,2.53747,788.186,ok
fixed,old-sole,2,1920,3840,4,2.52589,791.8,ok
fixed,old-sole,2,1920,3840,5,2.5288,790.89,ok
fixed,old-helping,2,1920,3840,1,2.39939,833.544,ok
fixed,old-helping,2,1920,3840,2,2.40515,831.548,ok
fixed,old-helping,2,1920,3840,3,2.41094,829.553,ok
fixed,old-helping,2,1920,3840,4,2.40227,832.548,ok
fixed,old-helping,2,1920,3840,5,2.40513,831.557,ok
fixed,pin-sole,2,1920,3840,1,2.55765,781.966,ok
fixed,pin-sole,2,1920,3840,2,2.56051,781.095,ok
fixed,pin-sole,2,1920,3840,3,2.55755,781.998,ok
fixed,pin-sole,2,1920,3840,4,2.56332,780.237,ok
fixed,pin-sole,2,1920,3840,5,2.55754,782.002,ok
fixed,old-sole,4,960,3840,1,4.92535,812.124,ok
fixed,old-sole,4,960,3840,2,4.9239,812.365,ok
fixed,old-sole,4,960,3840,3,4.91383,814.029,ok
fixed,old-sole,4,960,3840,4,4.91959,813.076,ok
fixed,old-sole,4,960,3840,5,4.92531,812.132,ok
fixed,old-helping,4,960,3840,1,4.69372,852.203,ok
fixed,old-helping,4,960,3840,2,4.70095,850.893,ok
fixed,old-helping,4,960,3840,3,4.67503,855.609,ok
fixed,old-helping,4,960,3840,4,4.68516,853.759,ok
fixed,old-helping,4,960,3840,5,4.69377,852.194,ok
fixed,pin-sole,4,960,3840,1,4.96982,804.857,ok
fixed,pin-sole,4,960,3840,2,4.94248,809.31,ok
fixed,pin-sole,4,960,3840,3,4.93114,811.172,ok
fixed,pin-sole,4,960,3840,4,4.95251,807.672,ok
fixed,pin-sole,4,960,3840,5,4.97856,803.445,ok
fixed,old-sole,8,480,3840,1,9.55564,837.202,ok
fixed,old-sole,8,480,3840,2,9.54078,838.506,ok
fixed,old-sole,8,480,3840,3,9.57936,835.129,ok
fixed,old-sole,8,480,3840,4,9.56738,836.175,ok
fixed,old-sole,8,480,3840,5,9.52638,839.774,ok
fixed,old-helping,8,480,3840,1,9.11353,877.816,ok
fixed,old-helping,8,480,3840,2,9.09986,879.135,ok
fixed,old-helping,8,480,3840,3,9.08341,880.727,ok
fixed,old-helping,8,480,3840,4,9.08317,880.749,ok
fixed,old-helping,8,480,3840,5,9.09116,879.976,ok
fixed,pin-sole,8,480,3840,1,9.61029,832.441,ok
fixed,pin-sole,8,480,3840,2,9.64728,829.25,ok
fixed,pin-sole,8,480,3840,3,9.66996,827.305,ok
fixed,pin-sole,8,480,3840,4,9.59674,833.616,ok
fixed,pin-sole,8,480,3840,5,9.59239,833.995,ok
fixed,old-sole,16,240,3840,1,17.046,938.639,ok
fixed,old-sole,16,240,3840,2,17.01,940.624,ok
fixed,old-sole,16,240,3840,3,17.0819,936.665,ok
fixed,old-sole,16,240,3840,4,16.9515,943.871,ok
fixed,old-sole,16,240,3840,5,17.0348,939.252,ok
fixed,old-helping,16,240,3840,1,15.8133,1011.81,ok
fixed,old-helping,16,240,3840,2,15.7777,1014.09,ok
fixed,old-helping,16,240,3840,3,15.7811,1013.87,ok
fixed,old-helping,16,240,3840,4,15.7834,1013.72,ok
fixed,old-helping,16,240,3840,5,15.8148,1011.71,ok
fixed,pin-sole,16,240,3840,1,17.3452,922.445,ok
fixed,pin-sole,16,240,3840,2,17.4029,919.387,ok
fixed,pin-sole,16,240,3840,3,17.2903,925.376,ok
fixed,pin-sole,16,240,3840,4,17.4369,917.596,ok
fixed,pin-sole,16,240,3840,5,17.4064,919.203,ok
fixed,old-sole,32,120,3840,1,28.2456,1132.92,ok
fixed,old-sole,32,120,3840,2,28.3328,1129.43,ok
fixed,old-sole,32,120,3840,3,28.3253,1129.73,ok
fixed,old-sole,32,120,3840,4,28.3413,1129.09,ok
fixed,old-sole,32,120,3840,5,28.2515,1132.68,ok
fixed,old-helping,32,120,3840,1,25.5094,1254.44,ok
fixed,old-helping,32,120,3840,2,25.5708,1251.43,ok
fixed,old-helping,32,120,3840,3,25.5308,1253.39,ok
fixed,old-helping,32,120,3840,4,25.4731,1256.22,ok
fixed,old-helping,32,120,3840,5,25.4732,1256.22,ok
fixed,pin-sole,32,120,3840,1,28.9349,1105.93,ok
fixed,pin-sole,32,120,3840,2,28.9125,1106.79,ok
fixed,pin-sole,32,120,3840,3,28.6349,1117.52,ok
fixed,pin-sole,32,120,3840,4,28.6446,1117.14,ok
fixed,pin-sole,32,120,3840,5,28.5763,1119.81,ok
fixed,old-sole,64,60,3840,1,40.2045,1591.86,ok
fixed,old-sole,64,60,3840,2,40.1487,1594.07,ok
fixed,old-sole,64,60,3840,3,40.8565,1566.46,ok
fixed,old-sole,64,60,3840,4,40.7836,1569.26,ok
fixed,old-sole,64,60,3840,5,40.8492,1566.74,ok
fixed,old-helping,64,60,3840,1,35.8504,1785.2,ok
fixed,old-helping,64,60,3840,2,35.7473,1790.34,ok
