cores,arm,run,mmoves_s
1,pin-sole,1,1.30034
1,pin-sole,2,1.28887
1,pin-sole,3,1.30034
1,pin-serial,1,1.28887
1,pin-serial,2,1.3004
1,pin-serial,3,1.27737
2,pin-sole,1,2.56617
2,pin-sole,2,2.56047
2,pin-sole,3,2.56047
2,pin-serial,1,1.13353
2,pin-serial,2,1.05869
2,pin-serial,3,1.08746
4,pin-sole,1,4.96835
4,pin-sole,2,4.97706
4,pin-sole,3,4.96705
4,pin-serial,1,0.191315
4,pin-serial,2,0.189881
4,pin-serial,3,0.189875
8,pin-sole,1,9.66503
8,pin-sole,2,9.65532
8,pin-sole,3,9.63628
8,pin-serial,1,0.195635
8,pin-serial,2,0.189883
8,pin-serial,3,0.195635
16,pin-sole,1,17.3247
16,pin-sole,2,17.342
16,pin-sole,3,17.3555
16,pin-serial,1,0.172619
16,pin-serial,2,0.172618
16,pin-serial,3,0.172621
32,pin-sole,1,28.6585
32,pin-sole,2,28.657
32,pin-sole,3,28.6525
32,pin-serial,1,0.166871
32,pin-serial,2,0.166872
32,pin-serial,3,0.166867
64,pin-sole,1,41.9806
64,pin-sole,2,41.952
64,pin-sole,3,41.9943
64,pin-serial,1,0.092063
64,pin-serial,2,0.126588
64,pin-serial,3,0.0575383
128,pin-sole,1,43.4552
128,pin-sole,2,43.2423
128,pin-sole,3,43.4113
128,pin-serial,1,0.0460313
128,pin-serial,2,0.0460304
128,pin-serial,3,0.0460304
192,pin-sole,1,42.0952
192,pin-sole,2,41.4576
192,pin-sole,3,41.475
192,pin-serial,1,0.0402793
192,pin-serial,2,0.0403077
192,pin-serial,3,0.0402786
