sweep,arm,writers,readers,rate_per_writer,total_target,list_size,churn,run,write_mops,read_mvisits,violations,status
D,txn_list,1,32,200000,200000,128,64,1,0.11,22353.1,0,ok
D,txn_list,1,32,200000,200000,128,64,2,0.11,22649.3,0,ok
D,txn_list,1,32,200000,200000,128,64,3,0.11,22107.1,0,ok
D,txn_sw_list,1,32,200000,200000,128,64,1,0.12,21745.0,0,ok
D,txn_sw_list,1,32,200000,200000,128,64,2,0.11,21521.0,0,ok
D,txn_sw_list,1,32,200000,200000,128,64,3,0.12,23513.9,0,ok
D,rculist,1,32,200000,200000,128,64,1,0.14,26673.8,0,ok
D,rculist,1,32,200000,200000,128,64,2,0.14,26263.5,0,ok
D,rculist,1,32,200000,200000,128,64,3,0.14,25267.0,0,ok
D,txn_list,2,32,100000,200000,256,128,1,0.19,20685.4,0,ok
D,txn_list,2,32,100000,200000,256,128,2,0.20,18317.0,0,ok
D,txn_list,2,32,100000,200000,256,128,3,0.20,20047.9,0,ok
D,txn_sw_list,2,32,100000,200000,256,128,1,0.20,19899.9,0,ok
D,txn_sw_list,2,32,100000,200000,256,128,2,0.20,20713.0,0,ok
D,txn_sw_list,2,32,100000,200000,256,128,3,0.20,20898.9,0,ok
D,rculist,2,32,100000,200000,256,128,1,0.20,21584.7,0,ok
D,rculist,2,32,100000,200000,256,128,2,0.20,22324.4,0,ok
D,rculist,2,32,100000,200000,256,128,3,0.20,23312.8,0,ok
D,txn_list,4,32,50000,200000,512,256,1,0.20,22230.4,0,ok
D,txn_list,4,32,50000,200000,512,256,2,0.20,20967.1,0,ok
D,txn_list,4,32,50000,200000,512,256,3,0.20,22254.1,0,ok
D,txn_sw_list,4,32,50000,200000,512,256,1,0.20,22824.0,0,ok
D,txn_sw_list,4,32,50000,200000,512,256,2,0.20,22884.4,0,ok
D,txn_sw_list,4,32,50000,200000,512,256,3,0.20,22946.2,0,ok
D,rculist,4,32,50000,200000,512,256,1,0.20,23420.3,0,ok
D,rculist,4,32,50000,200000,512,256,2,0.20,23386.9,0,ok
D,rculist,4,32,50000,200000,512,256,3,0.20,24501.4,0,ok
D,txn_list,8,32,25000,200000,1024,512,1,0.20,22740.5,0,ok
D,txn_list,8,32,25000,200000,1024,512,2,0.20,23493.5,0,ok
D,txn_list,8,32,25000,200000,1024,512,3,0.20,23411.8,0,ok
D,txn_sw_list,8,32,25000,200000,1024,512,1,0.20,22008.2,0,ok
D,txn_sw_list,8,32,25000,200000,1024,512,2,0.20,22673.6,0,ok
D,txn_sw_list,8,32,25000,200000,1024,512,3,0.20,22137.8,0,ok
D,rculist,8,32,25000,200000,1024,512,1,0.20,22689.7,0,ok
D,rculist,8,32,25000,200000,1024,512,2,0.20,23024.1,0,ok
D,rculist,8,32,25000,200000,1024,512,3,0.20,22661.5,0,ok
D,txn_list,16,32,12500,200000,2048,1024,1,0.20,21810.1,0,ok
D,txn_list,16,32,12500,200000,2048,1024,2,0.20,20112.1,0,ok
D,txn_list,16,32,12500,200000,2048,1024,3,0.20,20837.9,0,ok
D,txn_sw_list,16,32,12500,200000,2048,1024,1,0.20,20474.3,0,ok
D,txn_sw_list,16,32,12500,200000,2048,1024,2,0.20,20191.4,0,ok
D,txn_sw_list,16,32,12500,200000,2048,1024,3,0.20,20545.3,0,ok
D,rculist,16,32,12500,200000,2048,1024,1,0.20,21061.5,0,ok
D,rculist,16,32,12500,200000,2048,1024,2,0.20,20897.9,0,ok
D,rculist,16,32,12500,200000,2048,1024,3,0.20,21517.5,0,ok
D,txn_list,32,32,6250,200000,4096,2048,1,0.20,20157.2,0,ok
D,txn_list,32,32,6250,200000,4096,2048,2,0.20,19337.7,0,ok
D,txn_list,32,32,6250,200000,4096,2048,3,0.20,19240.8,0,ok
D,txn_sw_list,32,32,6250,200000,4096,2048,1,0.20,19635.9,0,ok
D,txn_sw_list,32,32,6250,200000,4096,2048,2,0.20,19688.1,0,ok
D,txn_sw_list,32,32,6250,200000,4096,2048,3,0.20,19220.9,0,ok
D,rculist,32,32,6250,200000,4096,2048,1,0.20,19801.1,0,ok
D,rculist,32,32,6250,200000,4096,2048,2,0.20,19707.3,0,ok
D,rculist,32,32,6250,200000,4096,2048,3,0.20,19649.1,0,ok
D,txn_list,64,32,3125,200000,8192,4096,1,0.20,18535.9,0,ok
