sweep,arm,writers,readers,list_size,churn,run,write_mops,read_mvisits,violations,status
scaling,txn_list,1,0,128,64,1,6.65,0.0,0,ok
scaling,txn_list,1,0,128,64,2,6.74,0.0,0,ok
scaling,txn_list,1,0,128,64,3,6.73,0.0,0,ok
scaling,txn_sw_list,1,0,128,64,1,6.71,0.0,0,ok
scaling,txn_sw_list,1,0,128,64,2,6.75,0.0,0,ok
scaling,txn_sw_list,1,0,128,64,3,6.76,0.0,0,ok
scaling,mutex,1,0,128,64,1,106.49,0.0,0,ok
scaling,mutex,1,0,128,64,2,114.29,0.0,0,ok
scaling,mutex,1,0,128,64,3,113.90,0.0,0,ok
scaling,txn_list,2,0,256,128,1,10.89,0.0,0,ok
scaling,txn_list,2,0,256,128,2,11.05,0.0,0,ok
scaling,txn_list,2,0,256,128,3,10.85,0.0,0,ok
scaling,txn_sw_list,2,0,256,128,1,6.87,0.0,0,ok
scaling,txn_sw_list,2,0,256,128,2,6.55,0.0,0,ok
scaling,txn_sw_list,2,0,256,128,3,6.73,0.0,0,ok
scaling,mutex,2,0,256,128,1,19.55,0.0,0,ok
scaling,mutex,2,0,256,128,2,20.32,0.0,0,ok
scaling,mutex,2,0,256,128,3,19.45,0.0,0,ok
scaling,txn_list,4,0,512,256,1,19.26,0.0,0,ok
scaling,txn_list,4,0,512,256,2,18.47,0.0,0,ok
scaling,txn_list,4,0,512,256,3,18.71,0.0,0,ok
scaling,txn_sw_list,4,0,512,256,1,4.41,0.0,0,ok
scaling,txn_sw_list,4,0,512,256,2,4.41,0.0,0,ok
scaling,txn_sw_list,4,0,512,256,3,4.36,0.0,0,ok
scaling,mutex,4,0,512,256,1,9.79,0.0,0,ok
scaling,mutex,4,0,512,256,2,9.59,0.0,0,ok
scaling,mutex,4,0,512,256,3,9.68,0.0,0,ok
scaling,txn_list,8,0,1024,512,1,36.00,0.0,0,ok
scaling,txn_list,8,0,1024,512,2,35.32,0.0,0,ok
scaling,txn_list,8,0,1024,512,3,35.30,0.0,0,ok
scaling,txn_sw_list,8,0,1024,512,1,3.34,0.0,0,ok
scaling,txn_sw_list,8,0,1024,512,2,3.28,0.0,0,ok
scaling,txn_sw_list,8,0,1024,512,3,3.33,0.0,0,ok
scaling,mutex,8,0,1024,512,1,8.48,0.0,0,ok
scaling,mutex,8,0,1024,512,2,8.48,0.0,0,ok
scaling,mutex,8,0,1024,512,3,8.37,0.0,0,ok
scaling,txn_list,16,0,2048,1024,1,42.91,0.0,0,ok
scaling,txn_list,16,0,2048,1024,2,36.09,0.0,0,ok
scaling,txn_list,16,0,2048,1024,3,36.16,0.0,0,ok
scaling,txn_sw_list,16,0,2048,1024,1,1.61,0.0,0,ok
scaling,txn_sw_list,16,0,2048,1024,2,1.88,0.0,0,ok
scaling,txn_sw_list,16,0,2048,1024,3,1.58,0.0,0,ok
scaling,mutex,16,0,2048,1024,1,2.43,0.0,0,ok
scaling,mutex,16,0,2048,1024,2,3.81,0.0,0,ok
scaling,mutex,16,0,2048,1024,3,2.42,0.0,0,ok
scaling,txn_list,32,0,4096,2048,1,82.54,0.0,0,ok
scaling,txn_list,32,0,4096,2048,2,81.64,0.0,0,ok
scaling,txn_list,32,0,4096,2048,3,74.26,0.0,0,ok
scaling,txn_sw_list,32,0,4096,2048,1,1.25,0.0,0,ok
scaling,txn_sw_list,32,0,4096,2048,2,1.65,0.0,0,ok
scaling,txn_sw_list,32,0,4096,2048,3,1.25,0.0,0,ok
scaling,mutex,32,0,4096,2048,1,1.65,0.0,0,ok
scaling,mutex,32,0,4096,2048,2,1.66,0.0,0,ok
scaling,mutex,32,0,4096,2048,3,2.95,0.0,0,ok
scaling,txn_list,64,0,8192,4096,1,104.99,0.0,0,ok
scaling,txn_list,64,0,8192,4096,2,105.35,0.0,0,ok
scaling,txn_list,64,0,8192,4096,3,104.18,0.0,0,ok
scaling,txn_sw_list,64,0,8192,4096,1,1.03,0.0,0,ok
scaling,txn_sw_list,64,0,8192,4096,2,1.09,0.0,0,ok
scaling,txn_sw_list,64,0,8192,4096,3,1.08,0.0,0,ok
scaling,mutex,64,0,8192,4096,1,1.29,0.0,0,ok
scaling,mutex,64,0,8192,4096,2,2.46,0.0,0,ok
scaling,mutex,64,0,8192,4096,3,2.39,0.0,0,ok
scaling,txn_list,96,0,12288,6144,1,133.93,0.0,0,ok
scaling,txn_list,96,0,12288,6144,2,135.60,0.0,0,ok
scaling,txn_list,96,0,12288,6144,3,135.72,0.0,0,ok
scaling,txn_sw_list,96,0,12288,6144,1,0.99,0.0,0,ok
scaling,txn_sw_list,96,0,12288,6144,2,1.09,0.0,0,ok
scaling,txn_sw_list,96,0,12288,6144,3,1.65,0.0,0,ok
scaling,mutex,96,0,12288,6144,1,1.24,0.0,0,ok
scaling,mutex,96,0,12288,6144,2,1.24,0.0,0,ok
scaling,mutex,96,0,12288,6144,3,1.23,0.0,0,ok
scaling,txn_list,128,0,16384,8192,1,182.44,0.0,0,ok
scaling,txn_list,128,0,16384,8192,2,207.54,0.0,0,ok
scaling,txn_list,128,0,16384,8192,3,183.43,0.0,0,ok
scaling,txn_sw_list,128,0,16384,8192,1,1.00,0.0,0,ok
scaling,txn_sw_list,128,0,16384,8192,2,0.99,0.0,0,ok
scaling,txn_sw_list,128,0,16384,8192,3,1.09,0.0,0,ok
scaling,mutex,128,0,16384,8192,1,1.31,0.0,0,ok
scaling,mutex,128,0,16384,8192,2,1.33,0.0,0,ok
scaling,mutex,128,0,16384,8192,3,1.32,0.0,0,ok
scaling,txn_list,160,0,20480,10240,1,220.63,0.0,0,ok
scaling,txn_list,160,0,20480,10240,2,240.35,0.0,0,ok
scaling,txn_list,160,0,20480,10240,3,226.38,0.0,0,ok
scaling,txn_sw_list,160,0,20480,10240,1,1.12,0.0,0,ok
scaling,txn_sw_list,160,0,20480,10240,2,1.11,0.0,0,ok
scaling,txn_sw_list,160,0,20480,10240,3,1.05,0.0,0,ok
scaling,mutex,160,0,20480,10240,1,1.37,0.0,0,ok
scaling,mutex,160,0,20480,10240,2,1.46,0.0,0,ok
scaling,mutex,160,0,20480,10240,3,1.44,0.0,0,ok
scaling,txn_list,191,0,24448,12224,1,280.14,0.0,0,ok
scaling,txn_list,191,0,24448,12224,2,304.53,0.0,0,ok
scaling,txn_list,191,0,24448,12224,3,307.85,0.0,0,ok
scaling,txn_sw_list,191,0,24448,12224,1,1.09,0.0,0,ok
scaling,txn_sw_list,191,0,24448,12224,2,1.11,0.0,0,ok
scaling,txn_sw_list,191,0,24448,12224,3,1.09,0.0,0,ok
scaling,mutex,191,0,24448,12224,1,1.64,0.0,0,ok
scaling,mutex,191,0,24448,12224,2,1.65,0.0,0,ok
scaling,mutex,191,0,24448,12224,3,1.63,0.0,0,ok
scaling,txn_list,192,0,24576,12288,1,314.99,0.0,0,ok
scaling,txn_list,192,0,24576,12288,2,325.01,0.0,0,ok
scaling,txn_list,192,0,24576,12288,3,326.15,0.0,0,ok
scaling,txn_sw_list,192,0,24576,12288,1,1.13,0.0,0,ok
scaling,txn_sw_list,192,0,24576,12288,2,1.17,0.0,0,ok
scaling,txn_sw_list,192,0,24576,12288,3,1.16,0.0,0,ok
scaling,mutex,192,0,24576,12288,1,1.63,0.0,0,ok
scaling,mutex,192,0,24576,12288,2,1.65,0.0,0,ok
scaling,mutex,192,0,24576,12288,3,1.64,0.0,0,ok
contention,txn_list,1,0,2000,1000,1,4.08,0.0,0,ok
contention,txn_list,1,0,2000,1000,2,4.12,0.0,0,ok
contention,txn_list,1,0,2000,1000,3,4.08,0.0,0,ok
contention,txn_sw_list,1,0,2000,1000,1,7.55,0.0,0,ok
contention,txn_sw_list,1,0,2000,1000,2,7.63,0.0,0,ok
contention,txn_sw_list,1,0,2000,1000,3,7.69,0.0,0,ok
contention,mutex,1,0,2000,1000,1,110.89,0.0,0,ok
contention,mutex,1,0,2000,1000,2,111.13,0.0,0,ok
contention,mutex,1,0,2000,1000,3,107.56,0.0,0,ok
contention,txn_list,2,0,2000,1000,1,6.40,0.0,0,ok
contention,txn_list,2,0,2000,1000,2,6.36,0.0,0,ok
contention,txn_list,2,0,2000,1000,3,6.40,0.0,0,ok
contention,txn_sw_list,2,0,2000,1000,1,6.57,0.0,0,ok
contention,txn_sw_list,2,0,2000,1000,2,7.07,0.0,0,ok
contention,txn_sw_list,2,0,2000,1000,3,6.72,0.0,0,ok
contention,mutex,2,0,2000,1000,1,16.50,0.0,0,ok
contention,mutex,2,0,2000,1000,2,16.67,0.0,0,ok
contention,mutex,2,0,2000,1000,3,16.35,0.0,0,ok
contention,txn_list,4,0,2000,1000,1,10.70,0.0,0,ok
contention,txn_list,4,0,2000,1000,2,10.81,0.0,0,ok
contention,txn_list,4,0,2000,1000,3,10.71,0.0,0,ok
contention,txn_sw_list,4,0,2000,1000,1,4.51,0.0,0,ok
contention,txn_sw_list,4,0,2000,1000,2,4.29,0.0,0,ok
contention,txn_sw_list,4,0,2000,1000,3,4.52,0.0,0,ok
contention,mutex,4,0,2000,1000,1,10.43,0.0,0,ok
contention,mutex,4,0,2000,1000,2,10.52,0.0,0,ok
contention,mutex,4,0,2000,1000,3,10.16,0.0,0,ok
contention,txn_list,8,0,2000,1000,1,18.25,0.0,0,ok
contention,txn_list,8,0,2000,1000,2,18.21,0.0,0,ok
contention,txn_list,8,0,2000,1000,3,18.77,0.0,0,ok
contention,txn_sw_list,8,0,2000,1000,1,3.41,0.0,0,ok
contention,txn_sw_list,8,0,2000,1000,2,3.44,0.0,0,ok
contention,txn_sw_list,8,0,2000,1000,3,3.42,0.0,0,ok
contention,mutex,8,0,2000,1000,1,8.76,0.0,0,ok
contention,mutex,8,0,2000,1000,2,8.83,0.0,0,ok
contention,mutex,8,0,2000,1000,3,8.76,0.0,0,ok
contention,txn_list,16,0,2000,1000,1,16.60,0.0,0,ok
contention,txn_list,16,0,2000,1000,2,17.80,0.0,0,ok
contention,txn_list,16,0,2000,1000,3,14.93,0.0,0,ok
contention,txn_sw_list,16,0,2000,1000,1,1.66,0.0,0,ok
contention,txn_sw_list,16,0,2000,1000,2,1.61,0.0,0,ok
contention,txn_sw_list,16,0,2000,1000,3,1.60,0.0,0,ok
contention,mutex,16,0,2000,1000,1,3.68,0.0,0,ok
contention,mutex,16,0,2000,1000,2,2.41,0.0,0,ok
contention,mutex,16,0,2000,1000,3,2.50,0.0,0,ok
contention,txn_list,32,0,2000,1000,1,23.85,0.0,0,ok
contention,txn_list,32,0,2000,1000,2,21.30,0.0,0,ok
contention,txn_list,32,0,2000,1000,3,19.89,0.0,0,ok
contention,txn_sw_list,32,0,2000,1000,1,1.14,0.0,0,ok
contention,txn_sw_list,32,0,2000,1000,2,1.26,0.0,0,ok
contention,txn_sw_list,32,0,2000,1000,3,1.22,0.0,0,ok
contention,mutex,32,0,2000,1000,1,1.58,0.0,0,ok
contention,mutex,32,0,2000,1000,2,1.48,0.0,0,ok
contention,mutex,32,0,2000,1000,3,1.59,0.0,0,ok
contention,txn_list,64,0,2000,1000,1,32.27,0.0,0,ok
contention,txn_list,64,0,2000,1000,2,31.72,0.0,0,ok
contention,txn_list,64,0,2000,1000,3,31.82,0.0,0,ok
contention,txn_sw_list,64,0,2000,1000,1,0.97,0.0,0,ok
contention,txn_sw_list,64,0,2000,1000,2,1.55,0.0,0,ok
contention,txn_sw_list,64,0,2000,1000,3,1.09,0.0,0,ok
contention,mutex,64,0,2000,1000,1,1.28,0.0,0,ok
contention,mutex,64,0,2000,1000,2,1.30,0.0,0,ok
contention,mutex,64,0,2000,1000,3,2.38,0.0,0,ok
contention,txn_list,96,0,2000,1000,1,46.53,0.0,0,ok
contention,txn_list,96,0,2000,1000,2,39.03,0.0,0,ok
contention,txn_list,96,0,2000,1000,3,44.60,0.0,0,ok
contention,txn_sw_list,96,0,2000,1000,1,0.90,0.0,0,ok
contention,txn_sw_list,96,0,2000,1000,2,0.91,0.0,0,ok
contention,txn_sw_list,96,0,2000,1000,3,1.06,0.0,0,ok
contention,mutex,96,0,2000,1000,1,2.83,0.0,0,ok
contention,mutex,96,0,2000,1000,2,2.71,0.0,0,ok
contention,mutex,96,0,2000,1000,3,1.33,0.0,0,ok
contention,txn_list,128,0,2000,1000,1,42.21,0.0,0,ok
contention,txn_list,128,0,2000,1000,2,41.77,0.0,0,ok
contention,txn_list,128,0,2000,1000,3,47.60,0.0,0,ok
contention,txn_sw_list,128,0,2000,1000,1,1.27,0.0,0,ok
contention,txn_sw_list,128,0,2000,1000,2,0.97,0.0,0,ok
contention,txn_sw_list,128,0,2000,1000,3,1.26,0.0,0,ok
contention,mutex,128,0,2000,1000,1,1.60,0.0,0,ok
contention,mutex,128,0,2000,1000,2,1.63,0.0,0,ok
contention,mutex,128,0,2000,1000,3,1.60,0.0,0,ok
contention,txn_list,160,0,2000,1000,1,47.79,0.0,0,ok
contention,txn_list,160,0,2000,1000,2,43.57,0.0,0,ok
contention,txn_list,160,0,2000,1000,3,45.56,0.0,0,ok
contention,txn_sw_list,160,0,2000,1000,1,1.01,0.0,0,ok
contention,txn_sw_list,160,0,2000,1000,2,0.99,0.0,0,ok
contention,txn_sw_list,160,0,2000,1000,3,1.00,0.0,0,ok
contention,mutex,160,0,2000,1000,1,2.24,0.0,0,ok
contention,mutex,160,0,2000,1000,2,2.22,0.0,0,ok
contention,mutex,160,0,2000,1000,3,2.23,0.0,0,ok
contention,txn_list,191,0,2000,1000,1,46.91,0.0,0,ok
contention,txn_list,191,0,2000,1000,2,47.43,0.0,0,ok
contention,txn_list,191,0,2000,1000,3,48.39,0.0,0,ok
contention,txn_sw_list,191,0,2000,1000,1,1.11,0.0,0,ok
contention,txn_sw_list,191,0,2000,1000,2,1.08,0.0,0,ok
contention,txn_sw_list,191,0,2000,1000,3,1.06,0.0,0,ok
contention,mutex,191,0,2000,1000,1,3.68,0.0,0,ok
contention,mutex,191,0,2000,1000,2,3.53,0.0,0,ok
contention,mutex,191,0,2000,1000,3,3.87,0.0,0,ok
contention,txn_list,192,0,2000,1000,1,47.64,0.0,0,ok
contention,txn_list,192,0,2000,1000,2,47.43,0.0,0,ok
contention,txn_list,192,0,2000,1000,3,47.54,0.0,0,ok
contention,txn_sw_list,192,0,2000,1000,1,1.13,0.0,0,ok
contention,txn_sw_list,192,0,2000,1000,2,1.10,0.0,0,ok
contention,txn_sw_list,192,0,2000,1000,3,1.09,0.0,0,ok
contention,mutex,192,0,2000,1000,1,3.79,0.0,0,ok
contention,mutex,192,0,2000,1000,2,3.93,0.0,0,ok
contention,mutex,192,0,2000,1000,3,3.89,0.0,0,ok
readers,txn_list,1,32,128,64,1,0.48,6442.7,0,ok
readers,txn_list,1,32,128,64,2,0.57,8037.8,0,ok
readers,txn_list,1,32,128,64,3,0.49,6410.5,0,ok
readers,txn_sw_list,1,32,128,64,1,0.94,6132.2,0,ok
readers,txn_sw_list,1,32,128,64,2,1.22,8873.5,0,ok
readers,txn_sw_list,1,32,128,64,3,0.93,6019.6,0,ok
readers,mutex,1,32,128,64,1,0.03,219.4,0,ok
readers,mutex,1,32,128,64,2,0.02,185.7,0,ok
readers,mutex,1,32,128,64,3,0.03,195.6,0,ok
readers,txn_list,2,32,256,128,1,2.20,4909.9,0,ok
readers,txn_list,2,32,256,128,2,2.96,2034.9,0,ok
readers,txn_list,2,32,256,128,3,2.24,4783.7,0,ok
readers,txn_sw_list,2,32,256,128,1,0.79,15245.6,0,ok
readers,txn_sw_list,2,32,256,128,2,1.16,14995.6,0,ok
readers,txn_sw_list,2,32,256,128,3,0.80,14162.3,0,ok
readers,mutex,2,32,256,128,1,0.04,316.6,0,ok
readers,mutex,2,32,256,128,2,0.03,310.6,0,ok
readers,mutex,2,32,256,128,3,0.03,291.7,0,ok
readers,txn_list,4,32,512,256,1,9.10,1445.5,0,ok
readers,txn_list,4,32,512,256,2,5.05,2645.4,0,ok
readers,txn_list,4,32,512,256,3,8.97,1441.0,0,ok
readers,txn_sw_list,4,32,512,256,1,0.77,15007.8,0,ok
readers,txn_sw_list,4,32,512,256,2,0.77,14825.1,0,ok
readers,txn_sw_list,4,32,512,256,3,1.03,16955.0,0,ok
readers,mutex,4,32,512,256,1,0.01,409.8,0,ok
readers,mutex,4,32,512,256,2,0.01,397.7,0,ok
readers,mutex,4,32,512,256,3,0.01,392.4,0,ok
readers,txn_list,8,32,1024,512,1,11.54,5231.7,0,ok
readers,txn_list,8,32,1024,512,2,10.15,4498.7,0,ok
readers,txn_list,8,32,1024,512,3,9.68,4220.0,0,ok
readers,txn_sw_list,8,32,1024,512,1,1.05,17951.2,0,ok
readers,txn_sw_list,8,32,1024,512,2,1.06,17991.6,0,ok
readers,txn_sw_list,8,32,1024,512,3,0.88,16749.2,0,ok
readers,mutex,8,32,1024,512,1,0.02,551.8,0,ok
readers,mutex,8,32,1024,512,2,0.01,543.2,0,ok
readers,mutex,8,32,1024,512,3,0.01,550.8,0,ok
readers,txn_list,16,32,2048,1024,1,20.66,6411.3,0,ok
readers,txn_list,16,32,2048,1024,2,21.38,6116.6,0,ok
readers,txn_list,16,32,2048,1024,3,19.13,5928.0,0,ok
readers,txn_sw_list,16,32,2048,1024,1,0.83,18692.7,0,ok
readers,txn_sw_list,16,32,2048,1024,2,0.85,19046.4,0,ok
readers,txn_sw_list,16,32,2048,1024,3,0.89,19348.6,0,ok
readers,mutex,16,32,2048,1024,1,0.00,598.2,0,ok
readers,mutex,16,32,2048,1024,2,0.00,589.6,0,ok
readers,mutex,16,32,2048,1024,3,0.00,598.4,0,ok
readers,txn_list,32,32,4096,2048,1,38.04,6230.8,0,ok
readers,txn_list,32,32,4096,2048,2,41.66,6071.5,0,ok
readers,txn_list,32,32,4096,2048,3,42.45,6010.5,0,ok
readers,txn_sw_list,32,32,4096,2048,1,0.93,17737.9,0,ok
readers,txn_sw_list,32,32,4096,2048,2,0.78,18106.8,0,ok
readers,txn_sw_list,32,32,4096,2048,3,0.80,17689.4,0,ok
readers,mutex,32,32,4096,2048,1,0.00,641.7,0,ok
readers,mutex,32,32,4096,2048,2,0.00,641.6,0,ok
readers,mutex,32,32,4096,2048,3,0.00,640.7,0,ok
readers,txn_list,64,32,8192,4096,1,70.81,6644.1,0,ok
readers,txn_list,64,32,8192,4096,2,86.56,6068.0,0,ok
readers,txn_list,64,32,8192,4096,3,72.19,6444.9,0,ok
readers,txn_sw_list,64,32,8192,4096,1,0.89,16925.8,0,ok
readers,txn_sw_list,64,32,8192,4096,2,0.75,16912.1,0,ok
readers,txn_sw_list,64,32,8192,4096,3,0.88,16959.6,0,ok
readers,mutex,64,32,8192,4096,1,0.01,724.7,0,ok
readers,mutex,64,32,8192,4096,2,0.01,699.8,0,ok
readers,mutex,64,32,8192,4096,3,0.01,719.2,0,ok
readers,txn_list,96,32,12288,6144,1,125.21,2813.9,0,ok
readers,txn_list,96,32,12288,6144,2,125.52,2829.7,0,ok
readers,txn_list,96,32,12288,6144,3,124.80,2862.7,0,ok
readers,txn_sw_list,96,32,12288,6144,1,0.79,16699.7,0,ok
readers,txn_sw_list,96,32,12288,6144,2,0.78,16666.9,0,ok
readers,txn_sw_list,96,32,12288,6144,3,0.72,16772.9,0,ok
readers,mutex,96,32,12288,6144,1,0.05,691.6,0,ok
readers,mutex,96,32,12288,6144,2,0.05,680.6,0,ok
readers,mutex,96,32,12288,6144,3,0.04,688.0,0,ok
readers,txn_list,128,32,16384,8192,1,174.32,1694.3,0,ok
readers,txn_list,128,32,16384,8192,2,176.08,1629.8,0,ok
readers,txn_list,128,32,16384,8192,3,174.20,1660.2,0,ok
readers,txn_sw_list,128,32,16384,8192,1,0.73,14503.0,0,ok
readers,txn_sw_list,128,32,16384,8192,2,0.74,14348.0,0,ok
readers,txn_sw_list,128,32,16384,8192,3,0.72,14147.8,0,ok
readers,mutex,128,32,16384,8192,1,0.00,703.8,0,ok
readers,mutex,128,32,16384,8192,2,0.00,697.7,0,ok
readers,mutex,128,32,16384,8192,3,0.00,697.5,0,ok
readers,txn_list,160,32,20480,10240,1,222.07,1321.7,0,ok
readers,txn_list,160,32,20480,10240,2,229.26,1242.3,0,ok
readers,txn_list,160,32,20480,10240,3,227.20,1258.9,0,ok
readers,txn_sw_list,160,32,20480,10240,1,0.74,9345.9,0,ok
readers,txn_sw_list,160,32,20480,10240,2,0.73,9265.8,0,ok
readers,txn_sw_list,160,32,20480,10240,3,0.74,8996.6,0,ok
readers,mutex,160,32,20480,10240,1,0.00,736.8,0,ok
readers,mutex,160,32,20480,10240,2,0.00,711.1,0,ok
readers,mutex,160,32,20480,10240,3,0.00,739.8,0,ok
