sweep,arm,writers,readers,list_size,churn,run,write_mops,read_mvisits,violations,status
scaling,txn_list,1,0,128,64,1,6.71,0.0,0,ok
scaling,txn_list,1,0,128,64,2,6.76,0.0,0,ok
scaling,txn_list,1,0,128,64,3,6.81,0.0,0,ok
scaling,txn_sw_list,1,0,128,64,1,6.63,0.0,0,ok
scaling,txn_sw_list,1,0,128,64,2,6.76,0.0,0,ok
scaling,txn_sw_list,1,0,128,64,3,6.69,0.0,0,ok
scaling,mutex,1,0,128,64,1,114.75,0.0,0,ok
scaling,mutex,1,0,128,64,2,107.00,0.0,0,ok
scaling,mutex,1,0,128,64,3,109.11,0.0,0,ok
scaling,txn_list,2,0,256,128,1,10.62,0.0,0,ok
scaling,txn_list,2,0,256,128,2,11.11,0.0,0,ok
scaling,txn_list,2,0,256,128,3,11.03,0.0,0,ok
scaling,txn_sw_list,2,0,256,128,1,6.79,0.0,0,ok
scaling,txn_sw_list,2,0,256,128,2,6.96,0.0,0,ok
scaling,txn_sw_list,2,0,256,128,3,6.91,0.0,0,ok
scaling,mutex,2,0,256,128,1,19.95,0.0,0,ok
scaling,mutex,2,0,256,128,2,20.67,0.0,0,ok
scaling,mutex,2,0,256,128,3,20.12,0.0,0,ok
scaling,txn_list,4,0,512,256,1,19.20,0.0,0,ok
scaling,txn_list,4,0,512,256,2,19.12,0.0,0,ok
scaling,txn_list,4,0,512,256,3,18.94,0.0,0,ok
scaling,txn_sw_list,4,0,512,256,1,4.41,0.0,0,ok
scaling,txn_sw_list,4,0,512,256,2,4.39,0.0,0,ok
scaling,txn_sw_list,4,0,512,256,3,4.43,0.0,0,ok
scaling,mutex,4,0,512,256,1,9.87,0.0,0,ok
scaling,mutex,4,0,512,256,2,9.63,0.0,0,ok
scaling,mutex,4,0,512,256,3,9.84,0.0,0,ok
scaling,txn_list,8,0,1024,512,1,35.91,0.0,0,ok
scaling,txn_list,8,0,1024,512,2,36.14,0.0,0,ok
scaling,txn_list,8,0,1024,512,3,35.23,0.0,0,ok
scaling,txn_sw_list,8,0,1024,512,1,3.29,0.0,0,ok
scaling,txn_sw_list,8,0,1024,512,2,3.33,0.0,0,ok
scaling,txn_sw_list,8,0,1024,512,3,3.30,0.0,0,ok
scaling,mutex,8,0,1024,512,1,8.33,0.0,0,ok
scaling,mutex,8,0,1024,512,2,8.46,0.0,0,ok
scaling,mutex,8,0,1024,512,3,8.53,0.0,0,ok
scaling,txn_list,16,0,2048,1024,1,47.40,0.0,0,ok
scaling,txn_list,16,0,2048,1024,2,42.90,0.0,0,ok
scaling,txn_list,16,0,2048,1024,3,42.22,0.0,0,ok
scaling,txn_sw_list,16,0,2048,1024,1,1.69,0.0,0,ok
scaling,txn_sw_list,16,0,2048,1024,2,1.60,0.0,0,ok
scaling,txn_sw_list,16,0,2048,1024,3,1.92,0.0,0,ok
scaling,mutex,16,0,2048,1024,1,2.46,0.0,0,ok
scaling,mutex,16,0,2048,1024,2,2.48,0.0,0,ok
scaling,mutex,16,0,2048,1024,3,2.41,0.0,0,ok
scaling,txn_list,32,0,4096,2048,1,73.34,0.0,0,ok
scaling,txn_list,32,0,4096,2048,2,73.81,0.0,0,ok
scaling,txn_list,32,0,4096,2048,3,75.17,0.0,0,ok
scaling,txn_sw_list,32,0,4096,2048,1,1.31,0.0,0,ok
scaling,txn_sw_list,32,0,4096,2048,2,1.27,0.0,0,ok
scaling,txn_sw_list,32,0,4096,2048,3,1.23,0.0,0,ok
scaling,mutex,32,0,4096,2048,1,1.65,0.0,0,ok
scaling,mutex,32,0,4096,2048,2,1.72,0.0,0,ok
scaling,mutex,32,0,4096,2048,3,1.66,0.0,0,ok
scaling,txn_list,64,0,8192,4096,1,133.45,0.0,0,ok
scaling,txn_list,64,0,8192,4096,2,103.89,0.0,0,ok
scaling,txn_list,64,0,8192,4096,3,133.98,0.0,0,ok
scaling,txn_sw_list,64,0,8192,4096,1,1.03,0.0,0,ok
scaling,txn_sw_list,64,0,8192,4096,2,1.09,0.0,0,ok
scaling,txn_sw_list,64,0,8192,4096,3,1.64,0.0,0,ok
scaling,mutex,64,0,8192,4096,1,2.37,0.0,0,ok
scaling,mutex,64,0,8192,4096,2,1.27,0.0,0,ok
scaling,mutex,64,0,8192,4096,3,1.16,0.0,0,ok
scaling,txn_list,96,0,12288,6144,1,135.68,0.0,0,ok
scaling,txn_list,96,0,12288,6144,2,175.64,0.0,0,ok
scaling,txn_list,96,0,12288,6144,3,135.50,0.0,0,ok
scaling,txn_sw_list,96,0,12288,6144,1,0.97,0.0,0,ok
scaling,txn_sw_list,96,0,12288,6144,2,1.10,0.0,0,ok
scaling,txn_sw_list,96,0,12288,6144,3,0.98,0.0,0,ok
scaling,mutex,96,0,12288,6144,1,1.26,0.0,0,ok
scaling,mutex,96,0,12288,6144,2,2.34,0.0,0,ok
scaling,mutex,96,0,12288,6144,3,2.35,0.0,0,ok
scaling,txn_list,128,0,16384,8192,1,199.81,0.0,0,ok
scaling,txn_list,128,0,16384,8192,2,206.75,0.0,0,ok
scaling,txn_list,128,0,16384,8192,3,181.11,0.0,0,ok
scaling,txn_sw_list,128,0,16384,8192,1,1.09,0.0,0,ok
scaling,txn_sw_list,128,0,16384,8192,2,1.23,0.0,0,ok
scaling,txn_sw_list,128,0,16384,8192,3,1.00,0.0,0,ok
scaling,mutex,128,0,16384,8192,1,1.30,0.0,0,ok
scaling,mutex,128,0,16384,8192,2,1.85,0.0,0,ok
scaling,mutex,128,0,16384,8192,3,1.87,0.0,0,ok
scaling,txn_list,160,0,20480,10240,1,231.72,0.0,0,ok
scaling,txn_list,160,0,20480,10240,2,241.02,0.0,0,ok
scaling,txn_list,160,0,20480,10240,3,235.16,0.0,0,ok
scaling,txn_sw_list,160,0,20480,10240,1,1.18,0.0,0,ok
scaling,txn_sw_list,160,0,20480,10240,2,1.17,0.0,0,ok
scaling,txn_sw_list,160,0,20480,10240,3,1.13,0.0,0,ok
scaling,mutex,160,0,20480,10240,1,1.36,0.0,0,ok
scaling,mutex,160,0,20480,10240,2,1.38,0.0,0,ok
scaling,mutex,160,0,20480,10240,3,1.37,0.0,0,ok
scaling,txn_list,191,0,24448,12224,1,285.48,0.0,0,ok
scaling,txn_list,191,0,24448,12224,2,306.89,0.0,0,ok
scaling,txn_list,191,0,24448,12224,3,305.16,0.0,0,ok
scaling,txn_sw_list,191,0,24448,12224,1,1.09,0.0,0,ok
scaling,txn_sw_list,191,0,24448,12224,2,1.09,0.0,0,ok
scaling,txn_sw_list,191,0,24448,12224,3,1.09,0.0,0,ok
scaling,mutex,191,0,24448,12224,1,1.67,0.0,0,ok
scaling,mutex,191,0,24448,12224,2,1.69,0.0,0,ok
scaling,mutex,191,0,24448,12224,3,1.63,0.0,0,ok
scaling,txn_list,192,0,24576,12288,1,318.20,0.0,0,ok
scaling,txn_list,192,0,24576,12288,2,327.70,0.0,0,ok
scaling,txn_list,192,0,24576,12288,3,328.01,0.0,0,ok
scaling,txn_sw_list,192,0,24576,12288,1,1.08,0.0,0,ok
scaling,txn_sw_list,192,0,24576,12288,2,1.11,0.0,0,ok
scaling,txn_sw_list,192,0,24576,12288,3,1.11,0.0,0,ok
scaling,mutex,192,0,24576,12288,1,1.65,0.0,0,ok
scaling,mutex,192,0,24576,12288,2,1.60,0.0,0,ok
scaling,mutex,192,0,24576,12288,3,1.58,0.0,0,ok
contention,txn_list,1,0,2000,1000,1,4.09,0.0,0,ok
contention,txn_list,1,0,2000,1000,2,4.14,0.0,0,ok
contention,txn_list,1,0,2000,1000,3,4.17,0.0,0,ok
contention,txn_sw_list,1,0,2000,1000,1,7.62,0.0,0,ok
contention,txn_sw_list,1,0,2000,1000,2,7.69,0.0,0,ok
contention,txn_sw_list,1,0,2000,1000,3,7.91,0.0,0,ok
contention,mutex,1,0,2000,1000,1,112.01,0.0,0,ok
contention,mutex,1,0,2000,1000,2,112.93,0.0,0,ok
contention,mutex,1,0,2000,1000,3,113.29,0.0,0,ok
contention,txn_list,2,0,2000,1000,1,6.39,0.0,0,ok
contention,txn_list,2,0,2000,1000,2,6.39,0.0,0,ok
contention,txn_list,2,0,2000,1000,3,6.42,0.0,0,ok
contention,txn_sw_list,2,0,2000,1000,1,6.83,0.0,0,ok
contention,txn_sw_list,2,0,2000,1000,2,6.91,0.0,0,ok
contention,txn_sw_list,2,0,2000,1000,3,6.97,0.0,0,ok
contention,mutex,2,0,2000,1000,1,16.66,0.0,0,ok
contention,mutex,2,0,2000,1000,2,15.09,0.0,0,ok
contention,mutex,2,0,2000,1000,3,16.25,0.0,0,ok
contention,txn_list,4,0,2000,1000,1,10.77,0.0,0,ok
contention,txn_list,4,0,2000,1000,2,10.56,0.0,0,ok
contention,txn_list,4,0,2000,1000,3,10.41,0.0,0,ok
contention,txn_sw_list,4,0,2000,1000,1,4.50,0.0,0,ok
contention,txn_sw_list,4,0,2000,1000,2,4.51,0.0,0,ok
contention,txn_sw_list,4,0,2000,1000,3,4.51,0.0,0,ok
contention,mutex,4,0,2000,1000,1,10.55,0.0,0,ok
contention,mutex,4,0,2000,1000,2,10.16,0.0,0,ok
contention,mutex,4,0,2000,1000,3,10.38,0.0,0,ok
contention,txn_list,8,0,2000,1000,1,18.38,0.0,0,ok
contention,txn_list,8,0,2000,1000,2,18.71,0.0,0,ok
contention,txn_list,8,0,2000,1000,3,18.68,0.0,0,ok
contention,txn_sw_list,8,0,2000,1000,1,3.34,0.0,0,ok
contention,txn_sw_list,8,0,2000,1000,2,3.41,0.0,0,ok
contention,txn_sw_list,8,0,2000,1000,3,3.40,0.0,0,ok
contention,mutex,8,0,2000,1000,1,8.83,0.0,0,ok
contention,mutex,8,0,2000,1000,2,8.81,0.0,0,ok
contention,mutex,8,0,2000,1000,3,8.80,0.0,0,ok
contention,txn_list,16,0,2000,1000,1,15.38,0.0,0,ok
contention,txn_list,16,0,2000,1000,2,16.19,0.0,0,ok
contention,txn_list,16,0,2000,1000,3,16.87,0.0,0,ok
contention,txn_sw_list,16,0,2000,1000,1,1.81,0.0,0,ok
contention,txn_sw_list,16,0,2000,1000,2,1.69,0.0,0,ok
contention,txn_sw_list,16,0,2000,1000,3,1.71,0.0,0,ok
contention,mutex,16,0,2000,1000,1,2.42,0.0,0,ok
contention,mutex,16,0,2000,1000,2,3.63,0.0,0,ok
contention,mutex,16,0,2000,1000,3,3.68,0.0,0,ok
contention,txn_list,32,0,2000,1000,1,20.91,0.0,0,ok
