panel,mode,engine,run,x,a,b,viol
churn,write,txn_list,1,1,0.0,8.46,0
churn,write,txn_list,1,2,0.0,13.13,0
churn,write,txn_list,1,4,0.0,21.36,0
churn,write,txn_list,1,8,0.0,39.92,0
churn,write,txn_list,1,16,0.0,32.58,0
churn,write,txn_list,1,32,0.0,74.28,0
churn,write,txn_list,1,64,0.0,116.29,0
churn,write,txn_list,1,96,0.0,138.78,0
churn,write,txn_list,1,128,0.0,137.46,0
churn,write,txn_list,1,160,0.0,149.98,0
churn,write,txn_list,1,191,0.0,216.52,0
churn,write,txn_list,1,192,0.0,222.04,0
churn,write,txn_list,2,1,0.0,8.40,0
churn,write,txn_list,2,2,0.0,13.13,0
churn,write,txn_list,2,4,0.0,20.77,0
churn,write,txn_list,2,8,0.0,40.22,0
churn,write,txn_list,2,16,0.0,34.26,0
churn,write,txn_list,2,32,0.0,76.10,0
churn,write,txn_list,2,64,0.0,118.21,0
churn,write,txn_list,2,96,0.0,139.64,0
churn,write,txn_list,2,128,0.0,138.19,0
churn,write,txn_list,2,160,0.0,150.15,0
churn,write,txn_list,2,191,0.0,215.83,0
churn,write,txn_list,2,192,0.0,220.87,0
churn,write,rlu_defer,1,1,0.0,15.37,0
churn,write,rlu_defer,1,2,0.0,17.89,0
churn,write,rlu_defer,1,4,0.0,34.04,0
churn,write,rlu_defer,1,8,0.0,34.50,0
churn,write,rlu_defer,1,16,0.0,20.24,0
churn,write,rlu_defer,1,32,0.0,22.41,0
churn,write,rlu_defer,1,64,0.0,25.86,0
churn,write,rlu_defer,1,96,0.0,24.30,0
churn,write,rlu_defer,1,128,0.0,19.28,0
churn,write,rlu_defer,1,160,0.0,16.62,0
churn,write,rlu_defer,1,191,0.0,15.12,0
churn,write,rlu_defer,1,192,0.0,15.14,0
churn,write,rlu_defer,2,1,0.0,15.08,0
churn,write,rlu_defer,2,2,0.0,12.44,0
churn,write,rlu_defer,2,4,0.0,33.81,0
churn,write,rlu_defer,2,8,0.0,33.56,0
churn,write,rlu_defer,2,16,0.0,23.80,0
churn,write,rlu_defer,2,32,0.0,23.36,0
churn,write,rlu_defer,2,64,0.0,26.17,0
churn,write,rlu_defer,2,96,0.0,25.32,0
churn,write,rlu_defer,2,128,0.0,19.86,0
churn,write,rlu_defer,2,160,0.0,17.03,0
churn,write,rlu_defer,2,191,0.0,15.58,0
churn,write,rlu_defer,2,192,0.0,15.58,0
churn,write,rlu_sync,1,1,0.0,17.81,0
churn,write,rlu_sync,1,2,0.0,7.10,0
churn,write,rlu_sync,1,4,0.0,8.65,0
churn,write,rlu_sync,1,8,0.0,10.07,0
churn,write,rlu_sync,1,16,0.0,6.45,0
churn,write,rlu_sync,1,32,0.0,7.47,0
churn,write,rlu_sync,1,64,0.0,8.89,0
churn,write,rlu_sync,1,96,0.0,9.38,0
churn,write,rlu_sync,1,128,0.0,8.28,0
churn,write,rlu_sync,1,160,0.0,7.99,0
churn,write,rlu_sync,1,191,0.0,7.89,0
churn,write,rlu_sync,1,192,0.0,7.90,0
churn,write,rlu_sync,2,1,0.0,18.29,0
churn,write,rlu_sync,2,2,0.0,7.05,0
churn,write,rlu_sync,2,4,0.0,8.79,0
churn,write,rlu_sync,2,8,0.0,10.06,0
churn,write,rlu_sync,2,16,0.0,6.61,0
churn,write,rlu_sync,2,32,0.0,7.56,0
churn,write,rlu_sync,2,64,0.0,8.99,0
churn,write,rlu_sync,2,96,0.0,9.47,0
churn,write,rlu_sync,2,128,0.0,8.33,0
churn,write,rlu_sync,2,160,0.0,8.05,0
churn,write,rlu_sync,2,191,0.0,7.91,0
churn,write,rlu_sync,2,192,0.0,7.92,0
random,write,txn_list,1,1,0.0,4.36,0
random,write,txn_list,1,2,0.0,6.77,0
random,write,txn_list,1,4,0.0,11.81,0
random,write,txn_list,1,8,0.0,19.26,0
random,write,txn_list,1,16,0.0,13.18,0
random,write,txn_list,1,32,0.0,14.77,0
random,write,txn_list,1,64,0.0,15.91,0
random,write,txn_list,1,96,0.0,13.40,0
random,write,txn_list,1,128,0.0,9.76,0
random,write,txn_list,1,160,0.0,8.26,0
random,write,txn_list,1,191,0.0,7.25,0
random,write,txn_list,1,192,0.0,7.22,0
random,write,txn_list,2,1,0.0,4.29,0
random,write,txn_list,2,2,0.0,6.68,0
random,write,txn_list,2,4,0.0,11.82,0
random,write,txn_list,2,8,0.0,19.81,0
random,write,txn_list,2,16,0.0,12.87,0
random,write,txn_list,2,32,0.0,14.58,0
random,write,txn_list,2,64,0.0,16.03,0
random,write,txn_list,2,96,0.0,13.35,0
random,write,txn_list,2,128,0.0,9.78,0
random,write,txn_list,2,160,0.0,8.29,0
random,write,txn_list,2,191,0.0,7.28,0
random,write,txn_list,2,192,0.0,7.26,0
random,write,rlu_defer,1,1,0.0,11.73,0
random,write,rlu_defer,1,2,0.0,11.87,0
random,write,rlu_defer,1,4,0.0,12.16,0
random,write,rlu_defer,1,8,0.0,12.26,0
random,write,rlu_defer,1,16,0.0,5.42,0
random,write,rlu_defer,1,32,0.0,4.32,0
random,write,rlu_defer,1,64,0.0,3.17,0
random,write,rlu_defer,1,96,0.0,2.35,0
random,write,rlu_defer,1,128,0.0,1.66,0
random,write,rlu_defer,1,160,0.0,1.28,0
random,write,rlu_defer,1,191,0.0,1.22,0
random,write,rlu_defer,1,192,0.0,1.22,0
random,write,rlu_defer,2,1,0.0,11.90,0
