mode,engine,run,x,read_gvisits,write_mops,viol
read,txn_list,1,1,773.3,0,0
read,txn_list,1,2,1540.2,0,0
read,txn_list,1,4,3080.1,0,0
read,txn_list,1,8,5012.0,0,0
read,txn_list,1,16,10056.0,0,0
read,txn_list,1,32,20150.5,0,0
read,txn_list,1,64,40900.1,0,0
read,txn_list,1,96,60475.7,0,0
read,txn_list,1,128,81991.5,0,0
read,txn_list,1,160,102823.3,0,0
read,txn_list,1,191,121426.8,0,0
write,txn_list,1,1,0,6.17,0
write,txn_list,1,2,0,12.01,0
write,txn_list,1,4,0,23.13,0
write,txn_list,1,8,0,45.20,0
write,txn_list,1,16,0,50.12,0
write,txn_list,1,32,0,52.73,0
write,txn_list,1,64,0,42.03,0
write,txn_list,1,96,0,43.97,0
write,txn_list,1,128,0,51.04,0
write,txn_list,1,160,0,71.33,0
write,txn_list,1,191,0,99.52,0
write,txn_list,1,192,0,104.89,0
5050,txn_list,1,2,772.2,5.11,0
5050,txn_list,1,4,1502.4,8.24,0
5050,txn_list,1,8,3027.9,15.59,0
5050,txn_list,1,16,1896.7,29.78,0
5050,txn_list,1,32,3328.7,35.84,0
5050,txn_list,1,64,6205.1,41.38,0
5050,txn_list,1,96,8958.6,38.96,0
5050,txn_list,1,128,11353.9,32.68,0
5050,txn_list,1,160,13485.7,34.08,0
5050,txn_list,1,192,15274.4,40.46,0
read,txn_list,2,1,771.3,0,0
read,txn_list,2,2,1537.2,0,0
read,txn_list,2,4,3075.3,0,0
read,txn_list,2,8,5005.1,0,0
read,txn_list,2,16,10040.7,0,0
read,txn_list,2,32,20195.7,0,0
read,txn_list,2,64,41007.3,0,0
read,txn_list,2,96,60489.0,0,0
read,txn_list,2,128,81940.4,0,0
read,txn_list,2,160,102803.3,0,0
read,txn_list,2,191,121463.8,0,0
write,txn_list,2,1,0,6.15,0
write,txn_list,2,2,0,12.13,0
write,txn_list,2,4,0,23.40,0
write,txn_list,2,8,0,45.49,0
write,txn_list,2,16,0,50.15,0
write,txn_list,2,32,0,52.77,0
write,txn_list,2,64,0,41.98,0
write,txn_list,2,96,0,43.60,0
write,txn_list,2,128,0,50.88,0
write,txn_list,2,160,0,71.23,0
write,txn_list,2,191,0,98.79,0
write,txn_list,2,192,0,103.89,0
5050,txn_list,2,2,773.1,5.10,0
5050,txn_list,2,4,1494.6,8.38,0
5050,txn_list,2,8,3026.7,15.86,0
5050,txn_list,2,16,1860.1,29.74,0
5050,txn_list,2,32,3332.8,35.87,0
5050,txn_list,2,64,6151.5,41.14,0
5050,txn_list,2,96,8950.6,38.88,0
5050,txn_list,2,128,11326.2,32.74,0
5050,txn_list,2,160,13481.1,33.88,0
5050,txn_list,2,192,15288.8,40.01,0
read,rlu_defer,1,1,476.4,0,0
read,rlu_defer,1,2,951.2,0,0
read,rlu_defer,1,4,1903.9,0,0
read,rlu_defer,1,8,2529.7,0,0
read,rlu_defer,1,16,5494.2,0,0
read,rlu_defer,1,32,11866.9,0,0
read,rlu_defer,1,64,23107.4,0,0
read,rlu_defer,1,96,32314.9,0,0
read,rlu_defer,1,128,45270.8,0,0
read,rlu_defer,1,160,56316.2,0,0
read,rlu_defer,1,191,65973.6,0,0
write,rlu_defer,1,1,0,19.60,0
write,rlu_defer,1,2,0,30.34,0
write,rlu_defer,1,4,0,45.03,0
write,rlu_defer,1,8,0,50.71,0
write,rlu_defer,1,16,0,19.64,0
write,rlu_defer,1,32,0,13.93,0
write,rlu_defer,1,64,0,11.80,0
write,rlu_defer,1,96,0,9.70,0
write,rlu_defer,1,128,0,7.74,0
write,rlu_defer,1,160,0,6.51,0
write,rlu_defer,1,191,0,5.77,0
write,rlu_defer,1,192,0,5.77,0
5050,rlu_defer,1,2,477.1,2.36,0
5050,rlu_defer,1,4,880.8,4.36,0
5050,rlu_defer,1,8,1670.0,4.10,0
5050,rlu_defer,1,16,1337.3,1.65,0
5050,rlu_defer,1,32,2649.7,1.63,0
5050,rlu_defer,1,64,5151.6,1.59,0
5050,rlu_defer,1,96,7572.8,1.55,0
5050,rlu_defer,1,128,9761.6,1.51,0
5050,rlu_defer,1,160,11943.0,1.47,0
5050,rlu_defer,1,192,13853.2,1.42,0
read,rlu_defer,2,1,469.2,0,0
read,rlu_defer,2,2,928.4,0,0
read,rlu_defer,2,4,1856.8,0,0
read,rlu_defer,2,8,2637.5,0,0
read,rlu_defer,2,16,5702.3,0,0
read,rlu_defer,2,32,11489.7,0,0
read,rlu_defer,2,64,23309.3,0,0
read,rlu_defer,2,96,32586.0,0,0
read,rlu_defer,2,128,45462.3,0,0
read,rlu_defer,2,160,57701.5,0,0
read,rlu_defer,2,191,66704.1,0,0
write,rlu_defer,2,1,0,19.69,0
write,rlu_defer,2,2,0,32.31,0
write,rlu_defer,2,4,0,45.05,0
write,rlu_defer,2,8,0,50.15,0
write,rlu_defer,2,16,0,19.52,0
write,rlu_defer,2,32,0,14.13,0
write,rlu_defer,2,64,0,11.97,0
write,rlu_defer,2,96,0,10.06,0
