sweep,variant,alloc,run,updaters,movesper,ryw,mmoves_s,ns_per_keymove,commits,aborts
width,big128,jemalloc,1,1,1,1,2.00326,499.186,2005365,0
width,big128,jemalloc,2,1,1,1,2.01996,495.06,2022165,0
width,big128,jemalloc,3,1,1,1,2.02884,492.892,2030970,0
width,big128,jemalloc,1,1,2,1,1.73237,577.245,924928,0
width,big128,jemalloc,2,1,2,1,1.75363,570.246,936288,0
width,big128,jemalloc,3,1,2,1,1.72507,579.686,921040,0
width,big128,jemalloc,1,1,3,1,1.66974,598.895,557180,0
width,big128,jemalloc,2,1,3,1,1.65653,603.67,552780,0
width,big128,jemalloc,3,1,3,1,1.66786,599.569,556560,0
width,big128,jemalloc,1,1,4,1,1.57907,633.285,421540,0
width,big128,jemalloc,2,1,4,1,1.57486,634.978,420416,0
width,big128,jemalloc,3,1,4,1,1.56132,640.484,416804,0
width,big128,jemalloc,1,1,6,1,1.37852,725.413,276003,0
width,big128,jemalloc,2,1,6,1,1.38585,721.577,277473,0
width,big128,jemalloc,3,1,6,1,1.39067,719.078,278436,0
width,big128,jemalloc,1,1,8,1,1.24127,805.624,165682,0
width,big128,jemalloc,2,1,8,1,1.25511,796.743,167530,0
width,big128,jemalloc,3,1,8,1,1.25689,795.615,167766,0
width,big128,jemalloc,1,1,15,1,0.956659,1045.3,63847,0
width,big128,jemalloc,2,1,15,1,0.944733,1058.5,63051,0
width,big128,jemalloc,3,1,15,1,0.959569,1042.13,64039,0
width,big128,jemalloc,1,4,1,1,2.95798,1352.28,2958930,349657
width,big128,jemalloc,2,4,1,1,2.94881,1356.48,2951955,348193
width,big128,jemalloc,3,4,1,1,2.92787,1366.18,2930955,343933
width,big128,jemalloc,1,4,2,1,2.07891,1924.09,1109936,338491
width,big128,jemalloc,2,4,2,1,2.06465,1937.37,1102336,339220
width,big128,jemalloc,3,4,2,1,2.09627,1908.15,1119224,343503
width,big128,jemalloc,1,4,3,1,1.75216,2282.89,584690,289270
width,big128,jemalloc,2,4,3,1,1.7065,2343.97,569445,285017
width,big128,jemalloc,3,4,3,1,1.7264,2316.96,576085,286186
width,big128,jemalloc,1,4,4,1,1.58988,2515.92,424420,258818
width,big128,jemalloc,2,4,4,1,1.54947,2581.53,413632,253834
width,big128,jemalloc,3,4,4,1,1.55866,2566.31,416084,253219
width,big128,jemalloc,1,4,6,1,1.31674,3037.81,263634,192955
width,big128,jemalloc,2,4,6,1,1.34984,2963.32,270258,197010
width,big128,jemalloc,3,4,6,1,1.35771,2946.13,271830,198790
width,big128,jemalloc,1,4,8,1,1.10943,3605.44,148082,147537
width,big128,jemalloc,2,4,8,1,1.12915,3542.5,150716,150892
width,big128,jemalloc,3,4,8,1,1.17225,3412.25,156470,156078
width,big128,jemalloc,1,4,15,1,0.862684,4636.69,57574,70457
width,big128,jemalloc,2,4,15,1,0.842994,4744.99,56260,69209
width,big128,jemalloc,3,4,15,1,0.825899,4843.21,55119,66817
width,big128,jemalloc,1,16,1,1,3.4591,4625.48,3460680,587434
width,big128,jemalloc,2,16,1,1,3.44417,4645.53,3447930,585431
width,big128,jemalloc,3,16,1,1,3.33798,4793.32,3341565,567707
width,big128,jemalloc,1,16,2,1,2.16369,7394.77,1155208,480173
width,big128,jemalloc,2,16,2,1,2.25092,7108.2,1201792,502952
width,big128,jemalloc,3,16,2,1,2.15576,7421.98,1150960,476835
width,big128,jemalloc,1,16,3,1,1.72891,9254.38,576930,376407
width,big128,jemalloc,2,16,3,1,1.73612,9215.95,579330,380117
