panel,engine,run,cores,nobjects,keys_per_table,width,mmoves_s,ns_per_keymove
fixed,existence,1,1,960,960,3,9.0535,110.455
fixed,existence,2,1,960,960,3,8.15016,122.697
fixed,existence,3,1,960,960,3,8.55293,116.919
fixed,txn-mp3,1,1,960,960,3,7.13752,140.105
fixed,txn-mp3,2,1,960,960,3,7.09457,140.953
fixed,txn-mp3,3,1,960,960,3,6.92191,144.469
fixed,existence,1,2,480,960,3,13.0581,153.161
fixed,existence,2,2,480,960,3,12.2987,162.619
fixed,existence,3,2,480,960,3,12.4209,161.019
fixed,txn-mp3,1,2,480,960,3,13.2113,151.385
fixed,txn-mp3,2,2,480,960,3,13.4747,148.426
fixed,txn-mp3,3,2,480,960,3,13.1113,152.54
fixed,existence,1,4,240,960,3,25.2673,158.307
fixed,existence,2,4,240,960,3,24.6801,162.074
fixed,existence,3,4,240,960,3,24.5797,162.736
fixed,txn-mp3,1,4,240,960,3,23.4507,170.57
fixed,txn-mp3,2,4,240,960,3,24.1093,165.911
fixed,txn-mp3,3,4,240,960,3,24.3063,164.566
fixed,existence,1,8,120,960,3,48.2475,165.812
fixed,existence,2,8,120,960,3,49.0218,163.193
fixed,existence,3,8,120,960,3,49.3858,161.99
fixed,txn-mp3,1,8,120,960,3,45.0165,177.713
fixed,txn-mp3,2,8,120,960,3,45.2589,176.761
fixed,txn-mp3,3,8,120,960,3,44.8146,178.513
fixed,existence,1,16,60,960,3,94.6829,168.985
fixed,existence,2,16,60,960,3,96.6618,165.526
fixed,existence,3,16,60,960,3,96.8349,165.23
fixed,txn-mp3,1,16,60,960,3,86.9494,184.015
fixed,txn-mp3,2,16,60,960,3,86.5091,184.952
fixed,txn-mp3,3,16,60,960,3,86.4403,185.099
fixed,existence,1,32,30,960,3,181.75,176.066
fixed,existence,2,32,30,960,3,180.042,177.736
fixed,existence,3,32,30,960,3,180.119,177.66
fixed,txn-mp3,1,32,30,960,3,165.854,192.941
fixed,txn-mp3,2,32,30,960,3,164.477,194.557
fixed,txn-mp3,3,32,30,960,3,162.903,196.436
fixed,existence,1,64,15,960,3,302.27,211.731
fixed,existence,2,64,15,960,3,298.703,214.26
fixed,existence,3,64,15,960,3,300.182,213.204
fixed,txn-mp3,1,64,15,960,3,306.56,208.768
fixed,txn-mp3,2,64,15,960,3,301.235,212.459
fixed,txn-mp3,3,64,15,960,3,302.172,211.8
fixed,existence,1,96,10,960,3,335.568,286.082
fixed,existence,2,96,10,960,3,340.015,282.34
fixed,existence,3,96,10,960,3,335.593,286.061
fixed,txn-mp3,1,96,10,960,3,353.138,271.849
fixed,txn-mp3,2,96,10,960,3,347.281,276.433
fixed,txn-mp3,3,96,10,960,3,355.766,269.84
fixed,existence,1,192,5,960,3,502.381,382.18
fixed,existence,2,192,5,960,3,510.064,376.423
fixed,existence,3,192,5,960,3,502.206,382.313
fixed,txn-mp3,1,192,5,960,3,458.056,419.163
fixed,txn-mp3,2,192,5,960,3,455.754,421.28
fixed,txn-mp3,3,192,5,960,3,458.438,418.814
grow,existence,1,1,5,5,15,10.2018,98.0222
grow,existence,2,1,5,5,15,10.096,99.0491
grow,existence,3,1,5,5,15,10.8665,92.0263
grow,txn-mp0,1,1,5,5,15,6.99513,142.957
grow,txn-mp0,2,1,5,5,15,6.78244,147.44
grow,txn-mp0,3,1,5,5,15,7.01625,142.526
grow,existence,1,2,5,10,15,16.4207,121.797
grow,existence,2,2,5,10,15,15.392,129.937
grow,existence,3,2,5,10,15,15.385,129.996
grow,txn-mp0,1,2,5,10,15,13.3085,150.28
grow,txn-mp0,2,2,5,10,15,13.4827,148.338
grow,txn-mp0,3,2,5,10,15,13.3732,149.553
grow,existence,1,4,5,20,15,29.512,135.538
