panel,alloc,engine,run,cores,nreaders,nobjects,keys_per_table,nbuckets,width,mmoves_s,ns_per_keymove,mqueries_s
grow,jemalloc,existence,1,1,0,5,5,4096,15,11.2778,88.67,0
grow,jemalloc,existence,2,1,0,5,5,4096,15,11.0982,90.1043,0
grow,jemalloc,existence,3,1,0,5,5,4096,15,10.8518,92.1505,0
grow,jemalloc,txn,1,1,0,5,5,4096,15,8.41088,118.894,0
grow,jemalloc,txn,2,1,0,5,5,4096,15,9.25626,108.035,0
grow,jemalloc,txn,3,1,0,5,5,4096,15,8.86971,112.743,0
grow,jemalloc,existence,1,2,0,5,10,4096,15,16.6837,119.877,0
grow,jemalloc,existence,2,2,0,5,10,4096,15,14.4713,138.204,0
grow,jemalloc,existence,3,2,0,5,10,4096,15,15.4496,129.454,0
grow,jemalloc,txn,1,2,0,5,10,4096,15,17.4984,114.296,0
grow,jemalloc,txn,2,2,0,5,10,4096,15,17.4242,114.783,0
grow,jemalloc,txn,3,2,0,5,10,4096,15,17.3961,114.969,0
grow,jemalloc,existence,1,4,0,5,20,4096,15,28.619,139.767,0
grow,jemalloc,existence,2,4,0,5,20,4096,15,28.5482,140.114,0
grow,jemalloc,existence,3,4,0,5,20,4096,15,30.5962,130.735,0
grow,jemalloc,txn,1,4,0,5,20,4096,15,31.6299,126.463,0
grow,jemalloc,txn,2,4,0,5,20,4096,15,31.5364,126.838,0
grow,jemalloc,txn,3,4,0,5,20,4096,15,30.7171,130.221,0
grow,jemalloc,existence,1,8,0,5,40,4096,15,56.8641,140.686,0
grow,jemalloc,existence,2,8,0,5,40,4096,15,56.6326,141.261,0
grow,jemalloc,existence,3,8,0,5,40,4096,15,56.2865,142.13,0
grow,jemalloc,txn,1,8,0,5,40,4096,15,61.1318,130.865,0
grow,jemalloc,txn,2,8,0,5,40,4096,15,60.9383,131.28,0
grow,jemalloc,txn,3,8,0,5,40,4096,15,61.4464,130.195,0
grow,jemalloc,existence,1,16,0,5,80,4096,15,102.932,155.442,0
grow,jemalloc,existence,2,16,0,5,80,4096,15,103.476,154.625,0
grow,jemalloc,existence,3,16,0,5,80,4096,15,99.5929,160.654,0
grow,jemalloc,txn,1,16,0,5,80,4096,15,120.459,132.825,0
grow,jemalloc,txn,2,16,0,5,80,4096,15,120.05,133.277,0
grow,jemalloc,txn,3,16,0,5,80,4096,15,117.369,136.322,0
grow,jemalloc,existence,1,32,0,5,160,4096,15,175.499,182.337,0
grow,jemalloc,existence,2,32,0,5,160,4096,15,177.49,180.292,0
grow,jemalloc,existence,3,32,0,5,160,4096,15,172.495,185.512,0
grow,jemalloc,txn,1,32,0,5,160,4096,15,232.271,137.77,0
grow,jemalloc,txn,2,32,0,5,160,4096,15,235.862,135.673,0
grow,jemalloc,txn,3,32,0,5,160,4096,15,230.045,139.103,0
grow,jemalloc,existence,1,64,0,5,320,4096,15,328.344,194.918,0
grow,jemalloc,existence,2,64,0,5,320,4096,15,325.032,196.904,0
grow,jemalloc,existence,3,64,0,5,320,4096,15,321.617,198.995,0
grow,jemalloc,txn,1,64,0,5,320,4096,15,406.626,157.393,0
grow,jemalloc,txn,2,64,0,5,320,4096,15,406.852,157.305,0
grow,jemalloc,txn,3,64,0,5,320,4096,15,395.441,161.844,0
grow,jemalloc,existence,1,96,0,5,480,4096,15,397.932,241.247,0
