panel,alloc,engine,run,cores,nreaders,b,keys_per_sl,width,mmoves_s,ns_per_keymove,mqueries_s,hitpct
grow,jemalloc,existence,1,1,0,5,5,3,4.21328,237.345,0,0
grow,jemalloc,existence,2,1,0,5,5,3,4.28041,233.622,0,0
grow,jemalloc,existence,3,1,0,5,5,3,4.3157,231.712,0,0
grow,jemalloc,txn-mp3,1,1,0,5,5,3,1.87305,533.889,0,0
grow,jemalloc,txn-mp3,2,1,0,5,5,3,1.86847,535.198,0,0
grow,jemalloc,txn-mp3,3,1,0,5,5,3,1.87737,532.66,0,0
grow,jemalloc,txn-mp1,1,1,0,5,5,1,2.91677,342.845,0,0
grow,jemalloc,txn-mp1,2,1,0,5,5,1,2.90887,343.776,0,0
grow,jemalloc,txn-mp1,3,1,0,5,5,1,2.9394,340.205,0,0
grow,jemalloc,existence,1,2,0,5,10,3,3.85245,519.15,0,0
grow,jemalloc,existence,2,2,0,5,10,3,3.94834,506.542,0,0
grow,jemalloc,existence,3,2,0,5,10,3,3.93919,507.719,0,0
grow,jemalloc,txn-mp3,1,2,0,5,10,3,2.07051,965.945,0,0
grow,jemalloc,txn-mp3,2,2,0,5,10,3,2.06663,967.761,0,0
grow,jemalloc,txn-mp3,3,2,0,5,10,3,2.07107,965.684,0,0
grow,jemalloc,txn-mp1,1,2,0,5,10,1,3.56843,560.471,0,0
grow,jemalloc,txn-mp1,2,2,0,5,10,1,3.54598,564.019,0,0
grow,jemalloc,txn-mp1,3,2,0,5,10,1,3.55709,562.257,0,0
grow,jemalloc,existence,1,4,0,5,20,3,4.99884,800.185,0,0
grow,jemalloc,existence,2,4,0,5,20,3,4.93546,810.461,0,0
grow,jemalloc,existence,3,4,0,5,20,3,5.01365,797.822,0,0
grow,jemalloc,txn-mp3,1,4,0,5,20,3,3.0321,1319.22,0,0
grow,jemalloc,txn-mp3,2,4,0,5,20,3,3.03493,1317.99,0,0
grow,jemalloc,txn-mp3,3,4,0,5,20,3,3.02694,1321.47,0,0
grow,jemalloc,txn-mp1,1,4,0,5,20,1,4.74664,842.7,0,0
grow,jemalloc,txn-mp1,2,4,0,5,20,1,4.75677,840.906,0,0
grow,jemalloc,txn-mp1,3,4,0,5,20,1,4.81412,830.889,0,0
grow,jemalloc,existence,1,8,0,5,40,3,7.83997,1020.41,0,0
grow,jemalloc,existence,2,8,0,5,40,3,7.73662,1034.04,0,0
grow,jemalloc,existence,3,8,0,5,40,3,7.75866,1031.11,0,0
grow,jemalloc,txn-mp3,1,8,0,5,40,3,4.81875,1660.18,0,0
grow,jemalloc,txn-mp3,2,8,0,5,40,3,4.7371,1688.8,0,0
grow,jemalloc,txn-mp3,3,8,0,5,40,3,4.83135,1655.85,0,0
grow,jemalloc,txn-mp1,1,8,0,5,40,1,7.32392,1092.31,0,0
grow,jemalloc,txn-mp1,2,8,0,5,40,1,7.1558,1117.97,0,0
grow,jemalloc,txn-mp1,3,8,0,5,40,1,7.27732,1099.31,0,0
grow,jemalloc,existence,1,16,0,5,80,3,9.07832,1762.44,0,0
grow,jemalloc,existence,2,16,0,5,80,3,8.91701,1794.32,0,0
grow,jemalloc,existence,3,16,0,5,80,3,9.08306,1761.52,0,0
grow,jemalloc,txn-mp3,1,16,0,5,80,3,5.63602,2838.88,0,0
grow,jemalloc,txn-mp3,2,16,0,5,80,3,5.58255,2866.07,0,0
grow,jemalloc,txn-mp3,3,16,0,5,80,3,5.64751,2833.11,0,0
grow,jemalloc,txn-mp1,1,16,0,5,80,1,8.10166,1974.9,0,0
grow,jemalloc,txn-mp1,2,16,0,5,80,1,8.17565,1957.03,0,0
grow,jemalloc,txn-mp1,3,16,0,5,80,1,8.41864,1900.54,0,0
grow,jemalloc,existence,1,32,0,5,160,3,15.4284,2074.1,0,0
grow,jemalloc,existence,2,32,0,5,160,3,15.4377,2072.85,0,0
grow,jemalloc,existence,3,32,0,5,160,3,15.3709,2081.85,0,0
grow,jemalloc,txn-mp3,1,32,0,5,160,3,8.67301,3689.61,0,0
grow,jemalloc,txn-mp3,2,32,0,5,160,3,8.56628,3735.58,0,0
grow,jemalloc,txn-mp3,3,32,0,5,160,3,8.6631,3693.83,0,0
grow,jemalloc,txn-mp1,1,32,0,5,160,1,12.2947,2602.74,0,0
grow,jemalloc,txn-mp1,2,32,0,5,160,1,12.4042,2579.77,0,0
grow,jemalloc,txn-mp1,3,32,0,5,160,1,12.3073,2600.09,0,0
grow,jemalloc,existence,1,64,0,5,320,3,26.5418,2411.29,0,0
