panel,engine,cores,b,keys_per_sl,mmoves_s,ns_per_keymove
fixed,existence,1,3840,3840,2.34758,425.97
fixed,txn-default,1,3840,3840,1.10472,905.211
fixed,txn-spin,1,3840,3840,1.12776,886.713
fixed,existence,2,1920,3840,3.08976,647.299
fixed,txn-default,2,1920,3840,2.20369,907.57
fixed,txn-spin,2,1920,3840,2.2555,886.722
fixed,existence,4,960,3840,6.08456,657.402
fixed,txn-default,4,960,3840,4.32393,925.084
fixed,txn-spin,4,960,3840,4.42749,903.447
fixed,existence,8,480,3840,12.6614,631.842
fixed,txn-default,8,480,3840,8.42107,949.998
fixed,txn-spin,8,480,3840,8.65986,923.803
fixed,existence,16,240,3840,23.0107,695.33
fixed,txn-default,16,240,3840,14.87,1075.99
fixed,txn-spin,16,240,3840,15.5897,1026.32
fixed,existence,32,120,3840,38.8448,823.792
fixed,txn-default,32,120,3840,24.2279,1320.79
fixed,txn-spin,32,120,3840,26.3832,1212.89
fixed,existence,64,60,3840,61.7833,1035.88
fixed,txn-default,64,60,3840,34.8067,1838.73
fixed,txn-spin,64,60,3840,39.1883,1633.14
fixed,existence,96,40,3840,72.959,1315.81
fixed,txn-default,96,40,3840,39.4345,2434.42
fixed,txn-spin,96,40,3840,44.8522,2140.36
fixed,existence,128,30,3840,68.321,1873.51
fixed,txn-default,128,30,3840,35.7489,3580.53
fixed,txn-spin,128,30,3840,41.473,3086.35
fixed,existence,192,20,3840,74.4901,2577.52
fixed,txn-default,192,20,3840,32.7832,5856.65
fixed,txn-spin,192,20,3840,39.9075,4811.13
size,existence,192,5,960,50.9396,3769.17
size,txn-default,192,5,960,13.7318,13982.1
size,txn-spin,192,5,960,17.2814,11110.2
size,existence,192,10,1920,61.6374,3114.99
size,txn-default,192,10,1920,22.5839,8501.62
size,txn-spin,192,10,1920,28.7184,6685.6
size,existence,192,20,3840,74.5197,2576.5
size,txn-default,192,20,3840,32.6592,5878.9
size,txn-spin,192,20,3840,39.906,4811.31
size,existence,192,40,7680,79.8436,2404.7
size,txn-default,192,40,7680,40.5085,4739.75
size,txn-spin,192,40,7680,46.3718,4140.45
size,existence,192,80,15360,80.3111,2390.7
size,txn-default,192,80,15360,42.4723,4520.59
size,txn-spin,192,80,15360,47.3479,4055.09
